id,collection,dc.contributor.advisor,dc.contributor.advisor[],dc.contributor.author,dc.contributor.author[],dc.date.issued,dc.date.issued[en],dc.description.abstract[en_US],dc.description.publishchoice[],dc.description.publishchoice[en_US],dc.identifier.nb-fulltext,dc.identifier.nb-urn,dc.identifier.uri,dc.identifier.urn,dc.language.iso[en_US],dc.publisher[en],dc.publisher[en_US],dc.publisher[no],dc.rights.accessRights,dc.rights.accessRights[en_US],dc.rights.holder,dc.rights.holder[],dc.rights.uri[en_US],dc.rights[en_US],dc.subject.courseID[],dc.subject.courseID[en_US],dc.subject[en_US],dc.title[en_US],dc.type[en],dc.type[en_US],dc.type[no]
"9341","10037/8169","Bjørndal, Kristin Emilie W.||Sollid, Hilde",,"Brox, Åse Cecilie||Berglund, Kristine Olive",,"2015-05-15",,"Målsettingen med denne studien er å undersøke hvordan den dramapedagogiske metoden «Lærer-i-rolle» kan bidra i skriveopplæringen på småtrinnet. I masteroppgaven vil vi fokusere på hva metoden lærer-i-rolle tilførte skriveopplæringen. 

Problemstillingen vår belyser vi gjennom kvalitative forskningsmetoder i form av ulike typer kvalitative forskningsintervju, observasjoner og elevtekstanalyser. Vårt forskningsdesign er basert på aksjonsforskning i et singlecase-studie. Dette gjør at våre funn ikke er direkte overførbare til andre klasserom. 

Undersøkelser gjort i studien viser at metoden lærer-i-rolle gav eleven en konkret mottaker i skrivesituasjonen, noe som også motiverte elevene til å skrive lengre tekster. Slik vi tolker intervjuene gjort i vårt studie, kan det være utfordrende å implementere en dramafaglig metode i et klasserom der læreren har lite erfaring med drama. Gjennom observasjon i studien har vi observert hvordan variasjon i undervisningen er viktig for å motivere elevene i læringsprosessen.

Kildene vi har brukt er preget av norske forskere og forfattere. Skoleforskning fra andre land kan ikke overføres direkte til den norske skolen, og det har derfor vært et bevisst valg fra vår side å kun benytte oss av skoleforskning på dette feltet gjort i Norge. Aud Berggraf Sæbø har vært vår hovedkilde om forskning og teori rundt bruk av drama i undervisningen. Våre kilder om skriveforskning er gjort av forskere fra KAL, SKRIV og Normprosjektet. Vi anvender også teori hentet fra Nasjonalt senter for skriveopplæring og skriveforskning. I elevtekstanalysene er Skjelbred og Iversen et al. våre to hovedkilder.",,"Nå","Fulltext http://www.ub.uit.no/munin/bitstream/10037/8082/2/thesis.pdf","URN URN:NBN:no-uit_munin_7669","https://hdl.handle.net/10037/8082","URN:NBN:no-uit_munin_7669","nob",,"UiT Norges arktiske universitet||UiT The Arctic University of Norway",,"openAccess",,"Copyright 2015 The Author(s)",,"https://creativecommons.org/licenses/by-nc-sa/3.0","Attribution-NonCommercial-ShareAlike 3.0 Unported (CC BY-NC-SA 3.0)",,"LRU-3901","VDP::Social science: 200::Education: 280::Other disciplines within education: 289||VDP::Samfunnsvitenskap: 200::Pedagogiske fag: 280::Andre pedagogiske fag: 289||Lærer-i-rolle||Dramapedagogikk||Mottakerbevissthet||Skrivehjulet||Elevtekstanalyse||Tekstanalyse||Læringsprosesser||Motivasjon||Skriveformelen||Skrivetrekanten||Aksjonsforskning||Singlecase||Casestudie||Strukturert intervju","""Lærer-i-rolle"", et bidrag i skriveopplæringen?
 Pedagogisk utviklingsarbeid gjennom et aksjonsforskningsbasert singlecase-studie.",,"Master thesis||Mastergradsoppgave",
"9342","10037/8169","Unhjem, Astrid||Ryel, Hans Christian",,"Hansen, Knut Vidar",,"2015-05-15",,"Fokuset i denne studien er på hvordan den matematiske kommunikasjonen påvirker elever på 7. trinn innenfor emnet volum ved ulike tilnærminger. Kommunikasjon i matematikk er essensielt for å utvikle den relasjonelle forståelsen i matematikk. Innenfor dette har jeg gjennomført et kvalitativt case-studie og gjort lydopptak av elevarbeid i mindre grupper som jobber mot to forskjellige tilnærminger; en teoretisk og en praktisk tilnærming. Den teoretiske tilnærmingen ble gjennomført som en «tradisjonell» undervisning i matematikk, der metoden blir presentert på tavla, og som elevene bruker i oppgaveløsningen. I den praktiske tilnærmingen ble utgangspunktet for timens innhold tatt i et praktisk problem i tråd med problemløsningsmodellen. Her skulle elevene blant annet lage esker for videre å sammenligne og beregne volumene av disse. 

Resultatene fremhever tre hovedelementer:
1.	Det er liten grad av matematisk diskusjon i både teoretiske og praktiske tilnærminger 
2.	Begrepsbruken endrer seg fra formell til uformell mellom en teoretisk og praktisk tilnærming
3.	Elevene kobler ikke sammen erfaringer fra teoretisk til praktiske tilnærminger

Funnene fra studien indikerer at kommunikasjonen i matematikk er sammensatt og mangesidig. Først og fremst forutsetter konstruktiv kommunikasjon blant annet et godt klassemiljø som aksepterer og applauderer vågale forslag og ideer i matematikk. Videre må elevene utvikle sin helhetlige matematiske kompetanse for å være i stand til å kommunisere i matematikkundervisningen. Dette gjelder i stor grad også læreren, som både må ha den helhetlige kompetansen og en tydelig struktur på matematikkundervisningen for å gi alle elevene en best mulig sjanse til å kommunisere i matematikk.",,"Nå","Fulltext http://www.ub.uit.no/munin/bitstream/10037/8085/2/thesis.pdf","URN URN:NBN:no-uit_munin_7670","https://hdl.handle.net/10037/8085","URN:NBN:no-uit_munin_7670","nob",,"UiT Norges arktiske universitet||UiT The Arctic University of Norway",,"openAccess",,"Copyright 2015 The Author(s)",,"https://creativecommons.org/licenses/by-nc-sa/3.0","Attribution-NonCommercial-ShareAlike 3.0 Unported (CC BY-NC-SA 3.0)",,"LRU-3901","VDP::Samfunnsvitenskap: 200::Pedagogiske fag: 280::Allmennpedagogikk: 281||VDP::Social science: 200::Education: 280::General education: 281","Kommunikasjon som virkemiddel for læring. Et kvalitativt case-studie som belyser ulike faktorer knyttet til  kommunikasjon i matematikk.",,"Master thesis||Mastergradsoppgave",
"9339","10037/8169","Sørensen, Yvonne",,"Bjørklund, Ulrikke Elise Nilsen",,"2015-05-15",,"Jeg har i min oppgave tatt for meg hvordan ulike elever beskriver det mye omdiskuterte begrepet drømmelærer. Problemstillingen min lyder «På hvilken måte beskriver ulike elever sin drømmelærer?». Å være lærer handler i stor grad om bruk av klasseledelse. Klasseledelse et høyaktuelt tema i dagens skole som omfavner mye. Jeg valgte derfor ut hovedkategorier innenfor temaet som jeg mener er relevant i forhold til min empiri og problemstilling. Jeg har i oppgaven tatt for meg ulike teorier om klasseledelse, blant annet teori fra Grimsæth og Hallås, Bergkastet og Andersen, Nordahl og Hattie. Jeg har tatt for meg kategorier innen klasseledelse, som jeg har valgt å kalle lærerens personlighet, relasjonskompetanse, organiseringskompetanse, faglig kompetanse, didaktisk kompetanse, motivasjon og læringsmiljø. Prosjektet mitt plasseres innenfor hermeneutikken og jeg har benyttet intervju som metode for datainnsamling. Jeg har intervjuet totalt seks elever på 3., 5. og 7. trinn, en gutt og en jente på hvert trinn. Videre har jeg transkribert dette for å gjøre en rå-analyse og satt det inn i en matrise ved hjelp av to analytiske tilnærminger. Ved å analysere empirien gjennom å tolke og forstå elevenes utsagn, har jeg kommet frem til mine funn. Disse har jeg videre i diskusjonen koblet teori på, for deretter å svare på problemstillingen min. Jeg kommer i min oppgave blant annet frem til at elevene beskrev en autoritativ lærer som sin drømmelærer, men ingen beskrev allikevel den samme. Det finnes ingen lærer som er drømmelæreren for alle.",,"Nå","Fulltext http://www.ub.uit.no/munin/bitstream/10037/8081/2/thesis.pdf","URN URN:NBN:no-uit_munin_7667","https://hdl.handle.net/10037/8081","URN:NBN:no-uit_munin_7667","nob",,"UiT Norges arktiske universitet||UiT The Arctic University of Norway",,"openAccess",,"Copyright 2015 The Author(s)",,"https://creativecommons.org/licenses/by-nc-sa/3.0","Attribution-NonCommercial-ShareAlike 3.0 Unported (CC BY-NC-SA 3.0)",,"LRU-3901","VDP::Samfunnsvitenskap: 200::Pedagogiske fag: 280::Andre pedagogiske fag: 289||VDP::Social science: 200::Education: 280::Other disciplines within education: 289||Drømmelærer||Autoritativ lærer||Klasseledelse","Drømmelæreren - en kvalitativ studie om ulike elevers drømmelærer",,"Master thesis||Mastergradsoppgave",
"9343","10037/8169","Rørnes, Karin",,"Hundstad, Tom-Olav",,"2015-05-15",,"I denne oppgaven spør og drøfter jeg hvordan lærere ved en fådelt skole organiserer engelskundervisningen gjennom sin fortolkning av prinsippet om tilpasset opplæring. Oppgaven har basis i det sosiokulturelle perspektivet for læring, med teori grunnlagt i tilpasset opplæring, engelsk fagdidaktikk og aldersblanding i den fådelte skolen. Jeg har brukt observasjon og intervju som forskningsmetoder for mine empiriske funn, og gjennom disse metodene samlet jeg inn data over to uker mens jeg besøkte mellomtrinnet ved en fådelt skole  

Det jeg så ved denne skolen var at den var liten, og hver enkelte lærer var en uvurderlig ressurs. Gjennom min empiri for oppgaven har jeg trukket frem momenter fra mitt besøk til skolen og koblet det sammen med teori for å finne mening i det jeg har erfart og sett. Den fådelte skolen er en krevende arena for lærere som ønsker å tilpasse undervisningen slik at enhver elev er ivaretatt. Det er derimot ingen tvil om at det lar seg gjøre, mest gjennom god planlegging, kreativ tenkning og et hardt fokus på elevenes læring. 

I denne oppgaven viser jeg hvordan prinsippet om tilpasset opplæring kan fortolkes og iverksettes i engelskundervisningen ved en fådelt skole.",,"Nå","Fulltext http://www.ub.uit.no/munin/bitstream/10037/8084/2/thesis.pdf","URN URN:NBN:no-uit_munin_7671","https://hdl.handle.net/10037/8084","URN:NBN:no-uit_munin_7671","nob",,"UiT Norges arktiske universitet||UiT The Arctic University of Norway",,"openAccess",,"Copyright 2015 The Author(s)",,"https://creativecommons.org/licenses/by-nc-sa/3.0","Attribution-NonCommercial-ShareAlike 3.0 Unported (CC BY-NC-SA 3.0)",,"LRU-3901","lærerutdanning||engelsk||fådelt skole||aldersblanding||nærmiljøskole||fagdidaktikk||tilpasset opplæring||inkludering||VDP::Samfunnsvitenskap: 200::Pedagogiske fag: 280||VDP::Social science: 200::Education: 280","Engelsk i den fådelte skolen. Tilpasset opplæring i engelskfaget med aldersblanding",,"Master thesis||Mastergradsoppgave",
"9340","10037/8169","Sørensen, Yvonne",,"Aronsen, Frederic",,"2015-05-14",,"I masteroppgaven fokuseres det på alternativ muntlig kommunikasjon i matematikkundervisningen for elevene. Hensikten med undersøkelsen var å få en forståelse for hvordan det tradisjonelle IRF kommunikasjonsmønsteret (Lemke 1990:8, Grevholm 2013:241), som tradisjonelt er blitt brukt i matematikkundervisningen, kan endres ved at lærer legger til rette for alternativt muntlig kommunikasjon i matematikkundervisningen. Problemstillingen er: Hvordan kan jeg som lærer legge til rette for alternativ muntlig kommunikasjon i matematikkundervisningen? Det blir brukt teori som omhandler et tradisjonelt kommunikasjonsmønster og alternative kommunikasjonsmønstre for å belyse bruken av de ulike mønstrene, og hvordan de kan fungere i undervisningen. 
Undersøkelsen er forankret vitenskapsteoretisk under det konstruktivistiske perspektivet (Postholm 2005:20). Det er brukt kvalitative forskningsmetoder som strukturert observasjon og filmopptak. Utvalget bestod av en gruppe elever. Ved bruk av observasjon var det mulig å erfare hvilke aktiviteter som førte til utvikling av elevenes læring. Aksjonslæring er valgt som tilnærming i undersøkelsen. Hensikten med aksjonslæring er å lære i og av det som skjer i praksisfelte (Tiller 2006:52).
Som analytisk tilnærming ble det brukt personsentrerte og temasentrerte analytiske tilnærminger (Thagaard 2009:149). De valgte alternative redskapene for å legge til rette for alternativ muntlig kommunikasjon fungerte godt i forhold til å holde fokus på kommunikasjonen i undervisningen.  John Van De Walle sin trefase struktur for gjennomføring av undervisningen omhandler førfasen, underfasen og etterfasen (Van De Walle et al. 2010:51). Denne strukturen var et godt redskap for muntlig kommunikasjon. Videre ble Suzanne Chapin sine fem prinsipper brukt som redskap for å legge til rette for å praktisere alternativ muntlig kommunikasjon (Chapin et al. 2003:105-108), samt at hennes fem ”talk moves” ble brukt som redskap for å praktisere alternativ muntlig kommunikasjon (Chapin et al. 2003:13-15). 
Resultatene fra undersøkelsen viste at det var mulig å praktisere alternativ muntlig kommunikasjon i matematikkundervisningen. De redskapene som var valgt for utprøving av et alternativ muntlig kommunikasjon, bidro til at det var mulig å kjenne igjen bruk av alternative muntlige kommunikasjonsmønstre, og når det ble tatt i bruk et tradisjonelt IRF kommunikasjonsmønster.",,"Nå","Fulltext http://www.ub.uit.no/munin/bitstream/10037/8086/2/thesis.pdf","URN URN:NBN:no-uit_munin_7668","https://hdl.handle.net/10037/8086","URN:NBN:no-uit_munin_7668","nob",,"UiT Norges arktiske universitet||UiT The Arctic University of Norway",,"openAccess",,"Copyright 2015 The Author(s)",,"https://creativecommons.org/licenses/by-nc-sa/3.0","Attribution-NonCommercial-ShareAlike 3.0 Unported (CC BY-NC-SA 3.0)",,"LRU-3901","VDP::Samfunnsvitenskap: 200::Pedagogiske fag: 280::Andre pedagogiske fag: 289||VDP::Social science: 200::Education: 280::Other disciplines within education: 289","Alternativ muntlig kommunikasjon i matematikk. Fra et tradisjonelt til et alternativt muntlig kommunikasjonsmønster",,"Master thesis||Mastergradsoppgave",
"9344","10037/8169","Andreassen, Svein-Erik",,"Håvardsen, Hilde Natalie Pedersen||Adolfsen, Tine Alice",,"2015-05-13",,"Vi ønsket å finne ut hva pedagogisk entreprenørskap er i skolen. Dette gjorde vi ved å foreta tekstanalyse av den generelle delen av LK06, samt støttedokumenter. Vi utførte også åpent intervju av to lærere og fire elever fra mellomtrinnet. 

I vår analyse av Generelle delen fant vi ut at begrepet pedagogisk entreprenørskap ikke blir nevnt direkte, men i stedet gjennom ord som kan hevdes å bety det samme. Den generelle delen av LK06 fremmer indirekte pedagogisk entreprenørskap gjennom arbeidsmetoder der det vektlegges aktiv og reflekterende læring. Fra intervju med lærerne fant vi ut at de ikke hadde kjennskap til begrepet pedagogisk entreprenørskap, eller regjeringens satsing omkring entreprenørskap i skolen. Lærerne formidlet at de ikke praktiserte pedagogisk entreprenørskap, men at samtale og gruppearbeid var sentralt i deres undervisning. Gruppearbeid kan ansees som en liten del av pedagogisk entreprenørskap, og vi kan da trekke en slutning på at pedagogisk entreprenørskap ble benyttet til en viss grad. Elevene ytret et sterkt ønske om en mer variert undervisning i stedet for det de opplevde som tradisjonelle arbeidsoppgaver.  Slik sett ønsket elevene pedagogisk entreprenørskap velkommen uten at heller ikke de brukte begrepet. Elevenes ønsker samsvarer dermed med intensjoner i Generell del om pedagogisk entreprenørskap, men det er mindre samsvar mellom Generell del og lærerens praksis.",,"Nå","Fulltext http://www.ub.uit.no/munin/bitstream/10037/8088/2/thesis.pdf","URN URN:NBN:no-uit_munin_7672","https://hdl.handle.net/10037/8088","URN:NBN:no-uit_munin_7672","nob",,"UiT Norges arktiske universitet||UiT The Arctic University of Norway",,"openAccess",,"Copyright 2015 The Author(s)",,"https://creativecommons.org/licenses/by-nc-sa/3.0","Attribution-NonCommercial-ShareAlike 3.0 Unported (CC BY-NC-SA 3.0)",,"LRU-3901","Pedagogisk entreprenørskap||Variert undervisning||Generell del av læreplan||Elevmedvirkning||Kreativitet||Sosial kompetanse||Entreprenørskap||Amputert læring||Fullstendig læring||Motivasjon||Innovasjon||Normativt perspektiv||Analytisk perspektiv||Globalisert samfunn||Forskning||Samfunnsvitenskapelig datainnsamling||Tekstanalyse||Intervju||Tradisjonell undervisning||Regjeringens satsning||Norsk skolepolitikk||Undervisningsmetode||VDP::Samfunnsvitenskap: 200::Pedagogiske fag: 280||VDP::Social science: 200::Education: 280","Pedagogisk entreprenørskap - en fremmed fugl i skolen",,"Master thesis||Mastergradsoppgave",
"9345","10037/8169","Rørnes, Karin",,"Iversen, Susanne",,"2015-05-14",,"Dette prosjektet viser hvordan læringsstrategiene til elevene påvirkes gjennom programmering i Scratch. Elevene jobber problemløsende, men benytter få problemløsningsstrategier. Prosjektet går ut på å undersøke om, og hvordan elever på mellomtrinnet jobber problemløsende i programmering, og om de benytter seg av de kjente problemløsningsstrategiene.
Prosjektet er en kvalitativ studie hvor det er gjennomført fire ulike steg i innsamlingen med bruk av videoopptak. Steg én er en innføringstime for full klasse hvor de fikk innføring i programmet Scratch. Scratch er et programmeringsprogram og språk lagd for å lære barn programmering. Til de neste stegene blir det gjort et utvalg på fire elever. I steg to får de fire elevene en ny oppgave i Scratch som er problemløsende. Under steg tre regner elevene to tradisjonelle problemløsningsoppgaver i matematikken. Det siste og fjerde steget er et gruppeintervju med de fire elevene. På bakgrunn av dette blir elevenes problemløsende jobbing i programmeringen og matematikken sammenlignet.  
Resultatene viser blant annet at elevene jobbet likt med strategier i både matematikken og programmeringen, og det kommer tydelig frem at elevene trenger mer opplæring i strategier og problemløsende arbeid. Spesielt virker ikke elevene vant med å vurdere sin egen læringsprosess. Med tanke på deling og samarbeidskultur er det mye bedre under programmeringen.",,"Nå","Fulltext http://www.ub.uit.no/munin/bitstream/10037/8089/2/thesis.pdf","URN URN:NBN:no-uit_munin_7673","https://hdl.handle.net/10037/8089","URN:NBN:no-uit_munin_7673","nob",,"UiT Norges arktiske universitet||UiT The Arctic University of Norway",,"openAccess",,"Copyright 2015 The Author(s)",,"https://creativecommons.org/licenses/by-nc-sa/3.0","Attribution-NonCommercial-ShareAlike 3.0 Unported (CC BY-NC-SA 3.0)",,"LRU-3901","VDP::Samfunnsvitenskap: 200::Pedagogiske fag: 280::Andre pedagogiske fag: 289||VDP::Social science: 200::Education: 280::Other disciplines within education: 289||Programmering||Scratch||Problemløsende læring||Problemløsning||Problemløsningsstrategier||Læringsstrategier","Koding som digital grublis. En kvalitativ studie om hvordan elevenes læringsstrategier påvirkes gjennom programmering",,"Master thesis||Mastergradsoppgave",
"9357","10037/8169","Steele, Annfrid Rosøy",,"Vangen, Karoline",,"2015-05-15",,"Med utgangspunkt i tilveksten av montessoriskoler i Norge har jeg valgt å utføre en kvalitativ studie der jeg har gått ut i skolen med et åpent blikk for å utforske montessoripedagogikken. Etter noen dager ute i observasjon ble jeg interessert i arbeid med materiell, og dette var det som skulle bli viktigst i mitt prosjekt. Gjennom observasjoner på 1.-3. trinn og intervju av montessoripedagoger har jeg i dette prosjektet belyst hvordan det tilrettelegges for læring i klasserommet, og hvordan arbeid med materiell kan oppfylle generell del av læreplanen. For å svare på dette har jeg tatt utgangspunkt i Montessorilæreplanens fire elementer for læring: det forberedte miljøet, montessorimateriell, aldersblandede grupper og lærerens rolle og oppgaver (Montessoriforlaget, 2007). Mine funn viser til at arbeid med materiell i aldersblandede grupper ikke bare fører til faglig læring, det fører også med seg mye sosial læring. Samtidig kan arbeid med materiell individuelt og i samarbeid med andre være med på å bidra til en tilpasset opplæring både etter nivå og interesser. På en annen side kan ikke elever drasse med seg 17 epler hele livet, med dette utsagnet mener jeg at elever må løsrive seg fra arbeid med materiell og opparbeide seg evne til abstrakt tenkning.",,"Nå","Fulltext http://www.ub.uit.no/munin/bitstream/10037/8092/2/thesis.pdf","URN URN:NBN:no-uit_munin_7676","https://hdl.handle.net/10037/8092","URN:NBN:no-uit_munin_7676","nob",,"UiT Norges arktiske universitet||UiT The Arctic University of Norway",,"openAccess",,"Copyright 2015 The Author(s)",,"https://creativecommons.org/licenses/by-nc-sa/3.0","Attribution-NonCommercial-ShareAlike 3.0 Unported (CC BY-NC-SA 3.0)",,"LRU-3901","VDP::Samfunnsvitenskap: 200::Pedagogiske fag: 280||VDP::Social science: 200::Education: 280","En studie av montessoripedagogikk. En kan ikke drasse med seg 17 epler hele livet",,"Master thesis||Mastergradsoppgave",
"9349","10037/8169","Rørnes, Karin||Nedberg, Audhild",,"Li, Anette",,"2015-05-15",,"Utgangspunktet for mitt prosjekt er det økende mangfoldet i skolen, og jeg synes derfor det er viktig å sette fokus på de flerspråklige elevene. I denne masteroppgaven ønsker jeg å få et nærmere innblikk i skolehverdagen til de flerspråklige elevene i begynneropplæringen. Jeg har sett nærmere på hvordan lærerne organiserer undervisningen, og problemstillingen har som mål å søke svar på om de flerspråklige elevene blir ivaretatt gjennom organiseringen som benyttes. Det er tatt utgangspunkt i den sosiokulturelle læringsteorien, som vektlegger det sosiale samspillet for at barn skal utvikle seg. Den empiriske delen av oppgaven baserer seg på observasjon av et klassetrinn i ulike læringssituasjoner, samt et intervju av én av lærerne på trinnet. Gjennom undersøkelsene har tre faktorer pekt seg ut som viktige for at de flerspråklige elevene skal få et optimalt opplæringstilbud. Disse tre faktorene er lærernes holdninger til mangfoldet i skolen, kompleksiteten i begrepet tilpasset opplæring, og ressursbruk i skolen. Læreren viser seg som den viktigste faktoren for at enkeltindividet skal kunne utvikle seg i fellesskapet. Dette resultatet er i tråd med både norsk og internasjonal forskning.",,"Nå","Fulltext http://www.ub.uit.no/munin/bitstream/10037/8090/2/thesis.pdf","URN URN:NBN:no-uit_munin_7674","https://hdl.handle.net/10037/8090","URN:NBN:no-uit_munin_7674","nob",,"UiT Norges arktiske universitet||UiT The Arctic University of Norway",,"openAccess",,"Copyright 2015 The Author(s)",,"https://creativecommons.org/licenses/by-nc-sa/3.0","Attribution-NonCommercial-ShareAlike 3.0 Unported (CC BY-NC-SA 3.0)",,"LRU-3901","VDP::Samfunnsvitenskap: 200::Pedagogiske fag: 280::Andre pedagogiske fag: 289||VDP::Social science: 200::Education: 280::Other disciplines within education: 289||Flerspråklige elever||Minoritetsspråklige elever||Organisering||Ressurser i skolen||Tilpasset opplæring||TILT-prosjekt","""Her er rom for alle, men ikke for alt"". En kvalitativ studie om organisering av undervisning til det beste for flerspråklige elever.",,"Master thesis||Mastergradsoppgave",
"9353","10037/8169","Jette, Steensen",,"Røssland, Rikke Holta",,"2015-05-14",,"Formålet med denne studien har vært å undersøke hvordan en kan arbeide med leksene i engelskfaget for å øke elevenes læringsutbytte på 7. trinn. 
Dette har jeg undersøkt ved å benytte meg av en kvalitativ metode med intervju av elever og samtale med engelsklærer. I tillegg har jeg benyttet meg av en aksjon, som ble planlagt med bakgrunn i elevintervjuene.  
Studiet tar utgangspunkt i tidligere erfaringer fra praksisperioder hvor jeg har erfart at elevene ikke har lært så mye av leksene slik det har blitt jobbet med dem i klassen. Jeg ønsket å få et innblikk i hva det var ved leksene som førte til at elevene ikke lærte så mye. 
Gjennom oppgaven har jeg benyttet meg av sosiokulturell læringsteori, ”learning by doing” og motivasjonsteori for deretter å knytte dette opp mot funnene jeg har gjort meg etter arbeidet med aksjonen. 
Hovedfunnene i forskningen går ut på at elevene mente at de lærte mindre av leksene fordi det var for mye arbeid med de samme metodene. De opplevde lite motivasjon fordi det var lite variasjon. Ved å presentere dem for andre arbeidsmetoder ble de positivt overrasket over egen læring.",,"Nå","Fulltext http://www.ub.uit.no/munin/bitstream/10037/8091/2/thesis.pdf","URN URN:NBN:no-uit_munin_7675","https://hdl.handle.net/10037/8091","URN:NBN:no-uit_munin_7675","nob",,"UiT Norges arktiske universitet||UiT The Arctic University of Norway",,"openAccess",,"Copyright 2015 The Author(s)",,"https://creativecommons.org/licenses/by-nc-sa/3.0","Attribution-NonCommercial-ShareAlike 3.0 Unported (CC BY-NC-SA 3.0)",,"LRU-3901","VDP::Samfunnsvitenskap: 200::Pedagogiske fag: 280::Andre pedagogiske fag: 289||VDP::Social science: 200::Education: 280::Other disciplines within education: 289||lekser||læringseffekt||sosiokulturell læringsteori||learning by doing||Vygotsky||Dewey||motivasjon||kunnskapsløftet||tilpasset opplæring||kvalitativ metode||intervju||observasjon||aksjonslæring||Oppfølging lekser||master||fritidsaktiviteter||pedagogikk||lærerutdanning||variasjon","”Ja, det er mye morsommere og da lærer man mye mer”.
En studie om læringseffekt av lekser i engelskfaget",,"Master thesis||Mastergradsoppgave",
