id,collection,dc.contributor.advisor,dc.contributor.advisor[],dc.contributor.advisor[en_US],dc.contributor.author,dc.contributor.author[],dc.contributor.author[en_US],dc.contributor.submitteremail[],dc.date.issued,dc.date.issued[en],dc.description.abstract[en_US],dc.description.argument[en_US],dc.description.publishchoice[],dc.description.publishchoice[en_US],dc.description[en_US],dc.identifier.nb-fulltext,dc.identifier.nb-urn,dc.identifier.uri,dc.identifier.uri[],dc.identifier.urn,dc.language.iso[en_US],dc.publisher[en],dc.publisher[en_US],dc.publisher[no],dc.rights.accessRights,dc.rights.accessRights[en_US],dc.rights.holder,dc.rights.holder[],dc.rights.uri[en_US],dc.rights[en_US],dc.subject.courseID[],dc.subject.courseID[en_US],dc.subject[en_US],dc.title.alternative[en_US],dc.title[en_US],dc.type[en],dc.type[en_US],dc.type[no]
"9385","10037/8170","Folkenborg, Håkon Rune",,,"Nesland, Erlend Takle",,,,"2015-05-15",,"Denne mastergradsavhandlingen bygger på data fra undersøkelser om pedagogisk bruk av FN-rollespillet. Arbeidet med mastergradsprosjektet startet høsten 2014. 

For å forstå modellen FN-rollespill som undervisnings- og læringsform, inkluderer min metodologi observasjoner av gjennomføringen av rollespillet. De tre nivåene som ble undersøkt var ungdomstrinnet, videregående skole og lærerutdanningen. Metodologien omfatter også en spørreundersøkelse gjennomført på de tre utdanningsnivåene. 

FN-rollespillet omfatter forarbeid i undervisningen på skole/universitet, og selve rollespillet hvor deltakerne spiller ut sine roller i et simulert Sikkerhetsråd i løpet av en dag. I elevundersøkelsen var målet å finne ut av hvilke erfaringer elevene hadde med rollespill i undervisningen, og hvilket læringsutbytte de mente de satt igjen med etter forarbeidet og rollespilldagen. Rollespillene ble arrangert over deler av skoleåret 2014/2015 i Troms fylke.",,,"Nå",,"Fulltext http://www.ub.uit.no/munin/bitstream/10037/8132/2/thesis.pdf","URN URN:NBN:no-uit_munin_7716","https://hdl.handle.net/10037/8132",,"URN:NBN:no-uit_munin_7716","nob",,"UiT Norges arktiske universitet||UiT The Arctic University of Norway",,"openAccess",,"Copyright 2015 The Author(s)",,"https://creativecommons.org/licenses/by-nc-sa/3.0","Attribution-NonCommercial-ShareAlike 3.0 Unported (CC BY-NC-SA 3.0)",,"LRU-3905","VDP::Samfunnsvitenskap: 200::Pedagogiske fag: 280::Fagdidaktikk: 283||VDP::Social science: 200::Education: 280::Subject didactics: 283",,"FN-rollespill i samfunnsfaget
- en elevaktiv arbeidsform for stort læringsutbytte – også på ungdomsskolenivå",,"Master thesis||Mastergradsoppgave",
"9386","10037/8170","Folkenborg, Håkon Rune",,,"Olsen, Stine Elise",,,,"2015-05-15",,"Tittel på oppgaven er: 
Tilpasset opplæring: Forståelse, praktisering og utfordringer i samfunnsfag. 

Problemstillingen min er: Hvordan forstår et utvalg samfunnsfaglærere begrepet tilpasset opplæring, og hvordan realiseres det i samfunnsundervisningen? 

Metoden jeg har valgt er en kvalitativ forskningsdesign, med halvstrukturerte intervju som metode. Jeg intervjuet totalt 5 lærere. 

Mine funn kan tyde på at lærerne har en smal forståelse av begrepet. Meget individpreget som samsvarer med Kunnskapsløftet sin forståelse. Lærerne praktiserer tilpasset opplæring i samfunnsfag ved å variere i stor grad. Samtlige lærere synes det er utfordrende å drive med tilpasset opplæring når det er lærerstyrt undervisning. Lærerne vektlegger også boka som en utfordring på grunn av vanskeligstilte tekster og akademiske begrep.",,,"Nå",,"Fulltext http://www.ub.uit.no/munin/bitstream/10037/8133/2/thesis.pdf","URN URN:NBN:no-uit_munin_7717","https://hdl.handle.net/10037/8133",,"URN:NBN:no-uit_munin_7717","nob",,"UiT Norges arktiske universitet||UiT The Arctic University of Norway",,"openAccess",,"Copyright 2015 The Author(s)",,"https://creativecommons.org/licenses/by-nc-sa/3.0","Attribution-NonCommercial-ShareAlike 3.0 Unported (CC BY-NC-SA 3.0)",,"LRU-3905","tilpasset opplæring||samfunnsfag||kvalitativt||samfunnsfagundervisning||samfunnsfaglærere||samfunnsfagbok||grunnskolen||lokalsamfunnet||VDP::Samfunnsvitenskap: 200::Pedagogiske fag: 280||VDP::Social science: 200::Education: 280",,"Tilpasset opplæring: Forståelse, praktisering og utfordringer i samfunnsfag. Et kvalitativt studie av hvordan et utvalg samfunnsfaglærere forstår tilpasset opplæring og praktiserer det i samfunnsfagundervisningen",,"Master thesis||Mastergradsoppgave",
"9387","10037/8170","Lefdal, Else Margrethe||Moe, Harald Eivind",,,"Hofsøy, Sander Magnus",,,,"2015-05-15",,"Denne masteroppgaven har fokus på hvorvidt det legges til rette for treundervisning i Tromsøskolen, samt hvordan sentrumstapper som sammenføyningsteknikk kan oppleves som funksjonell og dekorativ. Målet med denne undersøkelsen er å få kunnskaps om faginnhold og undervisningspraksis i tre, samt hvordan det undervises i ulike sammenføyningsteknikker i tre i Tromsøskolen. Oppgaven består av en teoretisk del og en praktisk del og har følgende forskningsspørsmål: 

1.	Blir det lagt til rette for trearbeid i kunst og håndverk i Tromsøskolen, og hvordan undervises det i ulike sammenføyningsteknikker i harde materialer?
2.	Hvordan kan sentrumstapper som sammenføyningsteknikk oppfattes å være mest funksjonelt til også å få et dekorativt utrykk. Og hvordan kan det jeg prøver ut eller utforsker i eget praktisk-estetisk arbeid være relevant for undervisning i kunst og håndverk?

Med utgangspunkt i en intervjuguide, har jeg gjennom samtaler med lærere i Tromsøskolen fått tilgang til deres hverdagshistorier fra undervisningspraksisen i kunst og håndverk i tre. Samtaler som peker på viktige faktorer for at det skal kunne legges til rette for trearbeid i skolen. I tillegg har jeg gjennom et praktisk estetisk arbeid studert hvordan sentrumstapper som sammenføyningsteknikk kan oppfattes som fest funksjonelt til også å få et dekorativt utrykk. Avslutningsvis drøfter jeg hvordan mitt praktisk-estetiske arbeid kan være relevant for undervisningen i kunst og håndverk.",,,"Nå",,"Fulltext http://www.ub.uit.no/munin/bitstream/10037/8134/2/thesis.pdf","URN URN:NBN:no-uit_munin_7718","https://hdl.handle.net/10037/8134",,"URN:NBN:no-uit_munin_7718","nob",,"UiT Norges arktiske universitet||UiT The Arctic University of Norway",,"openAccess",,"Copyright 2015 The Author(s)",,"https://creativecommons.org/licenses/by-nc-sa/3.0","Attribution-NonCommercial-ShareAlike 3.0 Unported (CC BY-NC-SA 3.0)",,"LRU-3907","VDP::Humaniora: 000::Kunsthistorie: 120::Skulptur: 121||VDP::Humanities: 000::History of art: 120::Sculpture: 121||Sentrumstapping||Sammenføyningsteknikker||Tresløyd||Sløyd||Trearbeid||kunst og håndverk||Sentrumstapper||Dekor",,"«Arbeid med tre i kunst og håndverk i Tromsøskolen.» Sentrumstapping som sammenføyningsteknikk",,"Master thesis||Mastergradsoppgave",
"9509","10037/8170","Per Øystein, Haavold",,,"Bjerkmo, Kristine",,,,"2015-05-13",,"Hvordan påvirkes matematikkundervisningen av antall elever i klassen?, er en kvalitativ studie hvor det sees på hvordan antall elever kan påvirke fire faktorer (matematisk fremstilling, tidsbruk og deltakelse og hjelp fra læreren) av matematikkundervisningen i to 5. klasses matematikkundervisning. Problemstillingen for studiet er: Hvordan påvirkes matematikkundervisningen av antall elever i klassen? Oppgaven har også fire ulike forskningsspørsmål: 1. Hvordan påvirker antall elever den matematiske fremstillingen i undervisningen? 2. Hvordan påvirker antall elever tidsbruken til læreren? 3. Hvor ofte er elevene aktive? 4. Hvor ofte hjelper læreren elevene? 
Den teoretiske rammen for studiet og datainnsamlingen tar utgangspunkt i Schoenfelds (2014) rammeverk for å teste undervisningens matematiske innhold. Videre brukes Skemps (1989) og Kilpatricks (2001) begreper om matematisk kompetanse til å beskrive undervisningen og den matematiske fremstillingen. Jeg viser også til tidligere forskningsfunn som viser uenighet rundt temaet klassestørrelse. For å besvare hvordan antall elever i klassen kan påvirke matematikkundervisningen har jeg brukt casestudie som design, og observasjon og intervju som metoder for datainnsamling. Jeg observerte to ulike 5. klasser og to ulike lærere i seks timer hver, for deretter å intervjuet lærerne for å finne bakgrunn for det jeg observerte. I alle sammenligningene vises det en klar forskjell på det matematiske innholdet og hvor god tid læreren har til å både fremstille matematikken, hjelpe elevene og la elevene diskutere. Resultatene tyder på at flere elever fører til mindre tid per elev som igjen gjør at den instrumentelle fremstillingen blir løsningen, da det tar kortere tid og er enklere.",,,"Senere",,"Fulltext http://www.ub.uit.no/munin/bitstream/10037/8261/1/thesis.pdf","URN URN:NBN:no-uit_munin_7842","https://hdl.handle.net/10037/8261",,"URN:NBN:no-uit_munin_7842","nob",,"UiT Norges arktiske universitet||UiT The Arctic University of Norway",,"openAccess",,"Copyright 2015 The Author(s)",,"https://creativecommons.org/licenses/by-nc-sa/3.0","Attribution-NonCommercial-ShareAlike 3.0 Unported (CC BY-NC-SA 3.0)",,"LRU-3903","VDP::Samfunnsvitenskap: 200::Pedagogiske fag: 280::Fagdidaktikk: 283||VDP::Social science: 200::Education: 280::Subject didactics: 283||stor klasse||klassestørrelse||liten klasse||matematisk innhold||tidsbruk||elevenes muntlige aktivitet||hjelp fra læreren||relasjonell forståelse||matematisk kyndighet||Schoenfeld||matematisk fremstilling||instrumentell forståelse",,"Hvordan påvirkes matematikkundervisningen av antall elever i klassen? En sammenligning av en liten og stor klasse, med fokus på matematisk innhold, tidsbruk, elevaktivitet og hjelp fra læreren",,"Master thesis||Mastergradsoppgave",
"9382","10037/8170","Folkenborg, Håkon Rune",,,"Kristoffersen, Morten",,,,"2015-05-15",,"Denne undersøkelsen tar utgangspunkt i ”Hvordan øke læringsutbyttet ved mer bevisst pedagogisk bruk av film som læringsressurs i samfunnsfagundervisningen?”. Dette spørsmålet ble forsøkt svart med tre utdypende spørsmål om filmsjanger, didaktiske valg med film som læringsressurs, og om noen disipliner i samfunnsfag er bedre tjent med film enn andre. 
Oppgaven baserer seg på teori fra flere forfattere som bidrar med sitt. Deriblant historiedidaktikerne Ola Svein Stugu og Erik Lund. En forsker i psykologi ved navn Andrew Butler bidrar med en psykologisk undersøkelse om den kunnskapsmessige påvirkningskraften til filmer fra Hollywood. Richard E. Mayer har utviklet en kognitiv teori som går på læringseffekten av bilder og tekst. 
Gjennom undersøkelsen er det benyttet både kvantitativ og kvalitativ metode gjennom spørreskjema og intervju. Dataen jeg benytter er sitater og svar fra samfunnsfaglærere om hvordan de bruker film, og hva de mener kan gi best læringsutbytte.
Resultatene viser blant annet at spillefilm sjeldent eller aldri blir brukt. Derimot er kortfilm og filmklipp fra 0-40 minutter populært. Dette baserer seg på at lærerne mener en må få tid til både forarbeid og etterarbeid",,,"Nå",,"Fulltext http://www.ub.uit.no/munin/bitstream/10037/8128/2/thesis.pdf","URN URN:NBN:no-uit_munin_7713","https://hdl.handle.net/10037/8128",,"URN:NBN:no-uit_munin_7713","nob",,"UiT Norges arktiske universitet||UiT The Arctic University of Norway",,"openAccess",,"Copyright 2015 The Author(s)",,"https://creativecommons.org/licenses/by-nc-sa/3.0","Attribution-NonCommercial-ShareAlike 3.0 Unported (CC BY-NC-SA 3.0)",,"LRU-3905","VDP::Samfunnsvitenskap: 200::Pedagogiske fag: 280::Fagdidaktikk: 283||VDP::Social science: 200::Education: 280::Subject didactics: 283",,"Det gjensidige samspill mellom lærer og film. En film kan ikke stå på egne ben",,"Master thesis||Mastergradsoppgave",
"9383","10037/8170","Folkenborg, Håkon Rune",,,"Losnedahl, Martin",,,,"2015-05-14",,"Jeg har i denne oppgaven undersøkt hvordan elever i femteklasse operasjonaliserer nøkkelbegreper i sine besvarelser av historiske spørsmål. Dette er da nøkkelbegreper innenfor historiefaget, som skal hjelpe elevene å analysere historiske hendelser. Jeg har undersøkt elevenes bruk av kilde-, empati- og endringsbegrepet. I tillegg til å se på hvordan elevene benyttet begrepene, ville jeg sammenligne elevenes tendenser med britiske elever. Da ble det også naturlig å se på forskjeller i læreplanene mellom Norge og Storbritannia. 

Jeg har hovedsakelig benyttet litteratur fra Erik Lund og Peter Lee, som har definert nøkkelbegrepene og elevenes hovedtendenser ut fra disse. Litteraturen for seg hovedsakelig britiske elevers tankemåter. I tillegg har jeg belyst temaet med flere didaktikeres syn på nøkkelbegrepene, og sett på ulike retninger innenfor historiedidaktikk. 

Jeg undersøkte problemstillingen ved å dele ut spørreskjema og spørsmål til elever på femte trinn på en skole i Tromsøområdet. Svarene jeg fikk fra elevene var resultatet mitt, som jeg benyttet til å lete i etter funn og tendenser.  

Mine funn fra undersøkelsen viste at elevene i Norge ikke skilte seg ut i nevneverdig grad fra britiske elever. Måtene å forstå og bruke nøkkelbegrepene var så å si identisk med den typiske britiske eleven. Det som er interessant med dette er at elever i Storbritannia skal ha lært å bruke nøkkelbegreper fra de begynte på skolen, og allikevel ser man ingen stor forskjell mellom norske og britiske elever. Det skal også nevnes at i norsk læreplan er det nesten ingen direkte føringer for nøkkelbegreper, en kontrast fra den britiske læreplanen som vektlegger dette direkte og i stor grad. 

Det også var enkelte unike funn fra norske elever når det gjelder bruk av nøkkelbegreper, som ikke er sammenlignbart med annen litteratur. Disse funnene forklarte hvordan elevene ofte tror forskere er de som skriver historie, samt hvordan elevene ser på mennesker fra fortiden som smartere fordi «de fant opp mye». Disse funnene kan bidra med å kartlegge norske elevers tendenser.",,,"Nå",,"Fulltext http://www.ub.uit.no/munin/bitstream/10037/8130/2/thesis.pdf","URN URN:NBN:no-uit_munin_7714","https://hdl.handle.net/10037/8130",,"URN:NBN:no-uit_munin_7714","nob",,"UiT Norges arktiske universitet||UiT The Arctic University of Norway",,"openAccess",,"Copyright 2015 The Author(s)",,"https://creativecommons.org/licenses/by-nc-sa/3.0","Attribution-NonCommercial-ShareAlike 3.0 Unported (CC BY-NC-SA 3.0)",,"LRU-3905","VDP::Samfunnsvitenskap: 200::Pedagogiske fag: 280::Fagdidaktikk: 283||VDP::Social science: 200::Education: 280::Subject didactics: 283||historiedidaktikk||nøkkelbegrep||innholdsbegrep||historie||samfunnsfag||læreplan||mellomtrinnet||New History||Peter Lee||Erik Lund||endring||empati||kilde||årsak||historisk kunnskap||samfunnsfagdidaktikk||læreplan for samfunnsfag||history curriculum||hverdagsforestillinger||stereotypi",,"Elevers bruk av historiefaglige nøkkelbegreper. Hvordan operasjonaliserer elever på femte trinn nøkkelbegreper i sine besvarelser av historiske spørsmål?",,"Master thesis||Mastergradsoppgave",
"9369","10037/8170",,,"Fyhn, Anne Birgitte",,,"Bremset, Rune",,,"2015-05-09","Avhandlingens tema er faglige, interaktive samtaler i matematikk, der elevenes forestilling av forventning om mestring er hovedfokus. Prosjektets forskningsspørsmål er: Hvordan kan elevers forestillinger av forventning om mestring relateres til deres deltakelse i faglige, interaktive samtaler i matematikk?

Hensikten med prosjektet er å få en dypere forståelse av faktorer som påvirker den muntlige aktiviteten blant elevene i matematikkundervisningen. Utvalget er sammensatt av fire 10.klassinger og én matematikklærer, som alle er observert i klasserommet og senere intervjuet hver for seg. Prosjektet er en multiple-casedesign, som betyr at et eller flere fenomen betraktes fra ulike perspektiv. Denne avhandlingen har konsentrert seg om elevperspektivet og lærerperspektivet. 

Jeg undersøker elevenes forventning om mestring ved hjelp av fire ulike kilder til forventning om mestring: 1. Personlige erfaringer, 2. Eksterne kilders erfaring av mestring, 3. Verbal oppmuntring og tilbakemelding og 4. Fysiologiske og emosjonelle kilder (Bandura, 1994; 1997; Skaalvik & Skaalvik, 1998). I avhandlingen bruker jeg elev- og lærerperspektivet for å belyse hvilken innvirkning elevenes forventning om mestring har på deres muntlige aktivitet. Lærers refleksjoner blir videre brukt som støtte under analysen og utdyper enkelte moment elevene reflekterer over. 

Resultatene viser at det eksisterer en sammenheng mellom elevenes forestilling av forventning om mestring og deres muntlige deltakelse i matematikkundervisningen. Elever som deltar relativt mye i undervisningen, viser stor tro på egen mestring overfor oppgaver og problemer lærer gir i undervisningen. Elever derimot som ikke deltar i 
undervisningen, viser liten tro på egen mestring. 

Resultatene viser at samtlige elever i samarbeid med andre viser en forventning om mestring. Gruppearbeid er med andre ord noe alle setter pris på som arbeidsform i matematikk. Samarbeidsoppgaver ser ut til å styrke elevenes erfaring av mestring og videre forventing om mestring.",,,"Nå",,"Fulltext http://www.ub.uit.no/munin/bitstream/10037/8118/2/thesis.pdf","URN URN:NBN:no-uit_munin_7703","https://hdl.handle.net/10037/8118",,"URN:NBN:no-uit_munin_7703","nob","UiT The Arctic University of Norway",,"UiT Norges arktiske universitet","openAccess",,"Copyright 2015 The Author(s)",,"https://creativecommons.org/licenses/by-nc-sa/3.0","Attribution-NonCommercial-ShareAlike 3.0 Unported (CC BY-NC-SA 3.0)",,"LRU-3903","VDP::Matematikk og Naturvitenskap: 400::Matematikk: 410||VDP::Mathematics and natural science: 400::Mathematics: 410||VDP::Humaniora: 000::Litteraturvitenskapelige fag: 040||VDP::Humanities: 000::Literary disciplines: 040",,"Et affektivt fokus på faglige, interaktive samtaler i matematikk","Master thesis",,"Mastergradsoppgave"
"9384","10037/8170","Folkenborg, Håkon Rune",,,"Mathisen, Ingrid Dahl",,,,"2015-05-14",,"Tema for denne oppgaven er lesing som grunnleggende ferdighet i samfunnsfag, og problemstillingen som er belyst er: Hvordan forstår et utvalg samfunnsfaglærere lesing som grunnleggende ferdighet i samfunnsfag? I tillegg er problemstillingen utbygd med forskningsspørsmål som forsøker å se tematikken fra flere synsvinkler. De omhandler begreper som leseferdighet og lesekompetanse i tilknytning til definisjonen på lesing som grunnleggende ferdighet i samfunnsfag, og hvordan lærerne forstår dette. Videre tar forskningsspørsmålene opp samfunnsfaglærerenes meninger om retningslinjene fra Læreplan for Kunnskapsløftet, og ser på hvilke aspekt, teksttyper og meningsskapende ressurser de mener inngår og ikke inngår i lesingen i faget. Hva kan dette si oss om formuleringen som læreplanen utviser?

Teorigrunnlaget som oppgaven tar for seg er knyttet opp mot begrepene leseferdighet og lesekompetanse, lesing av sammensatte tekster og herunder fagtekster og det særegne ved samfunnsfaglige tekster. Videre er selve læreplanen i samfunnsfag redegjort for, både med tanke på fagets egenart, lesing som grunnleggende ferdighet og kompetansemål. I tillegg presenteres et utvalg leseundersøkelser, både internasjonale og nasjonale, med tanke på resultater knyttet til samfunnsfaget. 

Det metodiske aspektet baserer seg på en kvantitativ tilnærmingsmåte der spørreundersøkelse er benyttet. Dataene er analysert av svar fra 31 samfunnsfaglærere i henholdsvis Finnmark og Troms. Resultatene viser at aspekter og meningsskapende ressurser som noen lærere mener ikke angår lesing er: å behandle og bruke informasjon fra bilder, tegninger, film, tabeller, grafer og kart, samt kildekritikk. Hva de anser for ikke å omhandle lesing i faget varierte ut i fra spørsmålsformuleringene. Videre fordeler utvalget av samfunnsfaglærere seg på at definisjonen på lesing som grunnleggende ferdighet i samfunnsfag er både omfattende, komplisert, dekkende og bra. Et variert syn som likevel peker på en tendens til usikkerhet omkring forståelsen for retningslinjene gitt av Læreplan for Kunnskapsløftet.",,,"Nå",,"Fulltext http://www.ub.uit.no/munin/bitstream/10037/8131/2/thesis.pdf","URN URN:NBN:no-uit_munin_7715","https://hdl.handle.net/10037/8131",,"URN:NBN:no-uit_munin_7715","nob",,"UiT Norges arktiske universitet||UiT The Arctic University of Norway",,"openAccess",,"Copyright 2015 The Author(s)",,"https://creativecommons.org/licenses/by-nc-sa/3.0","Attribution-NonCommercial-ShareAlike 3.0 Unported (CC BY-NC-SA 3.0)",,"LRU-3905","VDP::Samfunnsvitenskap: 200::Pedagogiske fag: 280::Fagdidaktikk: 283||VDP::Social science: 200::Education: 280::Subject didactics: 283||Lesing||Grunnleggende ferdighet||Samfunnsfag||Læreplan",,"Lesing som grunnleggende ferdighet i samfunnsfag. Hvordan forstår et utvalg samfunnsfaglærere lesing som grunnleggende ferdighet i samfunnsfag?",,"Master thesis||Mastergradsoppgave",
"9370","10037/8170","Haavold, Per Øystein",,,"Eidissen, Thomas Frantzen||Johansen, Martin",,,,"2015-05-15",,"Sammendrag

Problemstillingen for denne masteroppgaven er følgende: ”Hva kjennetegner læreres oppfatning av nivådifferensiering i matematikk?”. Vi har med utgangspunkt i denne problemstillingen undersøkt en metode for å drive nivådifferensiert undervisning i matematikk, ved en aldersblandet baseskole. Vi har gjennom studien hatt et fokus på hvordan nivådifferensiering kan være en fordel for flinke elever, samtidig som man unngår stigmatisering av andre elever.

Vi har brukt kvalitativt forskningsintervju som innsamlingsmetode. Vi gjennomførte åtte intervju med lærere som brukte nivådifferensieringsmetoden. Gjennom en tematisk analyse har vi kodet datamaterialet, og tolket kodingen i lys av vårt konseptuelle rammeverk.

Gjennom analysen fant vi tre funn som skal være med på å beskrive vår problemstilling. Alle lærerne kjennetegnet flinke elever i matematikk med regneferdigheter, gode holdninger, innsats og faglig selvtillit. Videre sier lærerne  at de enklere klarer å tilpasse opplæringen  for flinke elever ved bruk av nivådifferensiering. Lærerne trakk frem sosiale tilpasninger og arbeid med bevissthet rundt egen læringsprosess, som tiltak for å hindre stigmatisering av elever.",,,"Nå",,"Fulltext http://www.ub.uit.no/munin/bitstream/10037/8096/2/thesis.pdf","URN URN:NBN:no-uit_munin_7691","https://hdl.handle.net/10037/8096",,"URN:NBN:no-uit_munin_7691","nob",,"UiT Norges arktiske universitet||UiT The Arctic University of Norway",,"openAccess",,"Copyright 2015 The Author(s)",,"https://creativecommons.org/licenses/by-nc-sa/3.0","Attribution-NonCommercial-ShareAlike 3.0 Unported (CC BY-NC-SA 3.0)",,"LRU-3903","VDP::Social science: 200::Education: 280::Subject didactics: 283||VDP::Samfunnsvitenskap: 200::Pedagogiske fag: 280::Fagdidaktikk: 283||Nivådifferensiering||Tilpasset opplæring||Stigmatisering||Flinke elever||Cross grad grouping||Between class grouping||Akselerert",,"Aldersblandet nivådifferensiering i matematikk. En kvalitativ studie av læreres oppfatning av nivådifferensiering i matematikk",,"Master thesis||Mastergradsoppgave",
"9371","10037/8170","Drageset, Ove Gunnar",,,"Johnsen, Esben||Olsen, Espen",,,,"2015-05-15",,"I denne teksten fokuserer vi på elevenes forklaringer i matematikk. Gjennom deltakende observasjon fant vi ut at elever på 8.klassetrinn forklarer seg på et ulikt teknisk nivå i elevstyrte og lærerstyrte kontekster. Størst variasjon i forklaringene fant vi når samtalen var lærerstyrt, og her kom det frem at enkelte spørsmål satte elevene i en forklaringssituasjon hvor de ikke kunne gjøre rede for egen tankegang. De elevstyrte forklaringene viste seg å være mer praktisk basert enn de lærerstyrte, men det var små variasjoner i bruken av de praktiske baserte forklaringene.",,,"Nå",,"Fulltext http://www.ub.uit.no/munin/bitstream/10037/8109/2/thesis.pdf","URN URN:NBN:no-uit_munin_7699","https://hdl.handle.net/10037/8109",,"URN:NBN:no-uit_munin_7699","nob",,"UiT Norges arktiske universitet||UiT The Arctic University of Norway",,"openAccess",,"Copyright 2015 The Author(s)",,"https://creativecommons.org/licenses/by-nc-sa/3.0","Attribution-NonCommercial-ShareAlike 3.0 Unported (CC BY-NC-SA 3.0)",,"LRU-3903","VDP::Samfunnsvitenskap: 200::Pedagogiske fag: 280::Fagdidaktikk: 283||VDP::Social science: 200::Education: 280::Subject didactics: 283||Matematisk kommunikasjon||Forklaringsteori||Kvalitativ studie||Praktisk basert forklaring||Elevstyrt||Matematisk basert forklaring||Lærerstyrt||Forklaring||Bevis||Kompetansemodeller",,"Elevers matematiske forklaringer
- Praktisk og matematisk baserte likheter og ulikheter",,"Master thesis||Mastergradsoppgave",
