id,collection,dc.contributor.author,dc.contributor.editor,dc.date.issued,dc.identifier.uri,dc.language.iso[en_US],dc.source.issue[en_US],dc.source.pagenumber[en_US],dc.title[en_US],dc.type[en_US]
"0009bede-a9b4-4cc5-9390-e23813f065ef","11250/3011257","Fiskerstrand, Ina Adele||Fotland, Ida Victoria Mortensdatter",,"2023","https://hdl.handle.net/11250/3084774","nob",,"88","Assistentenes bidrag i inkluderingsarbeidet","Master thesis"
"0b56662f-5242-490c-95d1-869ecedbfb08","11250/3011257","Gunhildrud, Anne Helene",,"2024","https://hdl.handle.net/11250/3155203","nob",,"75","""... og så sørger jeg for at vi avslutter det godt likevel"" Foreldresamarbeid med vanskelige temaer.","Master thesis"
"13423268-a321-460a-91e0-2cd76d772060","11250/3011257","Magnussen, Siri Kjelsås",,"2022","https://hdl.handle.net/11250/3011904","nob",,"82","Fysisk aktiv læring i matematikkundervisningen.","Master thesis"
"14423e08-5d13-4386-8ac5-ca507ac89e8e","11250/3011257","Strand, Trym",,"2022","https://hdl.handle.net/11250/3011912","nob",,"72","Å utforske måling i matematikk i digitale læreverk – en analyse av to digitale læreverk.","Master thesis"
"1dc2c4e9-769b-415f-8300-6c37c9bbf968","11250/3011257","Mortvedt, Julie",,"2022","https://hdl.handle.net/11250/3011784",,,"71","Bringing Environmental Awareness into the English-Speaking Classroom Through Picturebooks","Master thesis"
"20820932-6a17-4bc4-82f2-b5ba872a186e","11250/3011257","Basmoen, Basmoen_Hans-Martin",,"2023","https://hdl.handle.net/11250/3084775","nob",,"82","«Det er jo noen ganger jeg tenker at det ikke er nok liksom. Bare jeg er ikke nok.» Praktisering av profesjonell kjærlighet til elever med utfordrende adferd – en kvalitativ studie.","Master thesis"
"221d3ddd-f6d4-460b-a1df-657139e18055","11250/3011257","Eliassen, Niclas",,"2024","https://hdl.handle.net/11250/3178664","nob",,"71","Erfaringer med å fremme funksjonstenkning - En kvalitativ intervjustudie med matematikklærere på småtrinnet","Master thesis"
"2d9781be-f077-4899-9b9b-e4d6692b4fb9","11250/3011257","Jensen, Emma Caroline Back||Vestby, Katrine",,"2022","https://hdl.handle.net/11250/3016558","nob",,"113","Tidlig innsats – elever som strever i skriftspråkinnlæringen","Master thesis"
"3cc64d32-8a9b-458f-9b2a-d08bfee2093b","11250/3011257","Drøbak, Hannah Darlén",,"2023","https://hdl.handle.net/11250/3085546","eng",,"79","Heteronormativity in Norwegian ESL textbooks for primary school: the case of Quest","Master thesis"
"4813170f-1bc2-41ea-8406-bf56bd102e7e","11250/3011257","Koteng, Ella Madelen Karinsdatter",,"2022","https://hdl.handle.net/11250/3011880","nob","79",,"Utvikling av elevers muntlige ferdigheter i arbeid med problemløsende matematikk på fire uker– en utvikling?","Master thesis"
"4a3b88cc-c551-4eb8-a5a7-99ae5bfc4f1b","11250/3011257","Riiser, Una",,"2023","https://hdl.handle.net/11250/3084318","nob",,"77","Utfordrende møter mellom politiske tekster og pedagogisk praksis. En diskursanalyse av intervjuer med lærere om tilpasset- og universell opplæring","Master thesis"
"4cfb26d8-cc45-4203-9d6a-3c7808262e0c","11250/3011257","Helland, Lone",,"2023","https://hdl.handle.net/11250/3084813","nob",,"73","Barneskolelæreres planlegging for dybdelæring i matematikk","Master thesis"
"4f0d0dbd-50dd-4e48-b363-546400d16905","11250/3011257","Skogholt, Kasper Gustav",,"2024","https://hdl.handle.net/11250/3153393","nob",,"71","Integreringen og relasjonen mellom matematikk og programmering i matematiske lærebøker","Master thesis"
"4f435a92-06b2-4bd1-82ca-a0e95ad73eb6","11250/3011257","Thomsen, Sanne Hollung||Ingvaldsen, Frøya Maria",,"2024","https://hdl.handle.net/11250/3155190","nob",,"100","""Slå på ring"" - En kvalitativ studie av hvordan en kan jobbe med forebyggende arbeid av vold i barneskolen.","Master thesis"
"4fc67c4f-36fe-4cc4-ac99-377b986922bc","11250/3011257","Amundrød, Emilie Bergby",,"2024","https://hdl.handle.net/11250/3155208","nob",,"77","Mellom forskning og praksis: En studie av kunnskapsdiskurser i lærerprofesjonen","Master thesis"
"60807408-74f6-406b-95bd-055508366e00","11250/3011257","Olsen, Celine Lie||Jensen, Silje Marie",,"2024","https://hdl.handle.net/11250/3153388","nob",,"99","Multi Smart Øvings bidrag i fasene i matematikkundervisning – Fra et lærerperspektiv","Master thesis"
"62725cb4-91ce-4f2f-935c-51975625f489","11250/3011257","Harlan, Maria",,"2022","https://hdl.handle.net/11250/3016563","nob",,"84","Du blir hva du spiller og leser! En studie av elevers fritidstekster og hvordan tekstene kan bidra til brobygging og Identitetsutvikling i norskfaget.","Master thesis"
"657cfdb6-47d3-4d23-8ac2-42297d4d5f7f","11250/3011257","Kurzok, Natalie||Samueang, Thanaporn",,"2023","https://hdl.handle.net/11250/3084769","nob",,"99","«Jeg hadde følt meg veldig lite verdt» - En tematisk analyse av fokusgruppeintervjuer om elevers opplevelse ved differensiering i klasserommet","Master thesis"
"69b2e745-e125-48b0-9651-342a59120c2c","11250/3011257","Wiik, Stine||Sarr, Silje Krogh",,"2024","https://hdl.handle.net/11250/3155183","eng",,"169","Elements of in-depth learning within the EFL textbooks Link 5 and Explore 5","Master thesis"
"78b191ed-4959-44f9-9bcc-24d749418bab","11250/3011257","Guttormsen, Emilie||Ottesen, Kristin",,"2023","https://hdl.handle.net/11250/3084952","nob",,"87","Matematiske problemløsningsoppgaver i læreverk på småtrinnet","Master thesis"
"7bb6687b-005f-4cb8-9f72-dd581393ca94","11250/3011257","Moen, Malin Kristine",,"2022","https://hdl.handle.net/11250/3011814","nob",,"76","Inkludering av elever med innvandrerbakgrunn","Master thesis"
"8500cf2c-5ee3-42c2-b8ad-b7a6d084cd8d","11250/3011257","Johannessen, Jørgen",,"2022","https://hdl.handle.net/11250/3011915","nob",,"77","«Om jeg gjør jobben min, så lærer elevene mine matte!» En fenomenologisk studie om fem matematikklæreres elevsyn.","Master thesis"
