id,collection,dc.contributor.author,dc.date.issued,dc.identifier.uri,dc.language.iso[en_US],dc.source.issue[en_US],dc.source.pagenumber[en_US],dc.title[en_US],dc.type[en_US]
"00690364-1c75-4211-9b1d-db216f858af0","11250/3011260","Amundsen, Karl-Johan Elsworth Berger||Erpolat, Dilan","2023","https://hdl.handle.net/11250/3084801","nob",,"97","Flerspråklige elever og deres møte med tekstoppgaver","Master thesis"
"01060063-6cdb-48e7-bd8e-0f109adbc9a1","11250/3011260","Paulsboe, Alexander","2024","https://hdl.handle.net/11250/3153164","nob",,"82","Forekomster av imitativ- og kreativ matematisk  resonnering i gruppearbeid i Scratch","Master thesis"
"0872051b-1c19-4a2f-82fe-55f4352e9234","11250/3011260","Berglund, Alexander Solberg||Barmen, Ann-Michelle Ristesund Hult","2024","https://hdl.handle.net/11250/3155171","eng",,"84","Moving Towards Effective Feedback Practices: A Study on AI-Enhanced Assessment for Learning in English Writing","Master thesis"
"119fac79-50e2-4805-aac8-9195a9e39096","11250/3011260","Dangstorp, Astrid Elise","2024","https://hdl.handle.net/11250/3155176","eng",,"105","Exploring Attention Dynamics in English Learning Classrooms: The Role of External Stimuli and Multitasking","Master thesis"
"173aee78-ac14-4588-98ab-7273e3688288","11250/3011260","Mørken, Heidi","2022","https://hdl.handle.net/11250/3011846","nob",,"84","«Hva skal vi med det her?!» - Lærelyst ved virkelighetsnær matematikk.","Master thesis"
"1830aad6-cf4b-4694-820e-fe788dfc5565","11250/3011260","Grahn, Jessica Elisabeth Flaten||Guldteig, Margrete","2024","https://hdl.handle.net/11250/3155120","nob",,"101","“Det er jo ikke noe, øver jo ikke på det, hvordan du skal ha en fagsamtale i norsk lissom…” - En studie av elevers opplevelse av arbeid med muntlige ferdigheter i norskfaget","Master thesis"
"1bb89c3c-7c83-4774-9925-ea9296d5251d","11250/3011260","Topić, Amina","2023","https://hdl.handle.net/11250/3085543","eng",,"134","Giving Reluctant Readers a Voice: Promoting Intercultural Competence through the Graphic Novel “When Stars are Scattered” (2020)","Master thesis"
"1d7b73e4-867f-4b10-9fe4-88b85c895aa5","11250/3011260","Karlsen, Natalia Mileah Aas||Salimi, Mina","2022","https://hdl.handle.net/11250/3016527","nob",,"96","Motivasjon og dybdelæring i matematikkfaget","Master thesis"
"24263788-0536-476f-a7c7-f9ecaf17b3a4","11250/3011260","Nybråten, Samuel Andre Nordahl||Odden, Sondre Johansen","2024","https://hdl.handle.net/11250/3155215","nob",,"97","Gaming i ungdomsskolen, en firedimensjonal verden?","Master thesis"
"253a0537-ee5c-4c8e-ab4b-99beea636bbe","11250/3011260","Herness, Malene||Kvivesen, Sunniva","2024","https://hdl.handle.net/11250/3155180","eng",,"106","Vocabulary learning through playing the narrative-driven video game What Remains of Edith Finch","Master thesis"
"2613a4be-3bdf-4d3d-a7c0-ef9a49393347","11250/3011260","Bagger, Ingrid Elisabeth","2024","https://hdl.handle.net/11250/3153156","nob",,"88","Formativ vurdering, ""en fordel for alle""-","Master thesis"
"2861e365-f4ec-4675-aabc-50da48bd0a9f","11250/3011260","Hansen, Anders Bårreng","2024","https://hdl.handle.net/11250/3155178","eng",,,"The art of education: Exploring the learning potential of aesthetic engagement with speculative fiction in a Bildung-theoretical perspective through Ursula K Le Guin’s The Dispossessed","Master thesis"
"288bc5e2-a958-447c-bc85-a2dc3548a6c2","11250/3011260","Olsen, Ann Helen","2024","https://hdl.handle.net/11250/3153158","nob",,"81","Hvilke tilnærminger til  problemløsning tilbyr tre læreverk i  matematikk på 10. trinn?","Master thesis"
"36e980ce-2290-4b51-a19c-b6e2c9f8c949","11250/3011260","Eide, Tuva||Sjo, Camilla","2023","https://hdl.handle.net/11250/3085189","nob",,"90","Det var en gang et eventyr som het livet - En analyse av et utvalg av H.C. Andersens eventyr og hvordan emosjoner som rommer sårbarhet kommer til uttrykk i disse","Master thesis"
"3bf2592c-13a4-4c64-a2ec-1c0fe107ada0","11250/3011260","Godberg, Marte Seteklev","2023","https://hdl.handle.net/11250/3084795","nob",,"87","«Matte er gøy når man får det til!»","Master thesis"
"3ccf3d57-a58f-4ce6-a573-ef816e63b4ae","11250/3011260","Pettersen, Silje Skjervik","2022","https://hdl.handle.net/11250/3011926","nob","73",,"Et inkluderende læringsmiljø.","Master thesis"
