id,collection,dc.contributor.advisor,dc.contributor.author,dc.date.issued,dc.description.abstract[en_US],dc.description.localcode,dc.description.localcode[en_US],dc.description.sponsorship[en_US],dc.description[en_US],dc.identifier.uri,dc.language.iso[en_US],dc.publisher,dc.publisher[],dc.publisher[en_US],dc.rights.uri[*],dc.rights[*],dc.source.pagenumber[en_US],dc.subject.nsi[en_US],dc.subject[en_US],dc.title.alternative[en_US],dc.title[en_US],dc.type[en_US]
"f1345d7b-940c-4932-8f85-61a33ec86943","11250/285933",,"Sæther, Runa Godø","2022","This thesis aims to present a research-based educational method and design for using
rap and hip hop in transdisciplinary science and arts rap music video (RMV) projects in
the classroom within the context of the Global Science Opera (GSO). Building on
theories of the GSO pedagogy, hip-hop-pedagogies, and theories of creativity in
education, suggested guidelines of GSO RMV have been developed through the
implementation of 10 RMV projects in the same teaching environment. 4 of these have
been implemented in the context of the annual participation of the online GSO
production. As a suggested signature pedagogy, GSO offers a transdisciplinary
approach to teaching science through art activities. This study suggests expanding the
creative activities in the GSO pedagogy to include a teaching design of RMV projects,
as proposed in this thesis, through research on GSO RMV practices.
A structure of an RMV teaching design has been inspired by, developed, and mapped
through a retrospective Educational Design Research process, with an emphasis on the
lyrics production of the RVM projects. In this qualitative study, conjecture mapping has
been used to build an analytical framework for systemising the data collected through
the three EDR phases, concretising the high-level conjectures, embodiments, and
mediating processes involved to achieve the preferred outcomes of the iterations.
Through the iterations of the study, a teaching design emerged and was proposed as
suggested GSO RMV guidelines consisting of the four design thinking phases (Feel,
Imagine, Create, Share) of the GSO pedagogy, a 5-step locally developed RMV model
and a 5-step model of inquiry-based activities to developing RMV projects inside or
outside of the GSO context.
This study’s findings may contribute to future research on using RMV projects in a
GSO context or as a teaching design used in a different educational context.",,"MACREL-OPG",,,"https://hdl.handle.net/11250/3099870","eng",,,"Høgskulen på Vestlandet","http://creativecommons.org/licenses/by/4.0/deed.no","Navngivelse 4.0 Internasjonal",,,,,"Rap music videos in the Global Science Opera – towards a teaching design","Master thesis"
"0136063c-df12-497d-8e3c-5e89270a46aa","11250/2473194",,"Fauskanger, Tina Skotnes","2022","Bakgrunn og formål: Barn og unge i dag tilbringer mye av tiden sin på skolen. Opplæringsloven sier at alle elever har rett til et trygt og godt skolemiljø som fremmer helse, trivsel, og læring. For at elevene skal trives på skolen er det viktig å se på arenaene som kan bidra til å øke trivselen hos elevene. Skolemåltidet er et av ansvarsområdene skolen har, og på bakgrunn av dette skal skolen tilrettelegge og fremme trivsel hos barn og unge både i undervisningen og utenom undervisningen. I denne studien har jeg ut ifra dette landet på problemstillingen: Hvordan blir spisepausen ved to ulike ungdomsskoler tilrettelagt, og hvordan opplever elevene ulike typer skolemåltid med fokus på sosialt samvær? 
Metode: Det er gjort en komparativ-casedesign av to ulike ungdomsskoler. Studien benytter «mixed method» som blander kvantitative og kvalitative metoder. Studien består av observasjon, fokusgruppeintervju og spørreskjema. Utvalget er fra 8.- og 10. trinn og spørreskjemaet er besvart av 243 elever ved Skole A og 131 elever ved Skole B. 
Resultater: Spisepausen til elevene ved Skole A bestod av å spise i en spisesal med tilgang til kantine. Elevene ved Skole B sin spisepause bestod av å sitte med elevene fra egen klasse i eget klasserom. Elevene ved Skole A som spiste i spisesal var mer fornøyd med ordningen enn elevene ved Skole B som spiste i klasserom. Elevene ved begge skolene var enig i at spisepausen var deres pause fra undervisningen, og derfor burde de få velge fritt hvem de spiser med. Flertallet ved begge skolene svarer at liker å snakke med andre i spisetiden. 23% av elevene ved Skole B svarte at de satt alene i spisetiden, mens ved Skole A svarte 0% at de satt alene. Skole A hadde avsatt 20 minutter til spising, men hadde 20 minutter friminutt etter spisingen som gjorde at de kunne sitte lengre å spise hvis de ville. Skole B hadde avsatt 10 minutter i begynnelsen av prosjektet, men ble endret til 20 minutter i slutten av prosjektet. Elevene ved begge skolene var enig i at 20 minutter var nok tid til å spise. Elevene ved Skole B brukte mye tid på mobilen i spisetiden, mens Skole A var en mobilfri skole. Elevene var positiv til bruk av mobil ved Skole B, og mente at det ikke innvirket på det sosiale rundt måltidet. 
Konklusjon: På bakgrunn av datamaterialet ser vi at en felles spisesal bidrar til å øke elevenes trivsel, siden elevene ved Skole A er mer fornøyd med ordningen av spisepausen enn elevene ved Skole B. Dette viser at tilretteleggingen av spisetiden har stor betydning for det sosiale måltidet og at tilstrekkelig tid og mer frihet i forbindelse med spisepausen i klasserom er viktig for elevene",,"MGBMH550",,"Grunnskolelærerutdanning 1-7 Fakultet for lærarutdanning, kultur og idrett (FLKI) Institutt for idrett, kosthald og naturfag – MGBMH550","https://hdl.handle.net/11250/3016769","nob",,,"Høgskulen på Vestlandet","http://creativecommons.org/licenses/by/4.0/deed.no","Navngivelse 4.0 Internasjonal",,,"spisepause||trivsel||sosiale måltid||ungdom||skolemåltid","A study on how students in secondary school experience the lunchbreak - with focus on the social meal","En kartlegging av hvordan elevene på ungdomsskolen opplever spisepausen - med fokus på sosialt samvær","Master thesis"
"04a9779e-a6c6-4566-a8ae-a7e6d02295cd","11250/285933",,"Skuggen, Cornelia Roiha","2022","Denne masteroppgaven er et utviklingsprosjekt der målet er å undersøke hvordan et undervisningsopplegg knyttet til omforming av tomgods kan brukes i undervisning for bærekraftig utvikling i folkehøgskolen. Problemstillingen min er:
Hvordan kan arbeid med omforming av glassemballasje bidra til innsikt i gjenvinning og bærekraft?
Bakgrunnen for studien er egen erfaring med at tomflasker og emballasjeglass er en ressurs som er lett tilgjengelig. Dette materialet kan gjenvinnes utallige ganger uten å tape kvalitet. Som lærer i folkehøgskolen vil jeg se på hvordan min erfaring som glassblåser kan kombineres med undervisning for bærekraftig utvikling i glassblåserverkstedet. Jeg ønsker å undersøke hvordan elevene får innsikt og erfaringsbasert kunnskap med de mulighetene som finnes i gjenvinning, ved å la de selv arbeide med glødende glass for å gjøre flasker om til ulike bruksgjenstander. Med dette ønsker jeg å undersøke hvordan de får innsikt og erfaring med de mulighetene som finnes i begrepet gjenvinning. En klok mann ga meg en gang sin definisjon på en unik opplevelse. Han sa: «En varig sanseopplevelse er noe du husker, noe du ønsker å gjøre igjen og noe du snakker positivt om i etterkant» (Inge Johnsen, 2022). Fordi jeg selv er så begeistret for det varme glassets magi ønsker jeg å gi elevene innsikt i gjenvinning gjennom sanseopplevelser, praktisk arbeid og mestring.
Det teoretiske grunnlaget for min forsking bygger på mesterlære og et sosiokulturelt læringssyn der bærekraftsdidaktikk og læring gjennom erfaring står sentralt. For å få innsikt i dette har jeg brukt aksjonsforskning og kvalitativ metode i arbeidet med fem elever i glassblåserverkstedet. Jeg har samlet data gjennom to semistrukturerte gruppesamtaler, observasjon og arbeidslogg av verkstedarbeid. En gjennomgang av mine observasjoner og elevenes egne erfaringer danner grunnlaget for empiri. Dette har gitt materiale til et mønster som gir svar på problemstillingen.
Jeg håper masteroppgaven kan bidra til økt forståelse i hvilke muligheter som finnes i begrepet gjenvinning, både i undervisning for bærekraftig utvikling og i livet ellers.",,"MACREL-OPG",,"MaCrel, Høgskolen på Vestlandet avd. Stord","https://hdl.handle.net/11250/3009747","nob",,,"Høgskulen på Vestlandet","http://creativecommons.org/licenses/by/4.0/deed.no","Navngivelse 4.0 Internasjonal",,,,,"Seks dager i et glassblåserverksted","Master thesis"
"3fb03322-0fa5-46d2-a050-6af86198a2fe","11250/285933",,"Lunde, Katarina","2022","Jeg har gjort en autoetnografisk studie som fokuserer på min skapelsesprosess av fire barnesanger. Sangene representerer hver sin årstid: vår, sommer, høst, vinter. I første del av arbeidet jobbet jeg alene med å generere utgangspunktet for det musikalske materialet og tilhørende tekster. Andre del av arbeidet har hovedsakelig foregått i studio, sammen med fire andre musikere som har bidratt til studioproduksjonen og arrangering av låtene. Jeg reflekterer rundt prosessen i lys av teorier om skapelse av Bjørn Kruse, Gert J.J. Biestas forståelse av pedagogikk, og Donald Schöns tekster om refleksjon som redskap for utvikling og innsikt. Prosjektet har satt i gang en dypere refleksjonsprosess over hva jeg ønsker å bidra med i min rolle som medmenneske, pedagog og mamma, og som musiker og komponist. Jeg har gjort en studie av meg selv – men min skapelsesverden og det som har oppstått i løpet av skapelsesprosessen, har i stor grad blitt til gjennom møter. Mitt møte med verden og verden i møte med meg. Å studere meg selv som komponist, musiker og medmusiker har på alle måter også økt min motivasjon og interesse for de fagene jeg utdanner meg innenfor, og jeg tror det å rette fokuset mot egen skapelsesprosess i denne perioden har gagnet meg også som veileder og pedagog. Studien har gitt meg en utvidet og dypere forståelse av musikk, komposisjon, samspill/samarbeid, pedagogikk og meg selv.",,"MACREL-OPG",,,"https://hdl.handle.net/11250/3009768","nno",,,"Høgskulen på Vestlandet","http://creativecommons.org/licenses/by/4.0/deed.no","Navngivelse 4.0 Internasjonal",,,,"Making four songs for children:  An autographic study of a creating process","Fire barnesanger blir til: En autoetnografisk studie av en skapelsesprosess","Master thesis"
"995db26d-617e-4633-a92d-5eed13499c25","11250/285933",,"Velde, Kari Helen Drabløs","2022","Dette kvalitative forskningsprosjektet omhandler andrespråksundervisning, og tre læreres erfaringer og opplevelser med fenomenet Leseundervisning på elevers andrespråk, som også er tittelen på prosjektet. Fordi vi er blitt et flerkulturelt samfunn, er andrespråkspedagogikk blitt et aktuelt felt. Det er blitt vanlig å ha elever med ulik språkbakgrunn representert i samme klasse.
Jeg har valgt å forske på tre læreres erfaringer og opplevelser med fenomenet der jeg har utført semistrukturerte forskningsintervju av erfarne lærere på Vestlandet. Hvert intervju står på egne bein, men samlet gir de en bredere, mer nyansert og utdypende innsikt i hvilke opplevelser og erfaringer lærere har om å gi leseundervisning på et andrespråk. Fordi jeg er interessert i lærernes egne erfaringer og opplevelser av fenomenet, har en hermeneutisk og fenomenologisk tilnærming til feltet vært et naturlig valg. Jeg har samlet inn empiriske data gjennom intervjuer, og jeg har kodet og analysert dataene. Jeg har drøftet funnene ved å diskutere fellestrekk og ulikheter mellom mine informanter, og knyttet dem til aktuelle teoretiske perspektiver. Jeg har valgt ut tre teoretiske perspektiver som jeg har etterspurt i intervjuene. Perspektivene jeg har valgt ut, er ordforrådets betydning og morsmålsstøtte i leseforståelsesarbeidet, betydningen av å aktivere forkunnskaper, og lesing av skjønnlitteratur. Mine informanter underviser elevgrupper på mellomtrinnet og ungdomstrinnet. Derfor har mitt fokus vært den andre leseopplæringen med fokus på leseforståelse. Bokstavinnlæring og avkoding i leseopplæringen inngår ikke i min forsking. Forskningsspørsmålet mitt er:
Hvilke opplevelser og erfaringer har lærere med leseopplæring for andrespråkselever, og hvordan arbeider de med lesing og leseforståelse?
Jeg har tatt utgangspunkt i følgende underspørsmål i intervjuguiden:
I. Hvordan opplever læreren arbeidet med å avklare ukjente ord som elevene møter i ulike tekster? Hvilke opplevelser og erfaringer har læreren om morsmålsstøtte i dette arbeidet?
II. Hvordan opplever læreren forkunnskapene sin betydning i arbeidet med å lese, tolke og forstå ulike typer tekster?
III. Hvordan opplever læreren arbeidet med å lese og forstå skjønnlitteratur?
Leseundervisning på elevers andrespråk 4
Mine funn har munnet ut i flere implikasjoner. Det viser seg at informantene har ulike syn på morsmålets betydning i leseopplæringen. Behovet for et godt samarbeid med morsmålærere er det også ulike oppfatninger om. Videre viser mine funn at gruppearbeid er svært gunstig i leseopplæringen av flerspråklige elever. Leseopplæring på elevers andrespråk krever ressurser, og det er et tidkrevende arbeid. Erfarne lærere har en solid, innebygd fagkompetanse som man bør dra nytte av. Ferske lærere kan få god faglig støtte fra lærere med mange års erfaring. Det er også verdt å merke seg at erfarne lærere underbygger et behov for kompetanseheving innenfor feltet andrespråkspedagogikk. Lærerne i mitt prosjekt opplever det utfordrende å skille mellom spesialpedagogiske utfordringer hos elevene, og utfordringer knyttet til norsk som andrespråk når det gjelder leseopplæring.",,"MACREL-OPG",,"Fagområde: Lærerutdanning og kreative fag, 
Master i kreative fag- og læreprosesser, norsk profil, 
HVL, Campus Stord","https://hdl.handle.net/11250/3009765","nob",,,"Høgskulen på Vestlandet","http://creativecommons.org/licenses/by/4.0/deed.no","Navngivelse 4.0 Internasjonal",,,,,"Leseundervisning på elevers andrespråk: En kvalitativ studie av tre læreres erfaringer og opplevelser med å undervise andrespråkselever i lesing i grunnskolen","Master thesis"
"407a76e7-32ee-436c-b6f1-4cc3b5452c84","11250/285933",,"Adonaba, Marianne Toft","2022","I denne studien har jeg undersøkt hvordan musikk kan brukes som metode i andrespråkundervisning for voksne. Deltakerne i studien er flyktninger og innvandrere på grunnskole for voksne, som følger læreplan i grunnleggende norsk for språklige minoriteter. Problemstilling og forskningsspørsmål for studien er følgende:
Hvordan kan musikk brukes som metode i grunnleggende norskopplæring for voksne språklige minoriteter?
1. Hva er deltakernes opplevelse av å bruke musikk i språklæringssituasjoner?
2. Hvordan kan vi jobbe med læringsaktiviteter der musikk knyttes til andrespråkslæring og kulturforståelse?
Det teoretiske rammeverket for studien tar utgangspunkt i et sosiokulturelt læringssyn, teori om andrespråkslæring og kognitive prosesser som forener språk og musikk. I tillegg baserer jeg studien på relevant forskning i feltet. Teorien er også innrammet av Læreplanverket for Kunnskapsløftet 2020.
Jeg har brukt didaktisk design forskning som inspirasjon for å finne svar på problemstillingen og forskningsspørsmålene. Metoden innebærer en systematisk og syklisk utprøving av undervisningsopplegg, der forskningsdeltakerne er aktivt med på å påvirke resultatene i studien. Materialet i studien tok utgangspunkt i norsk populærmusikk. Det var 14 deltakere i studien, og deres stemmer og innspill har blitt hørt gjennom klassesamtaler, to fokusgruppeintervju og seks individuelle intervju. I tillegg var deltakende observasjon og forskningslogg anvendt som datamateriale. Analysen av datamaterialet har gitt et grunnlag for innsikt og forståelse i feltet.
Resultatene av studien peker i retning av at andrespråksundervisning med musikk kan ha god effekt på språklæring. Et av hovedfunnene i studien var at låtvalget bør være tilpasset deltakerne, både når det gjelder låtens tempo og språknivå. Studien viste også at bruk av musikk kan være effektivt for utvikling av prosodi og ordforråd. I tillegg opplevde deltakerne at det var meningsfullt og motiverende å lære norsk gjennom musikk på bergensdialekt. På denne måten kan autentisk musikk være med å utvide kulturforståelsen.",,"MACREL-OPG",,"Fakultet for lærerutdanning, kultur og idrett, 
Høgskulen på Vestlandet, campus Stord","https://hdl.handle.net/11250/3009760","nob",,,"Høgskulen på Vestlandet","http://creativecommons.org/licenses/by/4.0/deed.no","Navngivelse 4.0 Internasjonal",,,,"Music as a method in teaching L2 to adults","Musikk som metode i andrespråksundervisning for voksne","Master thesis"
"fcdcd096-108a-4ebf-abd9-51beab59ec60","11250/285933",,"Haldorsen, Rolf Martin","2022","Eit praksisleia forskingsprosjekt er gjennomført, med basis i metodar som er brukt i komponering og produksjonspraksis til bluesrockbandet «Tubesnakes». Forfattaren av dette forskingsprosjektet er vokalist, gitarist og med-komponist i bandet. Undersøkinga legg særleg vekt på fenomenet referansar som bandmedlemmene nyttar når dei kommuniserer musikalske idear utan bruk av nokon form for noteark eller akkord-skjema. 
Datagrunnlag for undersøkinga er bandet sine tidlegare plateutgjevingar «Walking» og «Tarred and Feathered» og den enno ikkje utgjevne «Handful of Dust». I tillegg har ein gjennomført eit kvalitativt gruppeintervju og samtaleøkt der ein diskuterte bandet sin komponerings- og produksjonspraksis med utgangspunkt i demoar, preproduksjonar og øvingsopptak som låg til grunn for innspeling av «Tarred and Feathered». Funna i undersøkinga er mellom anna at eit forskingsfokus på komponerings- og produksjons-praksis har demokratisert komponerings- og produksjonspraksisen slik at alle banddeltakarar no føler dei er meir involvert enn før. Eit anna funn er at ein i stor grad tar i bruk kroppsspråk når orda ikkje strekk til under kommunisering av musikalske idear, og den musikalske kompetansen, uttrykt som ‘taus kunnskap’ er del av prosessen. 
Forskingsspørsmål for undersøkinga har vore: 
1. Korleis formar bruken av musikalske referansar komposisjons- og produksjonspraksisen til bluesrockbandet «Tubesnakes» og korleis vert slike referansar kommunisert? 
2. Kva overføringsverdi har innsikt i denne prosessen for andre som opererer i same felt? 

Med utgangspunkt i forskingsspørsmåla og funn har ein plassert «Tubesnakes» sin komponerings- og produksjonspraksis innanfor uformell læring, og argumentert for korleis «Tubesnakes» kan kategoriserast som eit praksisfellesskap. Undersøkinga kan vera interessant for andre grupper som operer innanfor ein uformell lærepraksis: band og samspelsgrupper i tillegg til musikklærarar i skule og kulturskule.",,"MACREL-OPG",,"Master i kreative fag og læreprosessar, SLKI","https://hdl.handle.net/11250/3009757","nno",,,"Høgskulen på Vestlandet","http://creativecommons.org/licenses/by/4.0/deed.no","Navngivelse 4.0 Internasjonal",,,,"A practice-led study of the composing and production practice of the blues/rock band “Tubesnakes”","Ei praksisleia undersøking av bluesrockbandet «Tubesnakes» sin komponerings- og produksjonspraksis","Master thesis"
"0ab794ec-0ef7-455a-8dd5-5ed0039c5e59","11250/285933",,"Gryte, Margunn Leknes","2022","Det kan vere nærast meditativt å stå med dreiejernet i handa og kjenne jernet forme eit treemne til ei dreid form. Sagflis som legg seg som eit tjukt lag over golvet, lukta av treet og praktisk trearbeid. Resultatet blir ofte overraskande bra, og det er ikkje så vanskeleg som det kan sjå ut.
Denne masteroppgåva undersøkjer på kva måte ein estetisk læreprosess som tredreiing kan bidra til meiningsskaping for elevar i ungdomsskulen, med desse tilhøyrande forskingsspørsmåla: - Kva opplevingar uttrykkjer elevane i møte med ei formoppgåve i teknikken tredreiing? - Korleis kjem samhandling mellom elev og lærar til syne gjennom den formskapande prosessen?
Fordi tredreiing er eit raudlista handverk og fordi skulen er ein arena med unike mogelegheiter til å forvalte kulturarven i praksis, introduserte eg teknikken tredreiing for fire elevar på ungdomsskulen. Målet med aksjonsforskingsopplegget var å få ei forståing for og ei erfaring med korleis det er hensiktsmessig å drive opplæring i handverksteknikken tredreiing i ungdomsskulen. Eg har nytta kvalitativ metode, med eit hermeneutisk perspektiv, for å komme fram til svar på problemstillinga. Empirien er henta frå både forskarlogg og elevlogg. I tillegg har eg henta data gjennom eit fokusgruppeintervju med elevane.
Resultata kan peike mot at elevane har stor meistringstru i møte med den nye handverksteknikken og arbeid på verkstaden. Mykje av motivasjonen for oppgåva ligg i den ferdig modellerte forma . Ein kan og sjå at samhandlinga mellom lærar og elev har mykje å seie for eleven si meistringskjensle. Elevane uttrykker mange kjensler knytt til dreieprosessen, og som lærar og «meister» i den estetiske læreprosessen må ein vere tett på . Prosessen frå å sjå føre seg, planlegge og visualisere ein ide viser seg å vere utfordrande for elevane. I oppgåva drøftar eg ulike grunnar til at elevane finn denne prosessen vanskeleg.
I analysen og i drøftinga finn eg støtte i teorien til blant andre John Dewey og Richard Sennett, i tillegg er teori om motivasjon og meistring og esteitske læreprosessar sentrale.",,"MACREL-OPG",,"Master i kreative fag og læreprosesser,  Fagprofil: kunst og handverk, campus Stord","https://hdl.handle.net/11250/3009759","nno",,,"Høgskulen på Vestlandet","http://creativecommons.org/licenses/by/4.0/deed.no","Navngivelse 4.0 Internasjonal",,,,,"«Eg må stoppe maskina for å sjå korleis det eigentleg ser ut» - eit aksjonsforskingsopplegg som undersøkjer korleis ein estetisk læreprosess som tredreiing kan bidra til meiningsskaping for fire elevar i ungdomsskulen.","Master thesis"
"4faa135f-ed80-4c17-b87f-b8aa0a98d976","11250/285933",,"Severin, Vik","2022","I denne masteroppgåva har eg produsert eit podkast-design, og samtalar med fire
profesjonelle musikarar om øvingspraksis og korleis dei motiverer seg. Problemstillinga er:
«korleis kan eit multisensorisk intervju med fire profesjonelle musikarar skape kunnskap om
øving og motivasjon?». For å svare på korleis kunnskapen vert formidla i podkasten nyttar eg
Theo Van Leeuwen sine fire multimodale komponentar: rytme, komposisjon,
informasjonslink og dialog. Vidare føreslår eg ei bevisstgjering av multimodalitetars
funksjonelle spesialisering som eit metodisk verktøy for å effektivisere tematettleiken i
akademiske podkastar. Studien indikerer at uformelle strategiar for øving som til dømes
aktiv lytting, sosial læring saman med tradisjonell sosiokulturell lærings-, og motivasjonsteori
kan føre til høgare self-efficacy. Video-podkasten På Øvingsrommet er tilgjengeleg på
YouTube. Dei 12 episodane er mellom 15-35 minuttar lange, og under kvar episode ligg
lenker til oppsummeringsliste frå episodane. «Lærdommane» kan nyttast som tips til øving,
inspirasjon eller læringsressursar for musikkelevar i alderen 15-25.",,"MACREL-OPG",,"Master i Estetiske fag og Læreprosessar, 
Høgskulen på Vestlandet, Campus Stord","https://hdl.handle.net/11250/3009749","nno",,,"Høgskulen på Vestlandet","http://creativecommons.org/licenses/by/4.0/deed.no","Navngivelse 4.0 Internasjonal",,,,,"På Øvingsrommet: Ein videopodkast om øving og motivasjon","Master thesis"
"ad98f523-3911-467c-9e25-f6790b2fd13e","11250/285933",,"Ellingsen, Frida Terese Sætre","2022","Denne masteroppgaven er skrevet med hensikt å belyse mulighetene som ligger i å arbeide med stoffrester som materiale. Studien er todelt og tar for seg en skoleundersøkelse og en praktisk undersøkelse. Skoleundersøkelsen har som formål å undersøke tre kunst og håndverklærere på ungdomskolens undervisning og praksis rundt utnyttelsen av stoffrester i tekstilundervisningen. Den praktiske undersøkelsen belyser verdien arbeidet med stoffrester kan ha på et personlig og individuelt plan. Arbeidet springer ut fra følgende problemstilling:
Hvordan utnyttes tekstile materialer og stoffrester i faget kunst og håndverk, og hvilke verdier kan arbeid med stoffrester tilføre?
Studiens aktualitet knyttes opp mot samfunnets nødvendighet og behov for en ansvarsfull forbrukerkultur for en bedre fremtid. Studien tar for seg en kvalitativ forskningsmetode med fenomenologisk tilnærming. Gjennom skoleundersøkelsen med de tre kunst og håndverklærerne kom det frem at lærerne ikke fult utnytter mulighetene som ligger i å bruke stoffrester som materiale. Samtalene viste at lærerne hovedsakelig tilrettelegger for restekasser som måter å utnytte stoffrester. Stoffrestene blir da i hovedsak brukt som prøvelapper og til sømøving, men den praktiske undersøkelsen viste at stoffrestene kan ha en større verdi enn dette på et individuelt plan. Den praktiske undersøkelsen viste at å arbeide med stoffrester kan tilføre verdier som holdningsendring og endringskompetanse i hvordan man utnytter materialet. Gjennom å arbeide med stoffrester opplevde jeg å se en større verdi og bruksfunksjon i stoffrestene, som jeg tidligere ville kastet uten å tenke meg om. Gjennom skoleundersøkelsen, den praktiske undersøkelsen og relevant teori ser jeg med dette arbeidet med stoffrester som et verktøy for holdningsarbeid om hvordan å utnytte ressursene man har tilgjengelig og jeg ser muligheter for at et slikt arbeid i tekstilundervisningen i grunnskolen kan være givende.",,"MACREL-OPG",,"Master i kreative fag og læreprosesser, Stord Fakultet for lærerutdanning, kultur og idrett","https://hdl.handle.net/11250/3009762","nob",,,"Høgskulen på Vestlandet","http://creativecommons.org/licenses/by/4.0/deed.no","Navngivelse 4.0 Internasjonal",,,,"A qualitative study of fabric scraps and material utilization in the subject arts and crafts.","En kvalitativ studie om stoffrester og materialutnyttelse i faget kunst- og håndverk.","Master thesis"
