id,collection,dc.contributor.author,dc.date.issued,dc.description.abstract,dc.description.abstract[en_US],dc.description.localcode,dc.description.localcode[],dc.description.localcode[en_US],dc.description[en_US],dc.identifier.uri,dc.language.iso[en_US],dc.publisher[],dc.publisher[en_US],dc.rights.uri[*],dc.rights[*],dc.source.pagenumber[en_US],dc.subject[en_US],dc.title.alternative[en_US],dc.title[en_US],dc.type[en_US]
"259d8fdb-07e2-4822-a6dd-d7ff768f7368","11250/285933","Einen, Øyvind","2023",,"Styringsdokument og retningslinjer stiller krav til musikkfaget og presentera kva verdiar og kvalitetar som skal liggje til grunn for musikkundervisinga, men det er lite som tilseier korleis musikklærarens subjektivitet kan bli brukt i musikkundervisinga. Som ulike og unike individ vil det eksistere ulike oppfatningar og verdisyn både i forhold til musikk og musikkfaget i den musikkpedagogiske verksamheita, og dette verka som eit område med avgrensa kvalitativ forsking. Studiens føremål er difor å undersøke følgjande problemstilling: «Korleis spelar musikksyn og fagsyn ei rolle for ein musikklærars undervisingspraksis i musikkfaget på mellomtrinnet?». 
Gjennom eit kvalitativt forskingsintervju og observasjon av fire varierte musikkundervisingstimar er det samla inn datamateriale som omfattar delar av ein musikklærars subjektive oppfatningar og den faktiske undervisingspraksisen. Med røter i ein hermeneutisk vitskapstradisjon har datamaterialet blitt tolka og analysert gjennom deskriptiv analyse. Studiens funn viser at musikkfagets formelle krav og styringsdokument i større grad verka retningsgjevande heller enn styrande for musikkundervisinga, og at musikklærarens fagsyn og musikksyn blir sentrale i undervisingspraksisen med omsyn til arbeidsformer, sentreringar og prioriteringar. Musikklærarens musikksyn inkludera både Bennett Reimer (1970) sine estetiske verdiar og David J. Elliott & Marissa Silverman (2015) sine praksikalistiske verdiar, og spelar ei sentral rolle for korleis undervisinga fokusera på musikalske kvalitetar. 
Basert på kombinasjonar av 21 ulike fagsyn-framstillingar av Frede V. Nielsen (1998), Ingrid M. Hanken & Geir Johansen (2013), og Petter Dyndahl (2004) samt musikkpedagogisk teori og empiri, utviklast fem musikkpedagogiske filosofiar som omfattar musikklærarens fagsyn i musikkfaget. Desse musikkpedagogiske filosofiane bidreg til at musikklærarens undervisingspraksis omfattar musikkfagets formelle krav i tillegg til at det omfattar musikklærarens subjektive oppfatningar og ynskjer i musikkfaget. Musikklærarens undervisingspraksis vektlegg holistisk utvikling og læring gjennom utøving, skaping, trivsel, ferdigheitsbaserte og sosiale aktivitetar, og det skapast ei musikkundervising som er samfunnsfagleg, kunnskapssentrert og som mogeleggjer estetiske kvalitetar",,,"MGUMU550","Master i grunnskolelærerutdanning 5. - 10. trinn, musikk. Høgskulen på Vestlandet, campus Bergen","https://hdl.handle.net/11250/3098079","nno",,"Høgskulen på Vestlandet","http://creativecommons.org/licenses/by/4.0/deed.no","Navngivelse 4.0 Internasjonal",,"grunnskolelærerutdanning||musikkundervisning||undervisningspraksis","Teaching Practice in the Music Subject: A Single Case Study of a Music Teacher’s Perceptions and Teaching Practice in the Music Subject","Undervisingspraksis i musikkfaget: Ein enkeltcasestudie av ein musikklærars oppfatningar og undervisingspraksis i musikkfaget","Master thesis"
"f763b75b-c7a4-4176-b344-a38599d1624e","11250/285933","Olsen, Klokkernes Kristian","2023",,"Dette er ei masteroppgåve i faget musikk ved Grunnskulelærarutdanning 5.-10., Høgskulen på Vestlandet. Oppgåva tek for seg temaet mangfald i musikkfaget, med eit fokus på korleis lærarar i grunnskulen konstruerer og reflekterer rundt mangfaldsomgrepet. Dette er eit felt som det trengs meir forsking på i Norge, og min motivasjon med masterarbeidet er å rette oppmerksamheit mot temaet. Oppgåva forsøker å svare på to forskingsspørsmål: Korleis vert mangfaldsomgrepet konstruert i løpet av fire semistrukturerte intervju med musikklærarar i grunnskulen, og kva implikasjonar kan denne konstruksjonen av mangfaldsomgrepet ha for musikkfaget i grunnskulen? 
Oppgåva er basert på kvalitative semistrukturerte intervju. Dei fire musikklærarane i studien jobbar på fire ulike skular og ulike trinn, og tilbyr derfor fire ulike perspektiv som er påverka av deira arbeidskvardag. Intervjudata har gjennomgått ein tematisk analyse og er organisert inn i ei rekke tema basert på informantane sine svar. 
Studien er teoretisk forankra i eit sosialkonstruksjonistisk forskingssyn, og tek utgangspunkt i eit interseksjonelt syn på mangfald. Det teoretiske rammeverket for oppgåva inkluderer perspektiv frå den kritiske pedagogikken (Freire, 2014) (Hess, 2019) (hooks, 2014), samt litteratur om interseksjonalitet, sosial rettferd og ulike formar for mangfald. 
Gjennom arbeidet vert det tydeleg at informantane i studien konstruerer eit breitt mangfaldsomgrep. Det vert også tydeleg at nokre tema har større betydning for informantane sine konstruksjon av mangfald enn andre. Nokre tema som skil seg ut er identitet, kritisk tenking, elevmedverknad og mangfald som ressurs, kjønn og kjønnsroller, klassemiljø og rammefaktorar. Mot slutten av oppgåva vert desse temaa diskutert utifrå eit kritisk perspektiv, samt mogelege implikasjonar for musikkfaget i skulen.",,,"MGUMU550","Master i grunnskolelærerutdanning 5.- 10. trinn, musikk. Høgskulen på Vestlandet, campus Bergen","https://hdl.handle.net/11250/3098077","nno",,"Høgskulen på Vestlandet","http://creativecommons.org/licenses/by/4.0/deed.no","Navngivelse 4.0 Internasjonal",,"grunnskolelærerutdanning||musikkundervisning||musikklærere","Constructing diversity: An interview study of four primary school and lower secondary school music teachers","Å konstruere eit mangfaldsomgrep: Ein intervjustudie av fire musikklærarar i grunnskulen","Master thesis"
"30b7ebbf-c018-41b1-a6a3-33a5218b9321","11250/285933","Karlsen, Joachim Günther Alexander","2023",,"Formålet med masteroppgaven min har vært sette lys på hvordan en revy som et musikkpedagogisk prosjekt kan bidra til sosial læring og utvikling blandt elevene på en ungdomsskole. Tidligere forskning og litteratur i den musikkpedagogiske og pedagogiske retningen har sett noe på dette, og jeg har hatt et ønske om å ekspandere informasjonen som finnes. Gjennom oppgaven har jeg sett på hvordan både elever og lærer karakteriserer arbeidet med revyen. Funnene fra de ulike informantene kommer gjennom ulike forskningsspørsmål og problemstillingen: hva kan karakteriseres ved elever og læreres opplevelse av arbeid med revy og musikkproduksjon på en ungdomsskole? 
Det som oppgaven munner ut gjennom funnene handler om teorier som knyttes til sosial læring og utvikling slik den er beskrevet i den overordnede delen av læreplanen (Utdanningsdirektoratet, 2020). Også med innspill av Vygotskij (1978, 2001) sin teori om sosiokulturell læring og mestring slik tidligere forskning beskriver. Men også med beskrivelsene til Bandura (1997). Og organisering hvor teoriene kommer fra for eksempel Per Dalin (1994) som beskriver måter å organisere skoleutvikling. Teoriene som jeg bruker, har jeg også sett har vært viktig også for tidligere forskning. Hensikten med studiet har vært å få en dypere forståelse for hvordan en alternativ læringsarena kan bidra i skolehverdagen. 
Jeg har i masteroppgaven tatt i bruk en casestudie og brukt observasjoner med ulike typer loggføring (Bjørndal, 2017). Observasjonene har vart over en lengre periode av revy prosjektet da har jeg fått sett starten av øvingsprosessen og i tillegg fått sett forholdene under forestillingsuken. Jeg har også brukt semi-strukturerte intervju (Kvale & Brinkmann, 2015) med både lærer og en fokusgruppe bestående av fire elever. 
Gjennom en konstant komparativ analyse (Corbin & Strauss, 2008) og en hermeneutisk tilnærming (Alvesson & Sköldberg, 2008) beskriver resultatene opplevelser av sosial læring og utvikling, men også mestring og om opplevelser av mestring. Jeg har også i funnene beskrevet hvordan det musikkfaglige er vel så viktig, spesielt for opplevelsen av mestring som er sentralt i forskning i det musikkpedagogiske feltet",,,"MGUMU550","Master i grunnskolelærerutdanning 5. - 10 trinn, musikk. Høgskulen på Vestlandet, campus Bergen","https://hdl.handle.net/11250/3098087","nob",,"Høgskulen på Vestlandet","http://creativecommons.org/licenses/by/4.0/deed.no","Navngivelse 4.0 Internasjonal",,"grunnskolelærerutdanning||musikkundervisning||revy","Working with a larger musical project: Case-study of a musical-theatre production in a secondary school","Arbeid med et større musikalsk prosjekt: Casestudie av en revy på en ungdomsskole","Master thesis"
"f1767ad2-8d51-4c60-9a38-1b509d052440","11250/2473194","Rondestveit, Fredrik Aas","2023",,"I denne kvalitative studien er formålet å undersøke kroppsøvingslæreres opplevelse av utfordrende atferd i kroppsøving, og hva de gjør i møte med det de opplever som utfordrende atferd. Studien vil forhåpentligvis belyse noen av de utfordringene kroppsøvingslærere står overfor i faget, og hva som kan være hensiktsmessige metoder å bruke i møte med denne atferden. I tillegg vil studien belyse hva som kan være årsaker bak den atferden lærerne opplever som utfordrende i kroppsøving, for å gi økt kunnskap og forståelse om hvordan man kan møte atferden.
Det ble gjennomført fem semistrukturerte intervju med kroppsøvingslærere på mellomtrinnet.
Analysemetoden for studien var en fortolkende fenomenologisk analyse, og studien er forankret i et fenomenologisk-hermeneutisk perspektiv. Studien tar utgangspunkt i følgende problemstilling: Hva opplever et utvalg kroppsøvingslærere på mellomtrinnet som utfordrende atferd i kroppsøving, og hva blir gjort i møte med det de opplever som utfordrende atferd?
Analysen av de fem intervjuene endte opp med fem hovedtemaer. Temaene dreier seg om lærernes opplevelse av utfordrende atferd i kroppsøving, deltakelse, sider ved kroppsøvingsfaget som påvirker elevenes atferd, hva som blir gjort i møte med utfordrende atferd i kroppsøving, og til slutt om kroppsøvingsfaget kan være en ressurs i møte med utfordrende atferd. Studiens funn viser at lærerne opplever flere atferdstyper og atferdstrekk som utfordrende i kroppsøving. Lærerne opplever både utagerende og innagerende atferd som utfordrende, og knytter utfordringene spesielt til manglende deltakelse og motivasjon i faget. Lærerne peker også på flere utfordringer med kroppsøvingsfaget som kan påvirke elevenes atferd. Videre går studien inn på at det er mye lærerne gjør i møte med det de opplever som utfordrende atferd, blant annet ved fokus på klasseledelse, å skape et godt læringsklima og gode lærer-elev-relasjoner. Resultatene fra studien blir diskutert og drøftet i lys av tidligere forskning, teori og relevant litteratur",,,"MGUKØ550",,"https://hdl.handle.net/11250/3098135","nob",,"Høgskulen på Vestlandet","http://creativecommons.org/licenses/by/4.0/deed.no","Navngivelse 4.0 Internasjonal",,"grunnskolelærerutdanning||kroppsøving","Challenging behavior in Physical education: Introverted and disruptive behavior in Physical education for teachers perspective","Utfordrende atferd i kroppsøving: Innagerende og utagerende atferd i kroppsøving fra et lærerperspektiv","Master thesis"
"b381ff8f-e3ae-4620-950c-e763906c7063","11250/2473201","Lier, Kjell Svarstad","2023",,"I denne oppgaven undersøker jeg hvilket forhold spillkarakterene har til dyr, planter og/eller naturmiljøer i dataspillet Skábma – Snowfall. Jeg har benyttet meg av «Natur-i-Kultur»-matrisen for å diskutere holdninger og forhold som kommer til uttrykk mellom spillkarakterene og dyr, planter og/eller naturmiljøer. Deretter har jeg nyansert forholdet som er blitt diskutert hos de samiske karakterene opp mot teori om samisk naturforståelse. For å kunne diskutere deres forhold til dyr, planter og naturmiljøer, trenger man å forstå hvordan den samiske kulturen forstår naturen. For å beskrive spillet som en narrativ tekst, har jeg beskrevet spillets narrative og ludiske oppbygning ved hjelp av narrativ spillteori, deriblant Aarseths narrative spillmodell. 
Jeg har funnet ut at det er en tydelig forskjell i forholdet de samiske karakterene har til dyr, planter og/eller naturmiljøer og forholdet de ikke-samiske karakterene har, omtalt i oppgaven som de utenforstående. Mens de samiske karakterene bedriver flere aktiviteter som kan diskuteres opp mot antroposentriske forhold, kan forholdet deres til dyr, planter og naturmiljøer hele tiden forsvares som økosentriske, både i lys av dypøkologi og samisk naturforståelse, fordi de samiske karakterene lever i et langvarig samspill med naturen, der disse aktivitetene kan anses som en helt vital del av deres levemåte. De samiske karakterene har både et feirende forhold til dyr, planter og naturmiljøer, men også et problematisk forhold til rovdyr og deler av naturmiljøet som er farlig. De utenforståendes forhold til planter og naturmiljøer kan beskrives som antroposentrisk, men karakteren Jean skiller seg fra de andre utenforstående, da han ønsker å beskytte samenes rett til landet rundt bosetningen deres. 
Jeg har også pekt på at «Natur-i-Kultur»-matrisens horisontale akse, der holdninger og forhold diskuteres opp mot begrepene økosentrisme og antroposentrisme, kan virke unyansert i møte med litteratur som skildrer samiske samfunn med en tradisjonell forståelse av natur. Aksen bygger på at forholdet mellom mennesker, dyr, planter og naturmiljøer enten forstås som menneskesentrerte eller økosfæresentrerte. Når man nyanserer forholdene til de samiske karakterene i lys av samisk naturforståelse og dypøkologi, har ingen av disse karakterene genuine antroposentriske forhold, og den horisontale aksen virker dermed unyansert i møte med karakterer med en slik bakgrunn",,,"MGUNO550","Master i grunnskolelærerutdanninge 5. - 10. trinn, norsk. Høgskulen på Vestlandet, campus Bergen","https://hdl.handle.net/11250/3095284","nob",,"Høgskulen på Vestlandet","http://creativecommons.org/licenses/by/4.0/deed.no","Navngivelse 4.0 Internasjonal",,"norskundervisning||grunnskolelærerutdanning||dataspill||naturmiljøer","«The place is not the same anymore …»: An ecocritical analysis of video game characters relations to animals, plants, and natural environments in the Sámi video game Skábma - Snowfall","«Stedet er ikke det samme lenger…»: En økokritisk analyse av spillkarakterers forhold til dyr, planter og naturmiljøer i det samiske dataspillet Skábma - Snowfall","Master thesis"
"f2319a22-5971-498f-a4a5-2c3000822956","11250/2473201","Mattisgard, Ambjørn Karlberg","2023",,"Papirboken har vært et sentralt medium for underholdning i hundrevis av år, og anses fremdeles som det viktigste mediet for litterær lesing i Norge. Samtidig problematiserer forskningsfeltet og samfunnsdebatten forhold knyttet til unges lesing av skjønnlitteratur i en digital tidsalder. Kjernen i denne studien er nettopp unges forhold til lesing, og problemstillingen er derfor: Hvordan er et utvalg tiendeklassingers leseopplevelse ved lesing av skjønnlitteratur på henholdsvis skjerm og papir? Studien utforsker følgelig hvordan leseopplevelsen kan beskrives, operasjonaliseres og måles i praksis, påvirket av faktorene lesemedium og lesevaner. 
35 tiendeklassinger deltok i prosjektet, som gikk ut på å lese en del av romanen Tvillingenes dagbok, for deretter å besvare en spørreundersøkelse. Åtte elever ble så intervjuet. Disse to metodene utgjør oppgavens empiri, og gir innblikk i hvordan elevene opplevde lesingen. Som verktøy for å undersøke leseopplevelsen, benyttes fire dimensjoner basert på Kuijpers et al. (2014) sin Story World Absorption Scale. Dimensjonene fanger ulike elementer av å være absorbert i en fiktiv tekst, og er som følger: bildedanning, emosjonell innlevelse, oppmerksomhet og transportering. Særlig interessant var det å observere variasjonen i opplevelsene, og hvilke faktorer som tilsynelatende påvirket lesingen. 
Resultatene viser at elevene fordelte seg jevnt utover skalaen. Majoriteten av elevene var i stand til å konstruere mentale bilder, omtrent en tredjedel viste tegn til emosjonell innlevelse og oppmerksomhet, mens antallet elever som ble transporterte inn i teksten var lavere og mer diffust. Årsakene til at absorpsjon uteble eller oppsto, viste seg i mange tilfeller å være knyttet til lesevanene og holdningene elevene har til lesing. Mye erfaring med skjønnlitteratur korrelerte positivt med god leseopplevelse, og økte forutsetningene for både å skape mening i teksten og å unngå distraksjoner. Forhold relatert til distraksjoner og avbrutt konsentrasjon utpekte seg nemlig som et sentralt funn, særlig knyttet til skjerm. Skjermen ble opplevd som et ugunstig format å lese skjønnlitteratur på, grunnet teksten som et digitalt format, og fordi eksterne fristelser trekker leseren vekk fra teksten",,,"MGUNO550","Master i grunnskolelærerutdanning 5. - 10. trinn, norsk. Høgskulen på Vestlandet, campus Bergen","https://hdl.handle.net/11250/3095292","nob",,"Høgskulen på Vestlandet","http://creativecommons.org/licenses/by/4.0/deed.no","Navngivelse 4.0 Internasjonal",,"norskundervisning||grunnskolelærerutdanning||leseopplevelser||tiendeklassinger",""" It seems to require a lot of me to read a book "": A study of a sample of tenth graders' reading experience when reading fiction on screen and on paper","«Det tar liksom veldig mye av meg å lese bok»: En studie av et utvalg tiendeklassingers leseopplevelse ved lesing av skjønnlitteratur på skjerm og papir","Master thesis"
"bfce8cb3-b35f-4a59-ace0-525353d76362","11250/2473194","Austnes, Mathias Houck||Stakkestad, Sven Martin","2023",,"Bakgrunn og formål: Digitale ferdigheter skal på lik linje med andre fag også inkluderes i kroppsøvingsfaget. Over 60 prosent av elevene oppgir likevel at de ikke arbeider med digitale verktøy i kroppsøvingsundervisningen, samtidig oppgir et fåtall av lærere at de får tilbud om kurs for å øke sin digitale kompetanse i skolen. En rekke studier har vist at elever kan få økt motivasjon når VR-teknologi brukes i undervisningen sammenlignet med andre digitale verktøy. Hensikten med oppgaven er å undersøke muligheter og begrensninger knyttet til VR-teknologi i kroppsøvingsundervisningen. 
Problemstilling: Hvilke erfaringer har fire kroppsøvingslærere hatt med VR-teknologi på ungdomsskolen? 
Metode og datainnsamling: Individuelle semistrukturerte intervju i kvalitativ metode ble brukt for å samle inn data. Det ble intervjuet fire lærere, der tre av dem er nåværende kroppsøvingslærere på ungdomsskolen og den fjerde er en tidligere kroppsøvingslærer på ungdomsskolen. I intervjuene ble det stilt spørsmål om hvilke erfaringer de har hatt med bruk av VR-teknologi på ungdomsskolen. Intervjuene ble analysert ved hjelp av Braun og Clark sin tematiske analyse. 
Funn: De fire informantene påpekte at de brukte VR-teknologi som et supplement i kroppsøvingsundervisningen. De erfarte at elevene opplever det digitale verktøyet som altoppslukende og gir dem en umiddelbar ytre motivasjon. Lærerne erfarte at det finnes mange muligheter knyttet til VR-teknologi og deres kunnskaper og kompetanse er avgjørende for å utnytte disse. De trekker frem et behov for økt kunnskap og kompetanse blant andre lærere om hvordan en kan bruke digitale verktøy i kroppsøvingsfaget, og hvordan VR-teknologi kan bidra til å øke elevenes digitale ferdigheter. Informantene brukte også VR-teknologi for at elevene skulle oppleve naturopplevelser, idretter og ukjente miljøer, som kan bidra til økt samarbeid og refleksjoner. De fire lærerne erfarte at VR-teknologi har en høy kostnad og dialogen med skoleledelsen var viktig for å få kjøpt inn nødvendig utstyr. 4 

Konklusjon: Informantene erfarte at elevene fikk et høyt engasjement og en umiddelbar ytre motivasjon når de bruker VR-teknologien i undervisningen. For å holde på denne motivasjonen velger flere av lærerne å ha korte og effektive økter med elevene. De er imidlertid usikre på den ytre motivasjonen hvis det brukes over lengre tid og når nyhetsverdien avtar. Alle de fire informantene erfarte at VR-teknologien kan gi elevene en altoppslukende effekt der tid og sted forsvinner. Dette kan bidra til at elevene kommer i flytsonen og oppleve indre motivasjon. Informantene trekker frem at elevene blir mer bevisste på egne bevegelser gjennom økt samarbeid og refleksjoner med hverandre. De erfarte at de bruker VR-teknologien for å inkludere digitale ferdigheter i faget, men at det er tidkrevende og kostbart å bruke. Lærerne trekker også frem god digital kunnskap og kompetanse som en avgjørende faktor for å bruke VR-teknologi i kroppsøvingsfaget. Det påpekes av informantene at det digitale verktøyet skal brukes som et supplement, og ikke som en erstatning for annen kroppsøvingsundervisning.",,,,"Master i kroppsøving - grunnskolelærerutdanning 5.-10. trinn Fakultet for lærerutdanning, kultur og idrett Institutt for idrett, kosthold og naturfag","https://hdl.handle.net/11250/3095223","nob",,"Høgskulen på Vestlandet","http://creativecommons.org/licenses/by/4.0/deed.no","Navngivelse 4.0 Internasjonal",,,"Four physical education teachers experience with VR-technology at secondary school","Fire kroppsøvingslæreres erfaringer med VR-teknologi på ungdomsskolen.","Master thesis"
"e1d5fb25-89bf-4d36-a3d7-b2ee707a56f8","11250/2473201","Johnsen, Hilde Bertheussen","2023",,"Denne masteroppgaven undersøker hvilke holdninger til forholdet mellom mennesker og det ikke-menneskelige som kommer til uttrykk gjennom karakterene i et utvalg ungdomslitteratur, og deres relasjoner til bier og andre insekter. Menneskenes forståelse av sin egen posisjon i forhold til de ikke-menneskelige artene på jorden legger rammene for måten de forholder seg til den ikke-menneskelige verden på. Basert på antagelsen om at lesing av skjønnlitteratur kan bidra til å forme menneskers forhold til naturen, er det interessant å undersøke holdningene til forholdet mellom mennesker og det ikke-menneskelige som uttrykkes i skjønnlitterære tekster. 
Prosjektets materiale består av to romaner som kan defineres som ungdomslitteratur, nemlig Zweet (2015) av Marit Kaldhol, og Bienes historie (2015) av Maja Lunde. I disse bøkene tematiseres bier og andre insekter, og hovedkarakterene i begge romanene har på ulike måter en relasjon til bier og andre insekter. Den litterære analysen av romanene bygger på nærlesninger av tekstene, og undersøkelsen tar utgangspunkt i sentrale perspektiver og begreper fra de teoretiske feltene narrativ teori, økokritikk og posthumanisme. Enkelte innsikter fra dypøkologi og dyrestudier er også relevante i analysen. 
Funnene fra analysene viser at ulike holdninger til forholdet mellom mennesker og det ikke-menneskelige kommer til uttrykk i de to romanene. I begge bøkene finnes det karakterer som hovedsakelig gir uttrykk for holdninger som er i tråd med økosentriske, post-antroposentriske og post-dualistiske perspektiver, mens andre karakterer i hovedsak gir uttrykk for antroposentriske og dualistiske holdninger. Funnene viser også at begge bøkene, som helhet, synes å holde med de av karakterene som hovedsakelig gir uttrykk for økosentriske, post-antroposentriske og post-dualistiske holdninger. Sammenligningen av romanene har vist at Zweet, i større grad enn Bienes historie, utfordrer det dualistiske perspektivet på forholdet mellom mennesker og det ikke-menneskelige, og at post-dualistiske holdninger kommer til uttrykk på flere ulike måter i denne romanen. Sammenligningen har også vist at antroposentriske, dualistiske og artsdiskriminerende holdninger, i større grad enn i Zweet, kommer til uttrykk i Bienes historie.",,,"MGUNO550","Master i grunnskolelærerutdanning 5. - 10- trinn, norsk. Høgskulen på Vestlandet, campus Bergen","https://hdl.handle.net/11250/3095300","nno",,"Høgskulen på Vestlandet","http://creativecommons.org/licenses/by/4.0/deed.no","Navngivelse 4.0 Internasjonal",,"norskundervisning||grunnskolelærerutdanning","I am bee: A literary analysis of attitudes towards the relationship between humans and the non-human in Marit Kaldhol’s Zweet (2015) and Maja Lunde’s Bienes historie (2015)","Eg er bie: En litterær analyse av holdninger til forholdet mellom mennesker og det ikke-menneskelige i Marit Kaldhols Zweet (2015) og Maja Lundes Bienes historie (2015).","Master thesis"
"904bafd7-019d-40e3-8a06-9b8959e5a892","11250/2473201","Johansen, Margreta Petersen","2023",,"Føremalet med denne masteroppgava er å undersøke kva stad og kjønn betyr for den essayistiske refleksjonen i to nyare essaysamlingar. Oppgåva byggjer på ein tese om at essaysamlingane kan lesast som litterære oppgjer med maskuline hegemoni. Prosjektet mitt tek utgangspunkt i to essaysamlingar som er skrivne av kvinner: Samtidsruinar (2015 [2008]) av Marit Eikemo, og Stillstand (2009) av Agnes Ravatn. Dei har til felles at essayisten oppsøker ein ny stad for kvart essay, og at mange av desse stadane kan seiast å vere kjønna. Samstundes som menn har dominert dei fleste av stadane essayistane besøker, har også essaysjangeren på fleire måtar vore mannleg dominert. Dette illustrerer at kvinna ikkje nødvendigvis har hatt ein stad til a bruke stemma si, og at stad og kjønn går hand i hand. Oppgåva byggjer på sentral teori fra fleire forskingsfelt, deriblant essayforsking, stadforsking
og kjønnsforsking. Teori som kastar lys på essayet sine særmerke, brukar eg til a vise kvifor sjangeren er eigna til a reflektere over stad og kjønn. Eg støttar meg på stadteori og kjønnsteori som definerer sentrale omgrep og som peikar på både stad og kjønn som noko konstruert. Teorien underbyggjer korleis samlingane kan knytast til posisjoneringar i samfunnet, og til at det maskuline hegemoniet er noko som kan rivast ned. Eg nyttar litterær analyse til a sjå på korleis essaysamlingane får fram trianguleringa mellom stad og kjønn. Oppgava har ei tekstintern tilnærming, ved at eg gjer nærlesingar av enkeltessay og enkeltsekvensar fra samlingane. Samstundes inkluderer nærlesinga ei tekstekstern tilnærming, ettersom tekstane blir sett på i lys av samfunnsforhold og historie. Samlingane tematiserer blant anna korleis likestillinga har vore gjennom tidene, noko som gjer det interessant a trekke inn og vurdere eksterne faktorar. Funn i narlesingane viser at dei to essaysamlingane kan lesast som oppgjer med eit maskulint hegemoni i samfunnet dels gjennom konkrete stadar, dels gjennom motiv, tema og uttrykksformer som peikar på posisjonar mellom kjønna, og også på eit metaplan, gjennom at essaysjangeren har vore ein maskulin sjanger. Essaysamlingane er likevel tvitydige, noko som er typisk for essaysjangeren. Dette far fram korleis essaysamlingane både kan lesast som stadar der ≪kvinnefrigjeringsprosjektet≫ blir stadfesta, og som stadar der ein ser at dette prosjektet treng å halde fram. Til slutt legg masteroppgava til rette for vidare forsking på samlingane, gjennom å trekke linjer til det didaktiske potensialet dei har. Det trengs ein revisjon av tekstutvalet i skulen, for a skape meir representative refleksjonar",,,"MGUNO550","Master i grunnskolelærerutdanning 5. - 10. trinn, norsk. Høgskulen på Vestlandet, campus Bergen","https://hdl.handle.net/11250/3095308","nno",,"Høgskulen på Vestlandet","http://creativecommons.org/licenses/by/4.0/deed.no","Navngivelse 4.0 Internasjonal",,"grunnskolelærerutdanning||norskundervisning||essay","«They tear down everything he has built up?»: A comparative analysis of the essay collections Samtidsruinar (2015 [2008]) by Marit Eikemo and Stillstand (2009) by Agnes Ravatn","«Dei riv ned alt han har bygd opp?»: Ei komparativ analyse av essaysamlingane Samtidsruinar (2015 [2008]) av Marit Eikemo og Stillstand (2009) av Agnes Ravatn","Master thesis"
"79077b8c-7926-48f5-bd84-e388fe916ba4","11250/2473201","Bore, Ena Ulgenes","2023",,"I informasjonssamfunnet vi lever i vert det stilt stadig høgare krav til å vurdere tekstar
sjølvstendig. Å kunne forhalde seg kritisk til ulike avsendarar, bodskap og tekstar er viktig for å oppretthalde eit fungerande demokrati, der alle er aktive deltakarar i demokratiske samfunnsprosessar. I den nye læreplanen, LK20, vert både kritisk tenking og kritisk tilnærming til tekst sett på som viktige ferdigheiter. Samstundes aukar bruken av teknologi i skulen, og forsking viser at lærarar i større grad enn før må forhalde seg til både analoge og digitale læremiddel og læringsressursar. I denne avhandlinga har eg gjennomført ei læremiddelanalyse av tre digitale læremiddel som handlar om kjeldekritikk, falske nyheiter og konspirasjonsteoriar. Desse er utvikla av Tenk, Medietilsynet og Dembra. I problemstillinga mi ønskjer eg å undersøkje korleis desse læremidla kan bidra til å utvikle elevar sin kritiske literacy. For å gjennomføre analysen har eg støtta meg til Hilary Janks (2010) sin didaktiske modell for utvikling av kritisk literacy. Denne har fungert som eit analysereiskap. Modellen består av fire dimensjonar som er gjensidig avhengige av kvarandre for å skape eit fullverdig
undervisningsopplegg: ‘makt’, ‘tilgang’, ‘mangfald’ og ‘design/redesign’. 
Hovudfunna i avhandlinga viser at læremidla i stor grad fungerer etter måla dei sjølv har sett seg, som handlar om å utvikle elevane si kritiske medieforståing og -medvit. Dette gjer dei ved å gjere elevane merksame på korleis maktforhold viser seg i tekstar, og ved å gi dei konkrete verktøy for å undersøkje avsendaren sin agenda, formål og truverdet hans. Tilgang til ulike typar språk, framstillingar, tekstar, sjangrar og kunnskap er avgjerande for å utvikle kritisk literacy, og er noko læremidla gjer i varierande grad. Innanfor mangfald undersøkjer eg om læremidla gjer elevane merksame på korleis menneske er framstilte i tekstar. Resultata viser at det er noko læremidla gjer i liten grad. Under design/redesign er det sentralt at elevane får øving i å dekonstruere og konstruere tekstar, og på denne måten få makt over sine eigne liv. Dette skal gjere elevane merksame på korleis tekstar er konstruerte og posisjonerte,
og på denne måten kunne sjølvstendig vurdere truverdet i andre tekstar",,,"MGUNO550","Master i grunnskolelærerutdanning 5. - 10. trinn, norsk. Høgskulen på Vestlandet, campus Bergen","https://hdl.handle.net/11250/3095288","nno",,"Høgskulen på Vestlandet","http://creativecommons.org/licenses/by/4.0/deed.no","Navngivelse 4.0 Internasjonal",,"norskundervisning||grunnskolelærerutdanning","How can a selection of digital teaching materials contribute to the development of students’ critical literacy?","Korleis kan eit utval digitale læremiddel bidra til å utvikle elevar sin kritiske literacy?","Master thesis"
