id,collection,dc.contributor.author,dc.contributor.editor,dc.date.issued,dc.description.abstract[],dc.description.abstract[en_US],dc.description.localcode[en_US],dc.description[en_US],dc.identifier.uri,dc.language.iso[en_US],dc.publisher[en_US],dc.rights.uri[*],dc.rights[*],dc.subject[en_US],dc.title.alternative[en_US],dc.title[en_US],dc.type[en_US]
"866d5d1c-6bf3-48ee-bddd-3dedc0cf08d9","11250/2473201","Hansen, Andreas Gudmundsen",,"2024",,"Hvordan informasjon formidles er i konstant endring, skrift som tidligere har vært en dominerende modalitet blir ofte erstattet eller supplementeres med andre modaliteter. Også i skolen er det nå lagt større vekt på at elevene skal tolke litteratur som tar i bruk flere modaliteter. Målet mitt i denne oppgaven er å se nærmere på hvilke forskjellige former for literacy som kreves for å kunne bruke dataspillet Celeste (Extremely Ok Games, 2018) i litteraturundervisningen. For å finne ut hvilke former for literacy som kreves for å bruke dataspill i litteraturundervisningen har jeg valgt å se nærmere på hva ulike forskere mener literacy og spill-literacy innebærer. I tillegg til å se nærmere på ulike tolkninger av begrepet spill-literacy vil jeg også gjøre en kvalitativ analyse av Celeste. Ved å bruke en kvalitativ analyse av Celeste kan jeg se nærmere på alle aspektene ved dette spillet som krever spesifikke ferdigheter fra spilleren. Celeste er et plattformspill. Dette er en form for spill som setter høye krav til interaksjon mellom spill og spiller, og vil vanligvis kreve nøyaktig koordinasjon mellom øyne og hender under spillingen. I tillegg til dette kom jeg gjennom analysen frem til at en kyndig leser av dataspill bør være i stand til å forstå hvordan Celeste bruker det semiotiske materialet for å tilrettelegge for en bestemt opplevelse hos spilleren. Gjennom analysen kom jeg også frem til at spillerens kunnskap rundt dataspills semiotiske domene, ulike kulturer og evnen til å utføre kritisk tenking vil kunne påvirke opplevelsen av spillet og utbytte fra å bruke det i undervisningssituasjoner.","MGUNO550","Master i grunnskolelærerutdanningen 5. - 10. trinn, norsk. Høgskulen på Vestlandet, campus Bergen","https://hdl.handle.net/11250/3137673","nob","Høgskulen på Vestlandet","http://creativecommons.org/licenses/by/4.0/deed.no","Navngivelse 4.0 Internasjonal","grunnskolelærerutdanning||norskfaget||dataspill||lesing","New ways of reading? An analysis of the narrative digital game Celeste in light of  the concept of literacy","Nye måter å lese på? En analyse av det narrative dataspillet Celeste i lys av  literacy-begrepet","Master thesis"
"2269c8d9-659b-41ad-82c4-55ff318065b8","11250/2473201","Lyngedal, Hedvig",,"2024",,"The purpose of this study is to explore how engagement with multimodal literature can cultivate life skills among Norwegian third graders (ages 8-9). The research investigates how students interpret and discuss the verbal and visual elements of the picturebook “Big Cat, little cat” and how they relate these elements to their personal experiences and understanding of real-life events. The overarching question guiding this research is: How can engagement with “Big Cat, little cat” through group discussions contribute to third graders’ development of life skills? To answer this question, I first conducted a multimodal analysis of the picturebook and group discussions with third graders in the Norwegian English classroom. The intervention included reading and discussion sessions in small groups (2-4 students), which were audio recorded. I applied thematic analysis on the transcribed student responses to the book. The discussions made abstract concepts accessible and relatable to the students. Encouraged by the picturebook itself, each other’s insights, and open-ended questions, the students shared their perceptions and interpretations openly. They explored various themes and participated in discussions about the book’s elements and the emotions these evoked, thus fostering various life skills, such as emotional and social development, communication skills, creative thinking, and coping mechanisms. The findings indicate that “Big Cat, little cat” encourages students to explore complex emotional and existential themes, such as bereavement, companionship, and the continuity of life. Moreover, the picturebook offered a platform that enabled them to engage with the narrative in active and meaningful ways. This study highlights the transformative role of literature in education by illustrating how engagement with literary works can serve as a powerful tool for developing life skills, equipping students to manage life’s challenges and opportunities in a healthy way.","MGBEN550","Master i grunnskolelærerutdanningen 1. - 7. trinn. Høgskulen på Vestlandet, campus Bergen","https://hdl.handle.net/11250/3137278","eng","Høgskulen på Vestlandet","http://creativecommons.org/licenses/by/4.0/deed.no","Navngivelse 4.0 Internasjonal","grunnskolelærerutdanning||engelsk",,"From pages to practice: Cultivating life skills through picturebooks","Master thesis"
"66d97ac8-564c-43b0-969e-522aff1e53ed","11250/2473201","Mehl, Jonas Are",,"2024",,"I denne oppgåva undersøkjer eg korleis dataspelet Draugen (2019) inviterer til refleksjon over norsk natur og kulturhistorie, og korleis dataspelet kan virke dannande. Eg har nytta meg av litterær analyse som metode for å identifisere kva element i spelet som inviterer til refleksjon. I tillegg har eg brukt «Natur-i-kultur»-matrisa for å diskutere kva haldningar ovanfor naturen desse refleksjonane uttrykker. Eg har nyansert analysen av spelet med teori om korleis draugen er forstått i norsk forteljartradisjon for å peike på kulturhistoriske refleksjonar. For å plassere dataspelet i litteraturforskingens periferiar analyserer eg den narrative strukturen med utgangspunkt i Espen Aarseths narrative spelmodell. Eg har funne at spelet inviterer til refleksjon over norsk natur og kulturhistorie på fleire måtar. Spesielt er dataspelets interaksjonsmoglegheiter sentrale. Gjennom å interagere med spelverda i Draugen opnar spelutviklarane for sanseinntrykk som kan påverke refleksjonane ovanfor miljøet. Eit anna narrativt element i spelet som inviterer til refleksjon er dialogen mellom karakterane i spelet og dialogvala spelaren kan velje mellom. Det tredje elementet som er spesielt sentralt for å invitere til refleksjonar er handlingane som skjer, og som driv narrativet i spelet framover. Eg har funne, i dialog med Natkul-matrisa, at Draugen inviterer til feirande refleksjonar av den norske naturen frå både antroposentriske og økosentriske posisjonar. Sjølv om spelet i størst grad verker å feire naturen inviterer det også til problematiserande refleksjonar i form av farar i naturen, spesielt frå ein antroposentrisk posisjon. I dialog med estetisk og litterær danningsteori, Nussbaums teori om den narrative førestillingsevne, og Rosenblatts transaksjonsteori viser eg at danningspotensialet i Draugen er fleirsidig. For det første bidreg spelet til sjølvrefleksjon og forståing gjennom etiske spørsmål, og kan lære spelaren å handtere det ukjente og uventa. Det er også eit danningspotensial i å kunne avkode det som er nødvendig for å forstå eit slikt dataspel, noko som forsterkar lesarposisjonen og fortolkingskompetansen til spelaren. Utover dette gir spelet eit meir nyansert natur- og miljøsyn og innsikt i den norske kulturhistoria.","MGUNO550","Master i grunnskolelærerutdanningen 5. - 10. trinn, norsk. Høgskulen på Vestlandet, campus Bergen","https://hdl.handle.net/11250/3137676","nno","Høgskulen på Vestlandet","http://creativecommons.org/licenses/by/4.0/deed.no","Navngivelse 4.0 Internasjonal","grunnskolelærerutdanning||norskfaget||dataspill","«Do you think draugen took our boat?» An analysis of formation, nature and cultural history in  the video game Draugen (2019)","«Trur du draugen tok båten vår?» Ein analyse av danning, natur og kulturhistorie i  dataspelet Draugen (2019)","Master thesis"
"b00d55b8-7e76-48af-bca0-3353ea1c54b6","11250/2473201","Skadberg, Hanna",,"2024",,"I takt med den økende digitaliseringen i skolen, har digital skriving fått en sentral plass i norskfaget. Penn og papir har blitt byttet ut med skjerm og tastatur, som åpner for andre muligheter i skriving av tekster. Formålet med denne masteroppgaven er å undersøke elevenes digitale redigeringspraksiser, og problemstillingen er derfor: Hva kjennetegner et utvalg elever på åttende trinn sine digitale redigeringspraksiser i det første skriveforløpet? Det første skriveforløpet regnes som selve skrivefasen før elevene har fått tilbakemeldinger på teksten. Studien undersøker tekstlige endringer; som overflateendringer og substansielle endringer, kjennetegn ved pauser i skriveprosessen og ulike skrivertyper. Videre tar oppgaven for seg sammenhengen mellom redigeringspraksiser og tekstkvalitet. Studien tar utgangspunkt i ni elevtekster samlet inn via skjermopptak som forskningsmetode. Denne metoden utgjør oppgavens empiri, og gir et detaljert innblikk i elevenes skriveprosess i det første skriveforløpet. Analysen består i hovedsak av opptellinger som blir plassert i kvantitative tabeller, men inkluderer også innslag av kvalitativ analyse visse deler av oppgaven. Med utgangspunkt i Faigley og Wittes taksonomi for revisjon undersøker jeg elevenes digitale redigeringspraksiser. Pausene i skrivefasen analyseres ved opptellinger av korte og lengre pauser, hvor disse forekommer og til slutt hva de munner ut i, enten redigering eller nyskriving. Vurderingen av elevenes tekstkvalitet bygger på forventningsnormene til Normprosjektet og blir tallfestet i kvantitative tabeller og figurer, med supplerende kvalitative eksempler fra elevtekstene. Funnene viser at elevene i størst grad utfører tekstlige endringer som rettskriving på overflatenivå, og færre substansielle endringer som har større betydning for teksten. De vanligste pausene var lengre pauser og pauser mellom ord, samt pauser som førte til nyskriving. Kategoriseringen av elevene som ulike skrivertyper poengterer at revisjon er en kontinuerlig prosess, hvor de fleste elevene kategoriseres som dynamiske skrivere. Disse dynamiske skriverne viste tendens til å produsere tekster med bedre kvalitet, sammenlignet med elevene som ble kategorisert som reviderere og produserte tekst med lavere kvalitet. Det ble ikke observert tydelige mønstre eller sammenheng mellom hvilke redigeringspraksiser som nødvendigvis førte til forbedret tekstkvalitet. Studien gir verdifull innsikt i skrivefasen og sammenhengen mellom digital redigeringspraksis og tekstkvalitet","MGUNO550","Master i grunnskolelærerutdanningene 5. - 10. trinn, norsk. Høgskulen på Vestlandet, campus Bergen","https://hdl.handle.net/11250/3137685","nob","Høgskulen på Vestlandet","http://creativecommons.org/licenses/by/4.0/deed.no","Navngivelse 4.0 Internasjonal","grunnskolelærerutdanning||norskfaget||redigeringspraksiser","Exploring digital editing practices in a group of eighth  graders","Utforsking av digitale redigeringspraksiser i en gruppe på  åttende trinn","Master thesis"
"e4780996-d6b0-4efe-ae12-43e9a8d3f63e","11250/2473201","Gustavsen, Olea Dorthea",,"2024",,"Denne masterstudien undersøker de ulike maktstrukturane som finnes i romanen Lappjævel! i lys av maktteori. I over hundre år har samene blitt utsatt for en umenneskelig assimileringspolitikk utført av den norske stat. Politikken sitter enda godt i ryggmargen hos den samiske urbefolkningen, og med god grunn. Forskning viser at samer fortsatt opplever hets og diskriminering på grunn av sin kulturelle bakgrunn, noe som viser hvor relevant romanen Lappjævel! er i norske klasserom. Formålet med denne masterstudien er derfor å undersøke hvordan de ulike maktforholdene fra den norske og samiske kulturen blir representert og problematisert i Lappjævel!. Det teoretiske grunnlaget bygger to ulike deler. Den første delen består av samenes historie, hvor romanen blir satt i en historisk kontekst. Denne delen bygger på samenes historie som urbefolkning, og frem til kampene som blir kjempet den dag i dag. Den andre delen består av maktteori med hovedfokus på Friedrich Nietzsche og Michel Foucault. I delen med Nietzsche belyses maktteori på et samfunns og individnivå, mens med Foucault er hovedfokuset den disiplineringsmakt som finnes på institusjoner. Nietzsche og Foucault utgjør rammene for studien, da perspektivene deres avdekker forskjellige typer maktstrukturer i romanen. Funnene fra analysen i et Nietzsche-perspektiv viser hvilken makt de offentlige ansatte har over de samiske elevene ved internatet, og ikke minst hvor mye holdningene deres til fornorskningspolitikken har å for relasjonen med elevene. Analysen viser også hvordan makt i form av mobbing og trakassering kan være en overlevelsesmekanisme, samt hvor mye makt som ligger i det å være en utenforstående i kulturelle problemstillinger. I et Foucault-perspektiv viser funnene hvordan internatet er bygget opp for å oppnå disiplineringsmakt. Dette gjøres gjennom internatets fysiske oppbygning, men også med straff og belønning fra de ansatte.","MGUNO550","Master i grunnskolelærerutdanningen 5. - 10. trinn, norsk. Høgskulen på Vestlandet, campus Bergen","https://hdl.handle.net/11250/3137674","nob","Høgskulen på Vestlandet","http://creativecommons.org/licenses/by/4.0/deed.no","Navngivelse 4.0 Internasjonal","grunnskolelærerutdanning||norskfaget","Sami oppression and resistance: A literary analysis of  power relations in Lappjævel! through Nietzsche and  Foucault","Samisk undertrykkelse og motstand: En litterær analyse av  maktforhold i Lappjævel! gjennom Nietzsche og Foucault","Master thesis"
"3750bb60-5b5c-462a-8abc-d368182312f5","11250/2473201","Glomset, Emma Cecilie",,"2024",,"Norsk teiknspråk står svakt som opplæringsspråk, og det er kritisk mangel på forskingsbasert kunnskap om tospråkleg opplæring som vil gje døve barn tilgang til norsk teiknspråk og norsk. Døve med teiknspråk som førstespråk må lære seg eit skriftspråk basert på ein modalitet dei ikkje sansar: lydar. Denne oppgåva vil ta føre seg korleis døve bimodalt tospråklege barn skriv norsk skriftspråk ved å sjå på utvalde grammatikkmønster i fire elevtekstar. Vidare vil oppgåva ta føre seg kva didaktiske implikasjonar desse språklege mønstera har. Norsk teiknspråk og norsk er to ulike språk basert på ulike modalitetar, eitt visuelt-gestuelt og eitt oralt-auditivt. I tillegg til modalitetsskilnadane har også språka ulike grammatiske normer og reglar. Døve bimodalt tospråklege barn må lære eit språk med annleis grammatikk – og med dette kjem eit særskilt sett utfordringar. Elevtekstar reknast for å vere utstillingsvindauge for kva språkkompetanse elevar har. Denne oppgåva nyttar ein kvalitativ studie av utvalde grammatikkmønster i fire elevtekstar for å forklare elevane sin skriftspråklege kompetanse. Analysen indikerer at døve bimodalt tospråklege barn har andre grammatiske avvik i skriftspråket enn høyrande barn. Dei fleste avvika er relaterte til ordklassane substantiv, verb og preposisjonar. Eg forsøker å forklare desse avvika med eit perspektiv på grammatikken i norsk teiknspråk, og argumenterer for at elevane skriv norsk skriftspråk med kryssaktivering av norsk teiknspråk. Eg vonar at denne oppgåva kan vere eit bidrag til korleis vi betre kan tilpasse norskundervisninga for teiknspråkselevar","MGUNO550","Master i grunnskolelærerutdanningen 5. - 10. trinn, norsk. Høgskulen på Vestlandet, campus Bergen","https://hdl.handle.net/11250/3137657","nno","Høgskulen på Vestlandet","http://creativecommons.org/licenses/by/4.0/deed.no","Navngivelse 4.0 Internasjonal","grunnskolelærerutdanning||norskfaget||døve||tegnspråkelever","Deaf bimodal bilingual students and Norwegian morphology: A qualitative study of chosen patterns of grammar in four student texts","Døve bimodalt tospråklege elevar og norsk morfologi: Ein kvalitativ studie av utvalde grammatikkmønster i fire elevtekstar","Master thesis"
"32fe3cd1-8ca6-4dd3-87cc-2cc84270f736","11250/2473201","Hufthammer, Victoria",,"2024",,"I denne oppgåva undersøker eg korleis ein spelestetisk analyse av spelnovella Milkmaid Of The Milky Way kan gje bidrag til å utvikle litterær kompetanse på 10.trinn. Dataspel har i dei seinare åra fått ein stor plass i barn og unge sin kvardag. Eg vil derfor undersøke om bruk av spelnovelle i undervisninga kan vere med på å nå utvalde kompetansemål i litteratur. Målet er å undersøke korleis arbeid med spelnovella kan bidra til at elevane kan nå utvalde kompetansemål frå læreplanverket for Kunnskapsløftet 2020. Eg vil også vise til konkrete måtar ein kan arbeide med spelnovella på, og knytte forslaga til undervisning opp mot kompetansemåla i LK20. For å undersøke problemstillinga mi, har eg valt å nytte meg av ein kvalitativ metode der eg utfører ei estetisk analyse av spelnovella. Den estetiske analysen tek utgangspunkt i spelnovella Milkmaid Of The Milky Way av Mattis Folkestad (2018), og inneheld tolkingar av karakterutvikling, framstilling av verda, musikk og lyd, og korleis ulike objekt og hendingar verkar inn på spelaren. Materialet vert attgjeve ved hjelp av gjennomspeling frå to ulike YouTube-kanalar. For å skildre estetiske og narrative element frå spelet, nyttar eg meg av teori frå blant anna Espen Aarseth (2012), Simon Egenfeldt-Nielsen et. al (2020) og Lykke Guanio-Uluru (2022). Det vert også supplert med hermeneutisk teori for å skildre tolkingsprosessen. I den estetiske analysen vert det gjort fleire hovudfunn. Eitt av desse er hovudkarakteren Ruth si utvikling, der ein ser ei stor endring frå ei einsam budeie på ein seter til ei modig heltinne på eit romskip med utanomjordiske skapningar. Eitt anna funn er korleis spelaren kan utføre oppdrag ved hjelp av lyriske gåter, lydeffektar, musikk og objekt. Dette er utgangspunktet for diskusjonen rundt dei utvalde kompetansemåla og korleis ein kan arbeide med spelnovella i undervisninga. Avslutningsvis vert det også foreslått vidare forsking på felte","MGUNO550","Master i grunnskolelærerutdanningen 5. - 10. trinn, norsk. Høgskulen på Vestlandet, campus Bergen","https://hdl.handle.net/11250/3137700","nno","Høgskulen på Vestlandet","http://creativecommons.org/licenses/by/4.0/deed.no","Navngivelse 4.0 Internasjonal","grunnskolelærerutdanning||norskfaget","Working with an Aesthetic Analysis of the Short Story Game  Milkmaid Of The Milky Way in Relation to Competency Aims  in Literature for Grade 10","Å arbeide med estetisk analyse av spelnovella Milkmaid Of  The Milky Way opp mot kompetansemål i litteratur for 10.trinn","Master thesis"
"1b75fff2-c702-4c7a-882c-802f4ebf9361","11250/2473201","Hestad, Emilie Loe",,"2024",,"The primary focus of this master´s thesis is to explore how the two picturebooks The Soccer Fence, written by Phil Bildner, and The Rabbits, written by John Marsden, might help promote intercultural competence in English language teaching in upper elementary school. Both picturebooks contain narratives addressing cultural topics such as colonial invasion, grief, power dynamics, and racial segregation. These narratives are explored in the context of theories like theory of mind and empathy, tolerance of ambiguity, as well as skills of interpreting and relating, knowledge, and attitudes. To analyze the chosen picturebooks, I have used a combination of elements from narrative theory, described by Nikolajeva (2003), Nikolajeva & Scott (2006), along with insights from social semiotics as described by Painter (2018, 2019). The findings of the study suggest that these picturebooks are complex training grounds that have the potential for intercultural learning in English language teaching. They provide opportunities for learners to empathize with the characters and put themselves in the characters´ shoes. The books may invite young learners to gain the knowledge and attitudes they need to have when living in a diverse and multicultural society. Regardless of how the stories are told, the books offer stories that may help promote intercultural competence through their intercultural encounters. The books serve as valuable tools that can be used for educating young learners about different cultures and how to behave in the world when encountering others, as well as the personal development in terms of becoming interculturally competent. In an educational context, this also relates to the core elements in the English subject (ENG01 04), titled Working with texts in English. Here, the curriculum specifically clarifies that different English texts, should be used to develop intercultural competence. The lack of an explicit definition of the term intercultural competence in the curriculum, as well as a lack of a method for implementing the term into teachers day-to-day teaching, makes this master´s thesis about intercultural competence and literary texts important in the research field. This thesis has provided an insight into what intercultural competence is, and it could facilitate teachers with a selection of suitable materials that could inspire them to work with literary texts that deal with cultural topics in the English subject to develop intercultural competence","MGBEN550","Master i grunnskolelærerutdanningen 1. - 7. trinn. Høgskulen på Vestlandet, campus Bergen","https://hdl.handle.net/11250/3137276","eng","Høgskulen på Vestlandet","http://creativecommons.org/licenses/by/4.0/deed.no","Navngivelse 4.0 Internasjonal","grunnskolelærerutdanning||engelsk",,"Promoting intercultural competence through picturebooks:  An exploration of Phil Bildner & Jesse Joshua Watson's  The Soccer Fence and John Marsden & Shaun Tan's The  Rabbits","Master thesis"
"fc5ef0df-3b5f-479e-905f-4799e71d6e77","11250/2473201","Røstbø, Daniel",,"2024",,"This thesis investigates Norwegian primary school teachers' beliefs and perceptions regarding the use of the English language in English Language Teaching (ELT). It also examines how these beliefs influence or contrast with their classroom practices. Using a thematic analysis of semi-structured life world interviews and non-participating classroom observations, the study explores the beliefs two primary school teachers hold and the alignment between the teachers' stated beliefs and their enacted classroom practices. Despite being motivated to teach in ELT due to the proficiency of their pupils, the teachers perceive a significant skill gap among pupils. To keep all students motivated, the participants believe in adapting how they use the English language in ELT. The teachers also employ playful learning activities they believe affect how the English language is used in their classrooms. In addition, the teachers also reflect on their own experiences as language learners themselves, and how they use the English language in ELT has changed due to their teacher training. Observations confirm that the teachers' classroom practices consistently reflect their stated beliefs and perceptions. Both teachers show high levels of engagement and energy, aligning with their self-reported motivation. The teachers employ playful and engaging teaching strategies to make learning fun and relatable, such as using games and interactive activities. Both teachers acknowledge a significant skill gap in their classes, and they address this by adjusting the way they use the English language. The implications for improving ELT include addressing the impact of teachers' beliefs on their practices. Enhancing teacher training to include more theoretical and practical aspects of language teaching and encouraging reflective practices can also be addressed. Emphasising flexibility and adaptability in teaching approaches can enhance the effectiveness of ELT in the future.","MGBEN550","Master i grunnskolelærerutdanningen 1. - 7. trinn. Høgskulen på Vestlandet, campus Bergen","https://hdl.handle.net/11250/3137277","eng","Høgskulen på Vestlandet","http://creativecommons.org/licenses/by/4.0/deed.no","Navngivelse 4.0 Internasjonal","grunnskolelærerutdanning||engelsk||ELT",,"From Beliefs to Practice: A study of Norwegian Teachers’ Beliefs and  Perceptions of English Language Use in ELT","Master thesis"
"7d4afb9b-a198-4d73-8703-73eb6a3e665b","11250/2473201","Skjæveland, Vilde Marie",,"2024",,"Abstract in English This thesis investigates how critical thinking is defined and how working with graphic novels in the EFL classroom can develop critical thinking skills. This thesis investigates what aspects that are involved in the process of thinking critically, and what is important to focus on to develop critical thinking. Critical thinking became a part of the Core curriculum in 2020, which says that teaching and training “shall give the pupils understanding of critical and scientific thinking” and “must create an understanding that the methodologies for examining the real world must be adapted to what we want to study and that the choice of methodology influences what we see.” (Kunnskapsdirektoratet, 2017). Previous research shows that teachers mostly teach critical thinking with argumentation and source criticism, and it is mostly done in Social Studies, Mathematics, Science, and Religion, but not in the English subject. To get a better understanding of the term critical thinking, I have done a thematic analysis of two papers, one written by John Dewey (1910), where he writes about thought and reflective thinking. The second is written by Robert Ennis (1985), where he writes about the definition of critical thinking. The results are discussed with a focus on answering the first research question of this thesis. There is a separate discussion chapter that focuses on answering the second research question. In the same chapter, there is an application on how to potentially use The Giver: Graphic Novel (Russell, 2019) in the English classroom. The application focuses on how to ask students questions to start a classroom dialog to get longer and more meaningful answers. It also focuses on group activities, where they must reflect and justify their answers. Some activities challenge pupils to stand in ethical dilemmas where they might have to argue for a point of view that they do not support. The conclusion to the first research question is that the term reflection is extremely important to be able to think critically. Searching for evidence, gaining knowledge, and being open minded to changing your beliefs are all important to thinking critically. However, critical thinking is hard to define in a short thesis like this, so there is a need for more research in this area. In the second research question, the conclusion is that critical thinking skills can be developed in the English subject. The type of questions we ask pupils, activities we give, and getting pupils aware of their knowledge, play a part in developing critical thinking skills.","MGBEN550","Master i grunnskolelærerutdanningen 1. - 7. trinn. Høgskulen på Vestlandet, campus Bergen","https://hdl.handle.net/11250/3137280","eng","Høgskulen på Vestlandet","http://creativecommons.org/licenses/by/4.0/deed.no","Navngivelse 4.0 Internasjonal","grunnskolelærerutdanning||ELF||engelsk",,"Critical thinking in the EFL classroom: A qualitative study on the definition of critical thinking,  and the use of graphic novels in the EFL classroom to  develop critical thinking skills","Master thesis"
