id,collection,dc.contributor.advisor,dc.contributor.author,dc.date.issued,dc.description,dc.description.abstract,dc.identifier,dc.identifier.uri,dc.language,dc.publisher,dc.title,dc.type
"035df0f6-272c-4a0d-9989-11549c7a550b","11250/3161460","Jensen, Inger Kristine","Nyhaug, Ingri","2024",,"Tema for oppgaven er helhetsforståelse av kroppen som system. Gjennom gjeldende læreplan
har kroppen fått en tydelig plass gjennom kjerneelementet «Kropp og helse». Elevenes
kunnskaper om hvordan kroppens delsystemer virker sammen, skal hjelpe elevene til å ta vare
på egen kropp og helse. Utgangspunktet for undersøkelsen er hvilken helhetsforståelse
ungdomsskoleelever har av kroppen som system, etter undervisning om organsystemer og
celler med fokus på systemtenkning. Den helhetlige forståelsen elevene hadde ble vurdert etter
deres evne til å identifisere komponenter, prosesser, sammenhenger og stofftransport innad i
systemene.
I undersøkelsen ble ungdomsskoleelever spurt om å tegne konseptkart med prosesser over hva
som kommer inn og ut av kroppene deres. Til å analysere konseptkartene ble et
analyserammeverk om systemtenkningsferdigheter tatt i bruk. Analyserammeverket var
utviklet til denne oppgaven spesielt og baserer seg på Raved og Yarden (2014) sitt
analyserammeverk.
Datamaterialet viste stor variasjon blant elevene når det kommer til helhetsforståelse av
kroppen som system. En tredjedel av elevene viser hvordan organsystemene er koblet sammen
og hvilken rolle cellen spiller i systemet, selv om noen var litt ufullstendige eller hadde små feil.
Blant halvparten av konseptkartene kan vi se elever som oppfatter sirkulasjonssystemet,
respirasjonssystemet og fordøyelsessystemet som tre separate systemer uten samhandling seg
imellom. Blant de resterende konseptkartene ser elevene noen sammenhenger mellom
organsystemene, men ikke alle, og kan sies å være på god vei mot en bedre helhetsforståelse
av kroppen som system.
Resultatene viser at mange elever har utfordringer med å integrere kunnskapen om de ulike
organsystemene inn i et konseptkart. Blant utfordringene elevene står ovenfor indikerer et
behov for å styrke elevenes forståelse av vertikale sammenhenger, spesielt innenfor
sammenhenger som knyttes til sirkulasjonssystemet. Studiefunnene viser at elevene generelt
strever med konsepter som går på tvers av makro-, submikro- og mikronivå.||","no.oslomet:inspera:230362736:129186945","https://hdl.handle.net/11250/3162597","nob","Oslo Metropolitan University","Elevers helhetsforståelse for kroppen som system","Master thesis"
"058e6362-ec85-4fa6-94dd-6d88b6e6d440","11250/3161460","Walseth, Kristin","Loe, Hanne","2024","Full text not available","Denne masteroppgaven undersøker opplevelsen av kroppspress blant elever i skolen. Med samfunnets stadig økende fokus på utseende og kroppsidealer, er det blitt viktig å forstå hvordan disse idealene påvirker ungdommers selvoppfatning innenfor skolens rammer. Det teoretiske rammeverket tar utgangspunkt i fire viktige begreper for studien sin problemstilling: kroppsideal, kroppsbilde, selvfølelse og kroppspress. Rammeverket er utvidet ved å integrere nasjonal og internasjonal forskning om kroppspress. Studien benytter kvalitative forskningsmetoder, semistrukturet forskningsintervju og visuelle metoder som er grunnlaget for oppgaven sin empiri. Utvalget for denne studien består av sju ungdommer i alderen 15-16 år, tre gutter og fire jenter med ulik bakgrunn og ulike erfaringer. Intervjuene ble analysert gjennom tematisk analyse, hvor datamaterialet ble kategorisert basert på empirien. 

Resultatene viser at elevene opplever mest kroppspress i skolen, spesielt under kroppsøvingsundervisningen. Dette er særlig tydelig i garderoben og svømmehallen, hvor eksponering av kropp og kroppslige sammenligninger forsterker bevisstheten rundt egen kroppsform. Familie, jevnaldrende og sosiale medier forsterker ideen om hvordan man burde se ut. Dette bidrar til å forsterke det allerede eksisterende presset om et urealistiske skjønnhetsidealet. Informantene uttrykker tydelige oppfatninger om hvordan det ideelle kroppsbildet ser ut, og vektlegger betydningen av en veltrent, sunn, og slank kropp. 

Studiens resultater indikerer at kroppsøvingsfaget er et fag der elever kan oppleve kroppspress.
Tidligere forskning har vist at skolen har et ansvar når det kommer til dette temaet (Kunnskapsdepartementet, 2019a). Det har vist seg at lærerens engasjement og tilnærming til undervisningen, har en stor betydning når det kommer til å forme elevers selvoppfatning. Ved å formidle positive kroppsbilder og fremme inkludering, kan lærere bidra til å redusere kroppspress blant elever. Tidligere forskning peker også på at kroppsøvingsfaget er et verktøy som kan bidra til at elevene får en dypere forståelse av kroppens mangfoldighet og funksjonalitet, utover overfladiske estetiske idealer (Walseth et al., 2018).||","no.oslomet:inspera:231441987:52145187","https://hdl.handle.net/11250/3162646","nob","Oslo Metropolitan University","Kroppspress i kroppsøvingsfaget","Master thesis"
"0674c460-c2a7-49d1-b00b-4650486bde9c","11250/3161460","Hovik, Ellen Konstanse.","Nguyen, Andy.||Stave, Simen.","2024",,"Programmering er en ferdighet som nylig har blitt introdusert i norsk læreplan gjennom LK20. Denne studien tar sikte på å utforske hvordan denne implementeringen har blitt gjennomført ved å analysere matematiske lærebøker fra to forskjellige forlag for 8., 9. og 10. trinn. Dette gjør vi ved å utføre en innholdsanalyse av tilstedeværelsen av stillas, åpenhet, programmeringsformer og arbeidsmåter. Vår studie er baseres på teoretiske rammeverk som UMC-metoden fra Lee et al. (2011) og kategoriseringen av åpenhet av Yeo (2017). Resultatene av vår studie viser at det har vært ulike tilnærminger til implementeringen. På den ene siden fokuserte Maximum på en overgang fra analog programmering til blokkbasert programmering før de til slutt introduserte tekstbasert programmering. På den andre siden har Matemagisk utelukkende benyttet den sistnevnte programmeringsformen. Vi finner også et lavt antall oppgaver med åpen utvidelse i begge læreverkene, noe som fører til et høyt antall lukkete oppgaver.

Programming is a new skill that has recently been introduced to the Norwegian curriculum through LK20. This study aims to explore how this implementation has been done by analyzing mathematical textbooks from two different publishers for 8th, 9th and 10th grade. We do this by performing a content analysis of the presence of scaffolding, openness, programming tools and the approaches to programming. Our study is based on the use of theoretical frameworks such as the UMC-method from Lee et al. (2011) and the categorization of openness by Yeo (2017). The results of our study show that there have been different approaches to the implementation. On one hand, Maximum focused on a transition from unplugged programming to block-based programming before finally introducing text-based programming. On the contrary Matemagisk has exclusively utilized the latter of the three. We also find a small number of tasks with open extension from both publishers, leading to a high number of closed tasks.||","no.oslomet:inspera:230362736:122585534","https://hdl.handle.net/11250/3162395","nob","Oslo Metropolitan University","En innholdsanalyse av arbeidsmåter og åpenhet i matematiske programmeringsoppgaver","Master thesis"
"06ca73f1-e989-4fcc-979e-2b246c33da2b","11250/3161460","Aalbergsjø, Siv Gundrosen","Jangås, Fredrik Mork","2024",,"Skolen har et ansvar for å gi elever kompetanser for fremtiden. Disse kompetansene finner vi igjen i læreplanen i naturfag i kjerneelementet naturfaglige praksiser og tenkemåter som handler om at elevene skal utvikle kunnskap slik kunnskap blir til. Det er også et fokus på at man skal arbeide med kjerneelementet på autentiske måter. En måte å arbeide med kjerneelementet på en autentisk måte er å arbeide med datasimuleringer.
Hensikten med oppgaven er å undersøke hvordan man kan trene på naturfaglige praksiser og tenkemåter ved å arbeide med datasimuleringer.
For å operasjonalisere hensikten ble det utviklet to forskningsspørsmål:
1. Hvilke naturfaglige praksiser og tenkemåter viser elever i arbeid med datasimuleringer?
2. På hvilke måter viser elever tegn på naturfaglige praksiser og tenkemåter i arbeid med datasimuleringer?
Det ble gjort opptak av elevers samtaler mens de arbeidet med datasimuleringer. Disse ble transkribert og deretter analysert ved hjelp av teoridrevet innholdsanalyse for å se etter tegn på naturfaglige praksiser og tenkemåter.
Hovedfunnene er at elevene samler og bearbeider data, lager forklaringer, bruker og lager modeller, argumenterer og viser tegn til algoritmisk tenkning. Elevene får til å lage datasimuleringer som viser kunnskapen deres, har begynnende grad av å utvikle forklaringer og øver på programmering gjennomgående. Mye tyder på at elever synes det er vanskelig med forenklinger og å bruke datasimuleringer som et verktøy for å tilegne seg ny kunnskap.
Basert på resultatene diskuteres det på hvilken måte man kan trene på naturfaglige praksiser og tenkemåter og hvordan man kan legge til rette for dette. I likhet med annen forskning virker det som datasimuleringer egner seg til undervisning for naturfaglige praksiser og tenkemåter, men at dette gjerne kan jobbes med over lengre tid.||","no.oslomet:inspera:230362736:53956574","https://hdl.handle.net/11250/3162604","nob","Oslo Metropolitan University","Datasimuleringer i naturfag","Master thesis"
"098b1100-4118-4aa1-8ee6-2531b4f9deba","11250/3161460","Skarstein, Dag.","Johansen, Lene Sveberg.","2024",,"Denne masteroppgaven undersøker fire norsklæreres litteraturdidaktiske refleksjon, særlig med henblikk på dannings- og literacy-perspektiver. Disse to rammene blir i oppgaven
betraktet som mulige fagdidaktiske rammer som tilbyr faglige begrunnelser og resonnementer knyttet til egen klasseromspraksis og når det gjelder litteraturundervisningen.

Analysen, som støttes av tidligere forskning, viser at tre av fire norsklærere ikke resonnerer innenfor tradisjonelle fagdidaktiske rammer. I disse tre lærernes diskurs erstattes de
fagdidaktiske rammene med en problemdiskurs som handler om elevmotivasjon, leseutholdenhet og teknologisk innflytelse. Bare én av lærerne viser en tydelig danningsrettet tilnærming, mens de andre synes å styres av personlig interesse og elevengasjement, uten klare didaktiske forankringer. Dette reiser spørsmål om betydningen av didaktisk refleksjon innenfor en tydelig fagdidaktisk ramme og implikasjonene av mangel på slik refleksjon.

Studiens konklusjon fremhever hvordan fraværet av refleksjon innen en definert fagdidaktisk ramme potensielt kan svekke norskundervisningens kvalitet og effektivitet. Oppgaven viser at
det mest hensiktsmessige er en balansert tilnærming hvor både literacy- og danningsperspektiver er integrert for å fremme en helhetlig pedagogisk praksis. Likevel påpeker funnene at det kan være betydelige fordeler knyttet til et fokusert engasjement i én
fagdidaktisk ramme, fremfor ingen. Å støtte undervisningen på en fagdidaktisk ramme kan gi positive utfall som ikke nødvendigvis oppnås ved et fravær av fagdidaktiske overveielser. Dermed understreker oppgaven betydningen av å forankre norskundervisningen i en fagdidaktisk kontekst, hvor en balansert tilnærming spesielt kan sikre litteraturundervisningens relevans og understøtte elevens kritiske tenking og personlige utvikling.

Nøkkelord: litteraturdidaktikk, danning, literacy, fagdidaktiske rammer, pedagogisk praksis||","no.oslomet:inspera:230362736:38163214","https://hdl.handle.net/11250/3162365","nob","Oslo Metropolitan University","I spennet mellom didaktiske muligheter og elevorientering: Fire ungdomsskolelæreres refleksjoner om skjønnlitteraturens plass i norskfagets brede fagopplæring","Master thesis"
"09919662-5b7e-49e6-8f91-9b1d0fe04bea","11250/3161460","Myrebøe, Tonje","Sæbø, Askel","2024",,"Denne masteroppgaven undersøker undervisningsopplegget «Hvordan reagere på hatprat?». Dette har blitt knyttet til demokratisk kompetanse, og jeg har undersøkt hva slags former for demokratisk kompetanse som undervisningsopplegget fremmer. Problemstillingen for oppgaven er «Hvordan kommer demokratisk kompetanse til uttrykk gjennom ungdomsskoleelevers refleksjonstekster etter gjennomføring av undervisningsopplegget ‘Hvordan reagere på hatprat’?». Undervisningsopplegget kan sees i sammenheng med skolens oppdrag om å motvirke ekstremistiske holdninger og handlinger, og tidligere forskning viser at støtte blant elevene er en viktig faktor. Jeg har derfor valgt å ha elevperspektivet i fokus.

Det teoretiske grunnlaget for oppgaven er demokratiske kompetanser og demokratifremmende undervisningsmetoder. Det har også vært nødvendig å redegjøre for fenomenet hatprat, og spesielt hvordan det kommer til uttrykk gjennom unges hverdag og mediebruk. 

Oppgavens metodiske grunnlag er en tematisk analyse av refleksjonstekster samlet inn før og etter undervisningsopplegget, som er kombinert med ikke-deltakende analyse i to forskjellige tiendeklasser. Gjennom den tematiske analysen og observasjonen har jeg analysert hvordan politisk mestringstro og kritisk tenkning kommer til uttrykk i forbindelse med undervisningsopplegget. Jeg har også skrevet om elevenes opplevelse av det dialogiske og hvordan et slik undervisningsopplegg oppleves fra elevperspektivet. 

Funnene i oppgaven viser at undervisningsopplegget kan fremme kritisk tenkning. Undervisningsopplegget legger opp til at alle på gruppa må drøfte hvert sitt alternativ, som skapte et perspektivmangfold som var nyttig for å skape en bred forståelse. Det er færre funn av politisk mestringstro, hvor et interessant funn var at elevene føler seg maktesløse i møte med hatprat. De ønsker å bidra til endring, men vet ikke hvordan de kan gjøre dette. Oppgaven blir konkludert med at skolen kan ta en enda mer aktiv rolle i å modellere noen av alternativene, slik at elevene får en forståelse av hvordan det kan se ut.||","no.oslomet:inspera:230362736:36440196","https://hdl.handle.net/11250/3162407","nob","Oslo Metropolitan University","Mikkel Rev satt og skrev – hatefulle ytringer? En undersøkelse av det demokratiske potensialet i undervisningsopplegget «Hvordan reagere på hatprat?»","Master thesis"
"099e0207-5013-4320-b64c-049ab31b79b8","11250/3161460","Øgreid, Anne Kristine","Mosengen, Karoline Melbostad","2024",,"Temaet for denne masteroppgaven er kunstig intelligens i klasserommet, hvor problemstillingen lyder som følgende: Hva kjennetegner undervisningsopplegg om skriving fra språkmodellen ChatGPT og fra undervisningsappen Curipod sammenlignet med et tilsvarende kapittel fra en lærebok i norsk, med tanke på faglig og didaktisk kvalitet? Jeg utarbeidet to forskningsspørsmål som ble brukt som en rettesnor for å besvare problemstillingen: 1. Hva er forskjellen på de KI-genererte undervisningsoppleggene, sammenlignet med undervisningsopplegget i læreboka? 2. Hvilke rammer eller føringer legger de ulike læringsressursene for lærere? Formålet med denne studien er å undersøke om store språkmodeller kan og bør anvendes som verktøy for å lage undervisningsopplegg, og om de eventuelt kan erstatte den tradisjonelle læreboka. 

For å besvare denne problemstillingen tok jeg utgangspunkt i læringsmålene fra læreboka Fabel 8, og genererte tilsvarende undervisningsopplegg ved hjelp av ChatGPT og Curipod. Deretter ble det gjennomført en kvalitativ innholdsanalyse av de tre undervisningsoppleggene. Resultatene av analysen indikerer at selv om KI-verktøyene kan generere fullstendige undervisningsopplegg, mangler de kontekstuell forståelse og et helhetlig perspektiv på utviklingen av elevenes skrivekompetanse. Sammenlignet med den tradisjonelle læreboka, vektlegger de også skriveoppgaver i mindre grad og genererer frem upresise oversettelser av ord. Undervisningsopplegget til ChatGPT retter seg primært mot læreren og forutsetter at vedkommende allerede besitter god kunnskap om emnet, mens Curipod krever betydelig tilpasning fra lærerens side på grunn av den fragmenterte strukturen. 

Oppsummert støtter resultatene tidligere funn om behovet for en mer omfattende involvering av lærere i utviklingen av KI-baserte undervisningsressurser, samt i treningen av KI-verktøy. Mens KI-verktøyene kan være nyttige som supplement eller inspirasjonskilde, kan de ikke fullt ut erstatte den tradisjonelle læreboka når det gjelder å levere et undervisningsopplegg med høy faglig og didaktisk kvalitet. 


Nøkkelord: Kunstig intelligens, lærebok, undervisningsopplegg, skriving, opplæring, planlegging, lærere, ChatGPT, Curipod, Fabel 8.||","no.oslomet:inspera:230362736:53956766","https://hdl.handle.net/11250/3162686","nob","Oslo Metropolitan University","KI-verktøy eller lærebok? En kvalitativ innholdsanalyse av et undervisningsopplegg fra ChatGPT, Curipod og en lærebok i norsk","Master thesis"
"0c53042d-3687-4bc7-90cd-cc541e67e234","11250/3161460","Eiesland, Eli Anne||Lundberg, Pål","Kjølle, Rebekka Andrine Sannerud","2024",,"I masteroppgaven har jeg utviklet et brettspill for bruk i norskfaget på ungdomstrinnet. Hensikten med spillet er å bidra til at elever på ungdomstrinnet kan utvikle sine muntlige ferdigheter og fagkunnskaper, i tillegg til å bruke fagspråk og være kreative. Problemstillingen er derfor: Hvordan kan et brettspill tas i bruk som et didaktisk læremiddel i norskfaget på ungdomstrinnet?
Forskningsspørsmålene for oppgaven er: 
1.	Hvordan kan spillet utformes slik at det gir mulighet for at elevene kan utvikle sine muntlige ferdigheter?
2.	Hvordan kan spillet utformes slik at elevene får muligheten til å øve på å bruke fagspråket sitt i en norskfaglig sammenheng?
3.	Hvordan kan spillet utformes slik at elevene kan få være kreative?
4.	Hvordan kan spillet utformes slik at det spilltekniske fungerer best mulig?
Spillets konsept er at elevene ved å samarbeide med hverandre skal hjelpe kjente norske forfattere inn i bokhyllen/spillbrettet før tiden er ute. For å klare dette må de løse oppgaver i form av spørsmålskort og vill-utfordring-kort, innen temaene litteratur, argumentasjon og språklig mangfold.
Spillet er utviklet ved hjelp av pedagogisk designforskning. Jeg har gjennomført tre sykluser med utprøving (pluss en pilotsyklus), der jeg observerte spillet i bruk i tre ulike 10. klasser. Observasjonsnotater og lydopptak fra observasjon, samt intervjudata fra lærere og elever utgjør datamaterialet som er analysert og brukt som utgangspunkt for omarbeiding av produktet. 
Gjennom utprøvingene ble spillet justert på flere måter for å tilrettelegge i størst mulig grad for at elevene skulle kunne bruke muntlige ferdigheter, fagspråk og kreativitet, samt at spillet skulle være brukervennlig for lærere og elever. Det ble blant annet lagt til en videoforklaring av spillet, en svarknapp som elevene måtte holde på for å svare på spørsmålskortene og vill-utfordring-oppgavene ble fellesoppgaver. Det viser seg at spillet kan brukes som vurderingsform og at spill egner seg godt som et didaktisk læremiddel, men det må være grundig utformet. Utvalgte funn og redesign fremkommer i skriftlig del, mens det blir presentert mer detaljert i muntlig del.||","no.oslomet:inspera:230362736:52346481","https://hdl.handle.net/11250/3162654","nob","Oslo Metropolitan University","«Redd kjente norske forfattere før de blir glemt!», et norskfaglig brettspill for ungdomstrinnet.","Master thesis"
"0c8de263-fee2-467b-9b36-1ecd79559365","11250/3161460","Hjulstad, Johan||Holmström, Ingela","Nilssen, Marianne Dahl","2024",,"Hensikten med denne oppgaven er å fremme kunnskap og forståelse for språklæringsarbeidet med en deltakergruppe som er tidligere ikke har vært studert. Verken innenfor voksenopplæringsfeltet eller i tegnspråkfeltet. 

Dette er en kvalitativ studie av fire læreres arbeid med språkopplæring av voksne døve innvandrere. Innvandrergruppen jeg fokuserer på har kommet til Norge uten et morsmål og uten tidligere skolegang. Lærerne som er intervjuet i denne undersøkelsen jobber ved kommunale voksenopplæringssentre. Døve innvandrere blir bosatt over hele Norge, og kommunene er selv ansvarlige for opplæringen. Med manglende læreverk og et begrenset profesjonsfelleskap uttrykker lærere at det er en krevende oppgave å gi god opplæring til denne gruppen deltakere. 

Gjennom denne undersøkelsen er målet å løfte frem god praksis, samt refleksjoner som kan være med å øke forståelsen for deltakernes behov i starten av språklæringen og for nødvendigheten av rett tilrettelegging. 

Problemstillingen min er som følger: 
Hva gjør lærere til nyankomne voksene døve innvandrere uten morsmål- og skolebakgrunn i kommunale voksenopplæringer for å gi deltakerne en god start på språkopplæringen? 

Studien synliggjør behovet for en økt bevissthet om at gruppen er svært heterogen, til tross for felles utgangspunkt uten hørsel, morsmål og skolebakgrunn. Opplæringen kan ikke starte med en deltakersamtale slik som det vanligvis gjør. Uten et språklig grunnlag til å kunne benytte tolk, må lærer og deltaker over tid bygge språket sammen og bli kjent litt etter litt. Ofte fra  det helt konkrete, og sakte men (u)sikkert over i det mer abstrakte. Stikkord blir et godt språklig omsorgsarbeid, trygge relasjoner, en utvidet deltakersamtale, aksept for deltakernes medbrakte språklige ressurser og behov for en utvidet lærerrolle. Dette krever tålmodighet, mye tid, kreativitet og en god forståelse for det visuelle språkets egenart å kunne gi deltakerne en god start på språkopplæringen. Ikke minst krever det en god porsjon vilje og innsats å forstå og tilpasse til en bakgrunn læreren selv ikke har tatt del i.||","no.oslomet:inspera:231441987:83075447","https://hdl.handle.net/11250/3162673","nob","Oslo Metropolitan University","En voksen døv deltager uten morsmål og skolebakgrunn. Hva gjør jeg nå?","Master thesis"
"0f15ed7f-52a1-4436-9393-37b12553eb63","11250/3161460","Eie, Siv","Karterud, Sander||Tangre, Andreas","2024","Full text not available","Denne studien har undersøkt digitale læreverk i samfunnsfag, og hvordan de legger til rette for utvikling av digitale ferdigheter. Studien har besvart følgende problemstilling: På hvilke måter fremmer digitale læreverk i samfunnsfag utvikling av digitale ferdigheter hos elever? Problemstillingen er besvart gjennom utformingen av to forskningsspørsmål: «Hvordan kommer digitale ferdigheter til uttrykk i de digitale læreverkene i samfunnsfag?» og «Hvordan kan de digitale læreverkene i samfunnsfag forstås i lys av modeller for teknologisk integrering?»

Med læreplanen for Kunnskapsløftet fra 2020 stilles nye krav til hvordan samfunnsfaglæreren skal ruste elevene i møte med framtidens digitale utfordringer. Gjennom digitale ferdigheter som grunnleggende ferdighet, har samfunnsfaget fått et særlig ansvar for å utvikle digitalt medborgerskap hos fremtidens elever (Kunnskapsdepartementet, 2019). Gjennom en kvalitativ innholdsanalyse har denne studien undersøkt hvordan et utvalg fra tre digitale læreverk for samfunnsfag legger til rette for utvikling av ulike ferdighetsområder innenfor digitale ferdigheter. Studien har også undersøkt hvordan denne tilretteleggingen kan forstås i lys av SAMR, PIC-RAT og TPACK. Intensjonen bak disse modellene for teknologisk integrering har vært å se på hvordan de digitale læreverkene legger til rette for at elevene skal utvikle digitale ferdigheter gjennom arbeid med digital teknologi.

Studiens funn viser at de digitale samfunnsfagverkene som er undersøkt tilrettelegger for alle de ulike ferdighetsområdene innenfor digitale ferdigheter. Til tross for dette er det individuelle forskjeller mellom læreverkene, og de løser ferdighetsområdene på ulikt vis. Studien finner også flere likhetstrekk mellom læreverkene, der temaer som falske nyheter og kildekritisk tenkning tas opp i samtlige læreverk. Det er felles for læreverkene at det er liten grad av tilrettelegging for at elevene skal utføre egne internettsøk og vurdering av dette, og på bakgrunn av utviklingen av digitalt medborgerskap er dette noe som problematiseres i studien. Studien finner også at et vesentlig omfang av oppgavene i de digitale læreverkene ikke benytter teknologiens potensial til å utvikle digitale ferdigheter gjennom å jobbe digitalt.||","no.oslomet:inspera:230362736:49985957","https://hdl.handle.net/11250/3162584","nob","Oslo Metropolitan University","Utvikling av digitale ferdigheter i digitale læreverk for samfunnsfag","Master thesis"
