id,collection,dc.contributor.advisor,dc.contributor.author,dc.date.issued,dc.description,dc.description.abstract,dc.identifier,dc.identifier.uri,dc.language,dc.publisher,dc.title,dc.type
"00d1b457-e496-419e-a256-9647bcd3275a","11250/2990558","Victor Andreas Lund Shammas","Sebastian Håkedal","2022",,"Denne masteroppgaven er en diskursanalyse og forsøker å beskrive straffegjennomføring ute i samfunnet med elektronisk kontroll i Norge. Ved å svare på problemstillingen; Fremveksten ev elektronisk kontroll i Norge: Hva er utfordringene og fordelene med en ny soningsform? Videre har jeg delt inn problemstillingen inn i følgende delspørsmål: Hvordan har utviklingen til EK vært i regi av Kriminalomsorgen siden det ble innført i 2008? Hvordan presenterer staten EK? Hvilke fordeler kan EK tilby Kriminalomsorgen?  Hva er utfordringene ved økt bruk av EK? Dermed forsøker jeg å se på tilstanden til elektronisk kontroll i Norge, en straff som kan bli oppfattet som en liberal straff.

Dokumentene som er gjennomgått i diskursanalysen kommer fra staten, og hoveddokumentet er en melding til Stortinget fra Solbergregjeringen (Meld.St.39 (2020-2021)), mens de andre dokumentene kommer fra Kriminalomsorgen. Kriminalomsorgen er den offentlige etaten som har ansvar for straffegjennomføring i Norge. I denne masteroppgaven forsøker jeg å belyse hvordan elektronisk kontroll fremstår i disse dokumentene. Ved hjelp av tidligere forskning og teori om overvåking og kontroll, fremkommer potensielle utfordringer og fordeler med straffegjennomføring av domfelte med elektronisk kontroll for Kriminalomsorgen. 

Elektronisk kontroll blir positivt fremstilt i dokumentene og det virker som det er et tiltak mot kritikken som er blitt rettet mot fengslene, og for effektivisering av Kriminalomsorgen. Problemstillingen viser til både ulike fordeler og utfordringer. Fordeler med den nye soningsformen, er at den domfelte kan bevare sosiale relasjoner og ikke få avbrudd i sysselsetting, dermed vil den domfelte ikke bare være en utgift for staten. Nærhetsprinsippet til Kriminalomsorgen blir også oppfylt, samtidig hvor det kan være en utfordring med at det kan føre til nærhet til kriminelle miljøer. Familien til den domfelte kan også bli påvirket, ved at Kriminalomsorgen kan forstyrre daglige rutiner og gjøremål for familier som har en domfelt med EK i hus. Funnene i denne masteroppgaven viser til at det forekommer to diskursive logikker i dokumentene fra staten, den ene er rehabilitering, mens den andre er det administrative.||","no.uia:inspera:110162129:21090154","https://hdl.handle.net/11250/3049027","","University of Agder","Elektronisk kontroll - den rimelige straffen?","Master thesis"
"0179f4ab-5278-4ae5-9de0-ecc53ea77d84","11250/2990558","Steen-Johnsen, Tale||Urstad, Sivert Skålvoll","Høvset, Tilde Amanda Aunedi||Sorknes, Thea Elise","2023",,"Med en mer digital oppvekst enn tidligere, foregår mye av samhandlingen blant unge i dag på nett. Denne masteroppgaven er en mixed methods studie der vi har undersøkt hvordan unge bruker og opplever Snap Map. Vi har først gjennomført en kvantitativ spørreundersøkelse med 197 respondenter mellom 16 og 25 år, og deretter utført 10 kvalitative individuelle intervjuer i samme aldersgruppe. Undersøkelsene er gjort med utgangspunkt i formålet om å besvare oppgavens problemstilling: Hvordan bruker unge Snap Map, og hvordan oppleves kartfunksjonen som en arena for overvåking, muligheter og begrensinger for deltakelse?

Ut ifra vårt datamateriale kommer det frem at kartfunksjonen inneholder et mangfold av komplekse spilleregler. For eksempel ser det ut til at det er uformelle normer som både er eksplisitte og implisitte, altså at reglene enten kan være synlige eller usynlige. De uformelle reglene ser ut til å bli synlige som regler idet noen bryter med dem. En av spillereglene er at det er en felles oppfatning blant ungdommene om at det befinner seg et prinsipp om gjensidighet. Prinsippet går ut på at om noen er synlig på Snap Map for deg, må du også være synlig for dem. Det ligger også et sosialt press om å være synlig på Snap Map. Vi argumenterer derfor for at Snap Map fungerer som et spill.

Kartfunksjonen blir opplevd som en arena for sosial overvåking, og vi finner at det oppstår et overvåkningsparadoks. Til tross for at ungdommene i vår studie er klar over at de blir overvåket av andre og beskriver ubehagelige opplevelser med overvåking, er det nærmest ingen som faktisk føler selv at de blir overvåket. Vi finner likheter med Foucaults videreføring av teorien om fangene i det panoptiske fengselet (Foucault,1975/1999, s. 179), en med en vesentlig forskjell: fangene opplevde overvåkingen som inngripende, noe få av brukerne av Snap Map opplever. Vi ser også at mens panoptikon går ut på at få overvåker mange, finner vi derimot at kartet gir muligheten til at mange kan overvåke mange – som et slags ‘supraopticon’.

Det ser ut til at Snap Map både gir gode muligheter for deltakelse, men at mulighetene også begrenses. Ungdommene som allerede besitter en høy sosial kapital offline, har bedre muligheter til å delta i det sosiale spillet. Vi knytter det til hypotesen fra eksisterende forskning om at «de rike blir rikere» (Aalen & Iversen, 2021, s. 123). Her vil vi foreslå en videreutvikling av begrepet, og legger til at «de fattige blir fattigere», der de som allerede har mindre sosial kapital fra før, også taper på å delta på Snap Map Map. Vi ser også at Snap Map bidrar til å synliggjøre allerede eksisterende opplevelse av utenforskap, og det vi vil argumentere for også bidrar til nye måter å ekskludere på.||","no.uia:inspera:143809986:36395149","https://hdl.handle.net/11250/3080714","","University of Agder","Snap Map - et overvåkningsparadoks","Master thesis"
"028cfb72-fcfb-434d-8a31-bc9fc3cb5064","11250/2990558","Høigaard, Rune||Haugen, Tommy","Thorsen, Ole Fredrik","2023",,"The aim of this study was to investigate the relationship between different coach behavior and athletes robust sport-confidence in a sample of elite and non-elite athletes in football, handball, bandy and ice hockey in Norway, in a cross-sectional survey. More specifically, it was hypothesized that positive coaching behavior would affect robust sport-confidence in a positive way, and negative coaching behavior would affect robust sport-confidence in a negative way. This cross-sectional survey is part of a larger project called “Elite Team Project 2023”, and is based on data collections made in autumn 2022 and winter 2023 where male (n = 264) and female (n = 161) athletes from Oslo, Trondheim, Bodo, Stavanger and Kristiansand participated. The athletes were around 22 years old (M [SD] = 22.6 [5.0]). The purpose with this study was to develop new and nuanced knowledge about psychological and social factors in elite sport teams, especially by looking at the relationship between different coaching behavior and the athletes robust sport-confidence. Correlation and regression analyzes were conducted. The results showed that different coaching behavior had no significant relationship to the athletes’ robust sport-confidence. Further the results showed that sex and age had a positive relationship to robust sport-confidence. The findings in this study are discussed in light of theory and previous research. 

Key words: robust sport-confidence, coach behavior, identity leadership, destructive leadership, sport-confidence, elite athletes, Norwegian sport||","no.uia:inspera:148290731:48050093","https://hdl.handle.net/11250/3074078","","University of Agder","Opplevd treneratferd og robust selvtillit blant norske lagidrettsutøvere","Master thesis"
"030165ef-776e-4785-8d89-703ee2f43961","11250/2990558","Ruhaven, Ingvild||Mustad, Erik","Bengtsson, Fredrick Barka","2022",,"Research about history as a subject and how it is practiced in upper secondary school in Norway is lacking. This thesis`s goal is to begin and add to the research situation. To do so, I have completed a case study of one teacher in two different groups in an upper secondary school. Both groups have followed the expiring Kunnskapsløftet 2006, but the knowledge acquired will also be beneficial with the implementation of Kunnskapsløftet 2020. The overall research question of the case study is History as a subject in upper secondary school in Norway. A case study of goals, teaching situations, and assessment.
I was a passive observer during a three-week period. During that time, I collected data material which ranged from minutes from meetings, teaching materials, student tests, and personal notes from the observation. Chapter three is my analysis and where the obtained data is presented. Chapter four discusses the findings of the previous chapter in light of relevant theory, law, and curriculum.||","no.uia:inspera:107781455:22098663","https://hdl.handle.net/11250/3049020","","University of Agder","Historiefaget i praksis
En case studie av mål, undervisning og vurdering i historiefaget","Master thesis"
"03b557e8-adb5-45d0-b06a-9d37336e12fa","11250/2990558","Armstrong, Charles Ivan","Hals, Daniel Ian Jacaba","2023","Full text not available","This thesis will examine discontent in Charles Bukowski’s Factotum and Ottessa Moshfegh’s My Year of Rest and Relaxation and analyse the two protagonists’ dissatisfaction through Karl Marx’s theory of alienation, to show the relationship between the two protagonists’ discontent and their labour. The Marxist interpretation of the two novels will contextualise the protagonists’ behaviour through their respective class backgrounds and the instances of their labour, to argue how their discontent can be attributed to their alienation. A Nietzschean interpretation of their
attitudes and worldview will be provided to contrast the Marxist argument, in order to examine the role nihilism plays in the two protagonists’ discontent and to discuss how this interpretation fits into the overarching Marxist argument of the thesis.||","no.uia:inspera:143823775:36943457","https://hdl.handle.net/11250/3081294","","University of Agder","'You Might Have Time to Think': Alienation and Discontent in Factotum and My Year of Rest and Relaxation","Master thesis"
"03d72c52-6af8-4012-9030-9e75e4683574","11250/2990558","Markussen, Bjarne Kristian","Lauen, Helene Stulien","2022",,"Denne oppgåva utforskar spørsmålet om kva slags verk Violeta Violeta – En romantisk tragedie av Kaizers Orchestra er. Albumtrilogien har ein stor musikalsk og litterær rikdom, på kryss og tvers av historiske epokar. Det balanserer mellom heilskap og fragmentering, samtidig som det bryt konvensjonar. Samla sett gjer dette verket fascinerande, men også komplekst. Sidan albumtrilogien har eit særs tett samspel mellom musikk og tekst, tek oppgåva føre seg det framførte verket. Dermed plasserer masteroppgåva seg i det tverrfaglege forskingsfeltet mellom tekst og musikk.
	Oppgåva er tredelt. For å kunne svare på forskingsspørsmålet, følgjer fyrst ei kartlegging av musikalske og litterære sjangrar. Deretter gir oppgåva ei nærlesing av tre songar. Desse er «Markedet bestemmer», «Begravelsespolka» og «Den romantiske tragedien». Etterpå følgjer ei narratologisk analyse av albumtrilogien i sin heilskap som songlyrisk forteljing. Avsluttande reiser det seg ein diskusjon om kva slags estetikk sjangerblandinga er uttrykk for. 

ABSTRACT
This master thesis explores what the album trilogy Violeta Violeta – En romantisk tragedie av Kaizers Orchestra is. The trilogy has great musical and literary richness across historical eras. It balances between wholeness and fragmentation, while breaking conventions. The albums are fascinating, but also complex. Since it has a particularly close interplay between music and text, the thesis will explore the performed album trilogy. As a result of this, the thesis is in an interdisciplinary field between literature and music.
	The assignment is divided into three parts. To answer the research question, a mapping of musical and literary genres first follows. Then the assignment provides close reading of three songs. These are “Markedet bestemmer”, “Begravelsespolka” and “Den romantiske tragedien”. This is followed by a narratological analysis of the album trilogy in its wholeness as a lyrical narrative. Finally, there will be a discussion about what kind of aesthetics the genre mix is an expression of.||","no.uia:inspera:110022146:5200508","https://hdl.handle.net/11250/3049013","","University of Agder","Violeta Violeta - Ein romantisk tragedie?","Master thesis"
"062be9ec-14b5-4e0c-b0a8-f1cbe94f0bf2","11250/2990558","Kvåle, Gro","Norheim, Ida Elise Fjeldskår","2024",,"Denne oppgaven omhandler opplevelsen av midlertidighet for ansatte i kristne private skoler. Oppgavens problemstilling er «Hvordan oppleves midlertidig ansettelse i kristne private skoler og hvilken betydning har dette for den ansattes motivasjon og tilknytning til organisasjonen?». Med dette utgangspunktet, besvarer jeg problemstillingen ved hjelp av forskningsspørsmål for å konkretisere problemstillingen. Da forskningen er foretatt på kristne private skoler, blir andre temaer som verdier og organisasjonskultur en naturlig del av oppgaven. Dette casevalget reiser behovet for å presentere forskjeller mellom offentlige og private skoler, og kristne private skoler sammenlignet med andre skoler som også er private.

Til å besvare oppgavens problemstilling, benyttes kvalitative forskningsintervju som metode. Gjennom intervjuene får vi et innblikk i informantenes virkelighetsforståelse, i tillegg til å få gode refleksjoner og beskrivelser av deres opplevelse av midlertidighet. Det var totalt fem informanter som gjennomførte intervjuene, hvor fire av dem var midlertidige ansatte og en informant var fast ansatt ved kristne private skoler. Informanten som var fast ansatt, hadde tidligere vært midlertidig ansatt ved samme skole. Jeg benyttet en tematisk analyse for å gjennomgå empirien.

Gjennom undersøkelsen ble det tydelig at opplevelsen av midlertidighet påvirkes av relasjonen mellom den ansatte og ledelsen. Følelsen av usikkerhet eller sikkerhet knyttet til sin stilling i organisasjonen, påvirkes i stor grad av denne relasjonen. Videre fant jeg også at de religiøse verdiene virket samlende og spilte en viktig rolle for de midlertidige ansatte. Ledelsen benyttet i stor grad verdier i ledelsen av organisasjonen, noe som fremsto kjent og trygt, også for de midlertidige ansatte.
I tillegg viste undersøkelsen at forventningene til stillingen som midlertidig ansatt har innvirkning på innsatsen og motivasjonen, hvor noen har forventninger om å oppnå en fast stilling for godt arbeid. I tillegg til at de midlertidige ansatte opplever sin rolle i organisasjonen som fleksibel, hvor de kan teste ut arbeidsplassen før de eventuelt finner en annen jobb, eller ønsker fast stilling.

Med at midlertidige ansattes opplevelser belyses, kan dette blant annet bidra til en større forståelse av situasjonen til midlertidige ansatte på arbeidsplassen. I tillegg kan det gi nyttig innsikt til ledere i organisasjoner med midlertidige ansatte. Oppgaven er relevant da mange ansatte i skolesektoren har midlertidige stillinger og det er viktig med forståelse ovenfor deres arbeidssituasjon. I tillegg kan dette også være relevant for andre sektorer, da skolen som organisasjon og deres bruk av midlertidige ansatte for å dekke behov, også kan sammenlignes med andre arbeidsplasser.||","no.uia:inspera:237005524:37182619","https://hdl.handle.net/11250/3143761","nob","University of Agder","Opplevelsen av midlertidighet","Master thesis"
"09ba8f66-cc51-48bc-908c-2e140a8423b1","11250/2990558","Aanensen, Mariette","Hornnes, Ane Kongevold","2023",,"This thesis seeks to investigate how first-year students of general studies experience task-based intensive reading of short stories in the English subject. The research questions asked further if the students experienced a sense of mastery and reading pleasure with task-based intensive reading of short stories. The thesis included an intervention conducted on a single class of ESL-students at a Norwegian upper secondary school. With a mixed-method data collection, the thesis involved questionnaires and task-sheets answered by the students and an interview with their teacher. Inspired by practical action research, the research involved studying my own teaching practices before finishing my degree. 
In this thesis, the connection between intensive reading in a school setting and achieving a sense of mastery and reading pleasure has also been explored. The study revealed that about half of the students enjoyed task-based intensive reading. Further, half of the students experienced a sense of mastery and reading pleasure. Of course, this depended on the short stories in question. Finding ways of teaching that resonate with all the students of a class is difficult. Therefore, finding a way of teaching and working with literature that half the class accepted is, therefore, a very positive aspect of the research.||","no.uia:inspera:143823775:36752255","https://hdl.handle.net/11250/3081295","","University of Agder","Reading with a Mission","Master thesis"
"0a1fd8df-72fb-46ce-8508-b31e8cf1b89f","11250/2990558","Trysnes, Irene","Murad, Lajin Khereddin||Nguyen, Katrine","2023",,"Denne masteroppgaven er en kvalitativ studie av minoritetsjenters erfaringer i videregående skole. Oppgaven har tatt utgangspunkt i problemstillingen: “Hvilke erfaringer har et utvalg minoritetsjenter med videregående skole, og hvordan forhandler de identitet og etniske grenser?”. For å belyse problemstillingen valgte vi å gjennomføre semistrukturerte intervjuer med 11 minoritetsjenter som går på videregående skole i Kristiansand kommune. Alle informantene går på studiespesialiserende linjer. Utvalget ble rekruttert gjennom bekjentskap og snøballmetoden, og de har bakgrunn fra Asia, Afrika, Midtøsten og Øst-Europa.

Hensikten med denne oppgaven har vært å få et kvalitativt innblikk i minoritetsjentenes sammensatte og komplekse erfaringer i videregående skole. Derfor har vi også benyttet et bredt teoretisk rammeverk, som består av perspektiv på identitetsdannelse og strategier for etnisk grensedragning, som bunner i teori fra Friberg (2021) og Wimmer (2008). Vi har også inkludert teoriperspektiver på rasisme, rasialisering og mikroaggresjoner for å belyse informantenes erfaringer med rasisme. Videre bruker vi teorier om etnisk kapital, basert på Modood (2004) og innvandrerdriv (Bakken & Hygge, 2018; Mastekaasa & Birkelund, 2009; Hermansen, 2016), for å forstå jentenes ambisjoner. I analysen bruker vi teorien gjennomgående for å drøfte empirien. Det analytiske materialet er delt opp i fire hovedkategorier. Det inkluderer tre hovedkategorier om trivsel og identitetsforhandlinger i skolen, erfaringer med rasisme og syn på utdanning. Den siste kategorien er drevet ut av teorien og baserer seg på Leirvik (2010) sine fire dimensjoner for å forklare minoritetsungdom sin utdanningsatferd.

Våre funn indikerer at dette er en gruppe jenter som trives og gjør det godt i skolen. Trivselen er knyttet til tryggheten av å være i et flerkulturelt klasserom. Jentene har høye ambisjoner og mål for seg selv, og mye av dette kommer av en kulturell verdsetting av utdanning som de har internalisert gjennom sine foreldre og deres kultur. Likevel viser våre funn at minoritetsjentene også møter en rekke utfordringer i skolen. Dette gjelder spesielt erfaringer med rasisme, selv om mange av informantene uttrykker seg med vaghet når de snakker om rasisme. Her er et sentralt funn at hudfarge henger sammen med utsatthet, og de informantene med mørk hudfarge opplever rasisme i større grad enn de med lys hudfarge. Rasismen de opplever er både direkte i form av rasistiske angrep, men også mer subtile, i form av mikroaggresjoner.

Funnene våre viser også at jentenes identitet utfordres på flere måter. Deres identitet navigerer mellom en etnisk identitet, en nasjonal identitet og en tilskrevet identitet. Deres etniske identitet er spesielt fremtredende når de snakker om ambisjoner og mål i deres utdanning, og når de refererer til seg selv som “utlendinger” for å skille seg fra de “norske” elevene. Samtidig møter informantene med mørk hudfarge på liten aksept når det kommer til sin nasjonale selvidentitet, altså å være “norsk”, mye på grunn av rasialiseringsprosesser i samfunnet. Informantene med krysskulturell bakgrunn, opplever det også som utfordrende å finne sin “riktige” identitet når de står mellom ulike kulturer og etnisiteter. Funnene viser derfor at minoritetsjentene presses i ulike retninger når det kommer til deres identitet. Det gjelder familiens forventninger og deres ambisjoner om å gjøre det bra i skolen, men også gjennom å bli utsatt for rasisme og diskriminering, og å bli tvilt på når det kommer til sin norskhet.

Et annet sentralt funn er at jentene i hovedsak bruker strategiene utvidelse, utvisking, sammentrekning og posisjonsflyt når de forhandler om etniske grenser. Ved å referere til seg selv som “utlendinger”, skaper de en ny etnisk identitet og utvider hvem som får innpass i kategorien til å gjelde alle med minoritetsbakgrunn, og ser dermed forbi individuelle etniske grenser. Dette fungerer også som en sammentrekning, hvor de setter opp et skille mellom seg og de “norske”. De forhandler også om grenser for norskhet og forsøker å utvide disse grensene til å bli mer inkluderende slik at de får innpass. Videre bruker de strategien sammentrekning ved å distansere seg fra det norske, når de forteller om at å være minoritetsjente gir dem fordelen av å ha et vidt perspektiv i skolen, og når de snakker om at utdanning er mer verdsatt i deres kultur enn i den norske. Deres høye ambisjoner i skolen forstås også med bakgrunn i strategien posisjonsflyt, hvor de forsøker å endre sin posisjon i det hierarkiske systemet ved å ta høyere utdanning og oppnå oppadstigende sosial mobilitet. Informantene bruker også utvisking som strategi når de tydeliggjør at de er norske, og dermed visker ut sine egne etniske grenser. I tillegg kan deres nedtoning av betydningen av rasistiske opplevelser sees på som en måte å viske ut egne etniske grenser på, for å ikke bli plassert utenfor som “de andre” i samfunnet.||","no.uia:inspera:143809986:21024983","https://hdl.handle.net/11250/3081482","","University of Agder","""Du tenker du er norsk mens hele verden ser deg som noe annet"" 
-En kvalitativ studie av hvordan et utvalg minoritetsjenter erfarer videregående skole og hvordan de forhandler identitet og etniske grenser.","Master thesis"
"0a20491c-faad-49bf-99ec-95efa720f3b0","11250/2990558","Eriksen, Stig||Raustøl, Håkon Malvin","Hageland, Hallvard||Inntjore, Bjørg Aslaug","2024",,"Endringer skjer stadig i samfunnet vårt. For å dekke behovene til fremtidens samfunn, ble kjerneelementene innført i matematikkfagene på skolen ved den nye læreplanen (LK20). Et av kjerneelementene er utforsking og problem-løsning. Denne studien tar for seg hvordan utforsking kommer til utrykk i eksamens-oppgaver i 1P. Vi har valgt å skille mellom utforsking og etterforsking (Ponte, 2015). Både utforskende og etterforskende oppgaver er åpne oppgaver, men etterforskende oppgaver er mer komplekse enn utforskende oppgaver. Forskningsspørsmålet er som følger.
Hvordan kommer utforsking og etterforsking til utrykk i eksamensoppgaver i 1P etter LK20?
For å få svar på dette forskningsspørsmålet gjennomførte vi en innholdsanalyse. Vi utarbeidet et analyseverktøy som tok utgangspunkt i åpenhet og kompleksitet. Slik analyserte vi 130 deloppgavene fordelt på 5 eksamenssett. Videre valgte vi å analysere nærmere de fire oppgavene som skilte seg ut som de mest utforskende, og de to oppgavene som skilte seg ut som de mest etterforskende. 
Vi har laget et koordinatsystem for å kategorisere oppgavene og plottet dem inn i dette koordinatsystemet. Resultatene viser at de fire utforskende oppgavene og de to etterforskende er ganske forskjellige. Alle omhandler forskjellige matematiske kunnskap-sområder. Det som kjennetegner de etterforskende oppgavene, er at alle har høy kompleksitet og høy åpenhet. Utforskende oppgaver har også høy åpenhet, men lav kompleksitet. Dette er visualisert i koordinatsystemet.||","no.uia:inspera:230079915:70772153","https://hdl.handle.net/11250/3139338","nob","University of Agder","Utforskende og etterforskende eksamensoppgaver","Master thesis"
