id,collection,dc.contributor.advisor,dc.contributor.author,dc.date.issued,dc.description,dc.description.abstract,dc.identifier,dc.identifier.uri,dc.language,dc.publisher,dc.title,dc.type
"000e1b2c-05d5-451f-bdf8-a7d9085d4f6a","11250/3034390","Nyberg, Gunn||Aasland, Erik","Thygesen, Petter||Øynes, Anders Christian","2023",,"Bakgrunnen for studien er at kunnskapskravet som stilles til lærere i kroppsøvingsfaget, blir
utydelig på grunn av et uklart kunnskapsobjekt i faget (Nyberg & Larsson, 2014). I tillegg til en
usikker fremtid for faget (Kirk, 2011) bidrar til at profesjonskunnskapene som kommer til syne
i faget blir interessant å undersøke, da disse vil ha konsekvenser for kunnskapsobjektet som
kommer frem i faget. Hensikten med å belyse dette problemet er å få frem hvilke
profesjonskunnskaper lærere i kroppsøving ser på som viktige for å utøve god
undervisningspraksis. Vårt teoretiske rammeverk er Shulman (1987) sine kunnskapsbaser.
Problemstillingen vår er: Hvilke kunnskaper kreves av en kroppsøvingslærer på barnetrinnet
for å utøve god undervisningspraksis? Metodikken som er anvendt for å besvare
problemstillingen er et kvalitativt forskningsdesign. Utvalget består syv lærere som vi
intervjuet, disse underviser aktivt i kroppsøving på 1-7 trinn. Vi har anvendt tematisk analyse,
slik som Braun og Clarke (2006) beskriver for å undersøke problemstillingen.

Våre funn viser til fire kunnskaper som lærerne verdsetter for å utøve god praksis; (i)
Klasseledelse (ii) Å jobbe på tvers av fag (iii) Å kunne mange aktiviteter (iv)
Vurderingskompetanse. Vi viser igjennom studien at faget blir praktisert som et rekreasjonsfag
og at kunnskapsobjektet i undervisningen er utydelig for lærere å tolke. Vi viser også at det er
behov for et tydelig kunnskapsobjekt i faget. Til videre forskning kan det være fordelsmessig
å ta et nøye blikk på hvordan de tverrfaglige temaene kommer frem i undervisningen.

Nøkkelord: Kroppsøving, Profesjonskunnskap, Kunnskapsobjekt, 1-7 trinn, Tematisk
analyse, Kvalitativt forskningsintervju||","no.uia:inspera:143807953:11011617","https://hdl.handle.net/11250/3080723","","University of Agder","«Hvilke kunnskaper kreves av en kroppsøvingslærer på 1-7 trinn for å utøve god undervisningspraksis?»
En kvalitativ studie av læreres profesjonskunnskaper i kroppsøving.","Master thesis"
"02699d44-2ee9-4bce-a47a-ee57ec69c7f3","11250/3034390","Winje, Øystein","Knutsen, Natalie||Aunevik, Liv Andrea","2024","Full text not available","Sammendrag
Målet med vår studie var å undersøke hvordan lærere praktiserer uteskoleundervisning, og hvordan en slik undervisningsmetode kan ha effekt på elevenes sosiale og faglige utvikling. Studiens problemstilling ble derfor: Hvordan kan lærere bruke uteskole på mellomtrinnet som en arena for å fremme både sosial og faglig utvikling hos elevene?

I studien brukes kvalitativ metode, hvor datainnsamlingsmetoden var både intervju og observasjon. Utvalget var tre kvinnelige lærere som jobbet på en barneskole med regelmessig uteskoleundervisning på mellomtrinnet. Datamaterialet ble gjennomgått og analysert ved bruk av tematisk analyse, og resulterte i to hovedtemaer med totalt fire underkategorier. Disse ble diskutert i lys av sosiokulturell læringsteori, erfaringspedagogikk og pedagogiske perspektiver på uteskole.

Første hovedtema omhandlet lærernes opplevelser av sosialisering og beskrev hvilke oppfatninger lærere hadde om sosialisering og om hvordan dette kunne fremmes. Dette temaet fikk underkategoriene relasjonsbygging i en uformell arena og fellesopplevelser.

Andre hovedtema var faglig relevans knyttet til uteskole, som omhandlet hvordan lærerne tilrettela for et faglig innhold i uteskolen. Underkategoriene var følgende: tenke utenfor boksen og teori anvendt i praksis.

Funnene som ble presentert viste at uteskoleundervisning bidro til positiv utvikling av sosiale og faglige forhold. Sentralt for praktisering av uteskole var særlig grundig planlegging og et gjensidig samarbeid.

Hovedsakelig konkluderte vår studie med at uteskole fremmet relasjonsbygging i en uformell arena, samtidig var positivt for samspillet mellom teori og praksis. Uteskole som undervisnings-metode forutsatte derimot mye planlegging, tid og ressurser.||","no.uia:inspera:237604432:50750569","https://hdl.handle.net/11250/3145441","nob","University of Agder","Hvordan kan lærere bruke uteskole på mellomtrinnet som en arena for å fremme både sosial og faglig utvikling hos elevene?","Master thesis"
"033c5da9-47c5-4d55-8d58-afab19071c67","11250/3034390","May Olaug Horverak","Nøkland, Tonje","2022","Full text not available","Dette er en masteroppgave innenfor begynneropplæring i et helhetlig perspektiv. I tillegg skal oppgaven ha et spesialpedagogisk perspektiv. Formålet med masteroppgaven er å få et innblikk i hvordan man kan legge til rette for at alle barn skal oppleve en god overgang fra barnehage til skole. Som lærer vil man møte elever med mange ulike behov og forutsetninger, derfor ønsker jeg å sette ekstra søkelys på barna med spesielle behov, for å utvikle kompetansen på dette området.
Teorien bygger på et systemteoretisk perspektiv, med Bronfenbrenners bioøkologiske modell som utgangspunkt for overgangen satt i system. Videre brukes begrepet «school readiness», med sine tre dimensjoner av overgangen, som en overordnet strukturering av videre teori. Hvordan barna, skolen og foreldrene forberedes på mikro- og mesonivå er med på å påvirke overgangen på de ulike nivåene.
Det er brukt en kvalitativ tilnærming som metode, innenfor et konstruktivistisk vitenskapssyn. Gjennom et fenomenologisk perspektiv får jeg innblikk i informantenes egne erfaringer, tanker og meninger rundt overgangen fra barnehage til skole. Det er gjennomført semi- strukturerte intervjuer med fire forskjellige informanter innenfor samme kommune. To fra barnehage og to fra skole. Videre er datamaterialet transkribert og analysert i forhold til en fenomenologisk tilnærming. Dette endte med tre overordnede temaer.
Resultatene i studien viser at det stort sett er samsvar mellom de ulike informantenes erfaringer og opplevelser rundt overgangen. Kommunens overgangsplan er nylig revidert, og i forbindelse med det har vært satt i gang team med både pedagoger fra barnehager og spesialpedagogiske koordinatorer. De har i samarbeid gjennomgått rutinen, og kommet frem til forbedringer. Funnene viser også at samtlige informanter tar sin jobb med å forberede barna, samt innhente og utveksle informasjon på alvor. Dette er svært viktig i det videre arbeidet med tilpasset opplæring og spesialpedagogiske tilrettelegging i skolestarten.||","no.uia:inspera:109909087:24438563","https://hdl.handle.net/11250/3036496","","University of Agder","En god overgang for alle barn","Master thesis"
"0472735e-ebe9-4820-9d7d-ef29e6b24f56","11250/3034390","Torkildsen, Gjermund||Wathne, Unni","Barka, Margrethe Næss||Hjort, Anne Mette","2022",,"Denne studien er en kvalitativ casestudie om tilrettelegging for lekbasert læring i matematikk på 1.trinn, spesifikt relatert til arbeid med tall og telling. Formålet med studien er å undersøke hvordan to lærere på 1.trinn erfarer å arbeide med lekbasert læring, og hvordan en lærer tilrettelegger for lekbasert læring i sin matematikkundervisning i arbeidet med tall og telling. Studien vår tar utgangspunkt i det sosiokulturelle synet på læring. I tillegg benytter vi teori om lek, lekbasert læring og læring innenfor tall og telling.

Vi benyttet oss av observasjon og intervju som metode. Datainnsamlingen foregikk over en periode på fire uker. Observasjonene ble gjort med både videoopptak og feltnotater. Analysen av lærernes utsagn og tre utvalgte aktiviteter ble gjort gjennom egenutviklede analyseverktøy basert på kategorier og kriterier, utviklet med utgangspunkt i vårt teoretiske grunnlag.

Resultatene indikerer at lærerne i stor grad vektlegger lek i sin matematikkundervisning. Lærerne erfarer ulike sider ved lekbasert læring. Både at å tilrettelegge for lekbasert læring krever mer innsats, men også betydningen det har for elevenes læring og trivsel. Når vi ser på de ulike typene lek, er lærerstyrt og veiledet lek mest fremtredende i øktene der læreren har planlagt et matematisk mål for aktiviteten. Aktivitetene læreren hadde planlagt var lekbaserte ved at de la opp til frihet, fantasi, var lystbetonte og gav rom for sosial samhandling og kommunikasjon. Muligheten for fri lek var mest fremtredende når elevene ble gitt friheten til å velge og styre aktiviteter selv. Vi observerte likevel at læreren brukte elevenes lek til å legge til rette for utvikling innenfor tall og telling. Noe av det mest fremtredende i lærerens tilrettelegging for tall og telling var bruk av konkretiseringsmateriell.||","no.uia:inspera:109991135:56593981","https://hdl.handle.net/11250/3036485","","University of Agder","Tilrettelegging for lekbasert læring i arbeidet med tall og telling","Master thesis"
"059907e8-6ebd-4736-aa51-36121707d119","11250/3034390","Berntsen, Helene","Austefjord, Kamilla||Gundersen, Malene Heggem","2023",,"Med utgangspunkt i lesing som grunnleggende ferdighet forsøker denne studien å se nærmere på valg av tilnærminger og tiltak i forbindelse med den første leseopplæringen. Studien utforsker og undersøker hva et utvalg pedagoger på 3. trinn velger av tilnærminger til særskilte leseopplæringstiltak i begynneropplæringen, og hvordan dette realiserer elevenes lovfestede rett på tidlig innsats og tilpasset opplæring ved lite tilfredsstillende utbytte av det ordinære undervisningstilbudet. Det er brukt kvalitativt intervju i innsamling av data fra fire forskjellige skoler i Sør-Norge, med totalt syv pedagoger som alle arbeider med lesing i begynneropplæringen.
Resultatene fra studien viser at deltakerne arbeider med likelydende leseopplæringspraksis og metoder i samsvar med forskning på feltet. Hovedresultatene viser at deltakerne gjennomfører hyppig kartlegging fra første klasse for å være raskt ute med å avdekke lesevansker og å forebygge utvikling av disse. Det er stort fokus på å sette inn både forebyggende og tilretteleggende tiltak for å kunne hjelpe elevene på best mulig måte tidlig i utdanningsløpet. Ut fra hva elevene strever med blir det satt inn tiltak på ulike nivåer både i klasserommet og i gruppeundervisning. For å utvikle leseferdighetene til elever som strever med lesing blir det arbeidet med fonemisk bevissthet, grafemer og automatisering av avkodingen. Motivasjon viser seg å være en viktig faktor i arbeidet med lesing, hvor det fokuseres på at elevene skal oppleve mestring. Resultatene viser at alle deltakerne gjennomfører en form for evaluering etter gjennomføring av tiltak, i form av kartleggingsprøver og observasjon. Resultatene fra denne studien kan videre brukes i eget arbeid med særskilt leseopplæring og føre til større bevissthet rundt valg av tilnærminger i den særskilte leseopplæringen.||","no.uia:inspera:143768901:22693641","https://hdl.handle.net/11250/3078950","","University of Agder","Tidlig innsats og forebygging av lesevansker","Master thesis"
"075c4725-6a32-4b76-97c7-b829d8ccba53","11250/3034390","Rambø, Gro-Renée","Peskovic, Danira","2022",,"I denne masteroppgaven undersøkes undervisningspraksisen til et utvalg norsklærere i begynneropplæringen i forbindelse med flerspråklighet, med særlig fokus på norsk som andrespråk. Jeg ville høre læreres tanker og refleksjoner om flerspråklighet og det å være flerspråklig, arbeid med ord og begrep og arbeid med tekst. Dette var på bakgrunn av at det lærere tror og tenker kan ha noe å si for hva de gjør i klasserommet. Bakgrunnen for dette fokuset er at forståelse i opplæringsspråket norsk er avgjørende viktig for muligheten elevene har til å tilegne seg kunnskaper og ferdigheter i alle skolefag. I arbeid knyttet til tekst er ord og begrep avgjørende viktig når elevene skal lese for å lære. 

Denne oppgaven er basert på kvalitativ undersøkelse av praksisen til fire lærere som jeg intervjuet personlig. Det er de individuelle tankene og refleksjonene jeg ville fram til og jeg vurderte det slik at dette var den mest hensiktsmessige metoden. I tillegg ble data fra observasjonsøkter i klasserommet innhentet for å kunne belyse en del av det jeg har spurt om i intervjuene. Teorien som blir presentert tar for seg flerspråklighet og den viktige rollen begrepsforståelse har når en skal lese for å tilegne seg kunnskap. Da spiller læreren en viktig rolle i valg som tas i klasserommet knyttet til dette. Jeg sammenholder også mine resultater fra undersøkelsen med tidligere undersøkelser som har sett på læreres praksis i flerspråklige klasserom. 

Noe av det jeg har kommet fram til i denne undersøkelsen, er at lærere har ulike forståelser av begrepet «flerspråklig», og at lærere i stor grad setter likhetstegn mellom minoritetsspråklige og flerspråklige elever. Det kan virke som at flerspråklighet ses på som en ressurs frem til elevene har tilstrekkelige ferdigheter på norsk til å følge den ordinære opplæringen. Basert på intervjudata kan det se ut som at lærere har fokus på aksept og inkludering når det gjelder flerspråklighet, men at de ikke ser at det kan brukes i en felles læresituasjon. Alle lærerne sier at arbeid med ord og begrep er viktig, men det kan se ut som at de har en upresis forståelse av ordet «begrep». Lærerne vektlegger ulike ord i undervisningen og det kommer også frem at det ikke nødvendigvis er typiske fagord som elever trenger hjelp for å forstå. Det kommer frem at lærere opplever at elever har en spesiell interesse for faktatekster og i dette har læreres vektlegging av ord og begrep en sentral rolle. 

Nøkkelord: Flerspråklighet, norsk som andrespråk, transspråking, ord og begreper, leseforståelse, leseutvikling.||","no.uia:inspera:109994970:23815924","https://hdl.handle.net/11250/3036507","","University of Agder","Muligheter og begrensninger i det flerspråklige klasserommet","Master thesis"
"07607d77-0145-42ab-ada7-9583faafeed5","11250/3034390","Anundsen, Lene","Pedersen, Kristian Skogheim","2023",,"Det tverrfaglige emnet folkehelse og livsmestring ble introdusert i skolen sammen med den nye læreplanen LK20 høsten 2020. Denne masteroppgaven har som formål å undersøke hva slags tanker som finnes blant lærere omkring dette emnet samt hvordan lærere tenker at den tverrfaglige undervisningen kan foregå i norskfaget. Jeg vil undersøke dette ved bruk av følgende problemstilling: «Hva tenker lærere om folkehelse og livsmestring i norskfaget». 
For denne masteroppgaven er den metodiske tilnærmingen tematisk analyse, og ved bruk av dybdeintervju med semistrukturert intervjuguide, er det samlet inn tanker og refleksjoner fra tre lærerinformanter om deres tanker vedrørende det tverrfaglige emnet generelt og i en norskfaglig kontekst. 

Noen av resultatene innebærer usikkerhet blant lærerne i hvordan de skal forstå og implementere det tverrfaglige emnet innenfor norskfagets rammer, både i en overordnet og tverrfaglig kontekst. De viser og til en økt bekymring for lærerens terapeutiske rolle i klasserommet med støtte i, blant annet, Madsen (2020), samtidig som det anerkjennes, med støtte i Danielsen (2020) at emnet kan fungere helsefremmende og bidra til et godt og trygt arbeids- og klassemiljø. Oppgaven finner og at den litterære tilnærmingen innen tverrfaglig undervisning er en faktor informantene i stor grad vektlegger positivt.||","no.uia:inspera:143797836:37875600","https://hdl.handle.net/11250/3078651","","University of Agder","Læreres tanker om norskfaget som arena for folkeelse og livsmestring.","Master thesis"
"086633d4-5050-4df1-aa07-0cb69ba8083e","11250/3034390","Hellang, Bente Velle","Voie, Amanda","2022",,"Denne masteroppgaven har som hensikt å vise hvordan skjønnlitteratur kan bidra til å realisere det tverrfaglige temaet bærekraftig utvikling i norskfaget på barnetrinnet. Den tar utgangspunkt i en økokritisk lesning av den illustrerte barneromanen Solvokteren (Lunde & Aisato, 2020) og ser denne boka i lys av relevant teori. Det er særlig Greg Garrards nøkkelbegreper pastoral og apocalypse (2012) som er sentrale i den økokritiske tilnærmingen. Andre viktige teoretikere for oppgaven er blant annet Lawrence Buell, Terry Gifford, Elizabeth K. Rosen og Gregers Andersen. 

I analysekapittelet har jeg som formål å undersøke hvordan forholdet mellom menneske og natur blir fremstilt i Solvokteren, og fokuserer på noen utvalgte oppslag der jeg har identifisert pastorale, post-pastorale og apokalyptiske trekk i verbaltekst og illustrasjoner. I det didaktiske kapittelet har jeg inntatt en posisjon som mener at en økokritisk lesning og litteratursamtale kan synliggjøre menneskenes forhold til naturen, og at denne bevisstgjøringen kan tas med over i leserens verden. Ved å vise til didaktiske perspektiver fra blant annet Alice Curry, Nina Goga og Kathy G. Short, har jeg med utgangspunkt i Solvokteren, konkludert med at skjønnlitteratur kan bidra til å realisere det tverrfaglige temaet bærekraftig utvikling i norskfaget på barnetrinnet.||","no.uia:inspera:109993622:8669672","https://hdl.handle.net/11250/3036506","","University of Agder","Hvordan kan skjønnlitteratur bidra til å realisere det tverrfaglige temaet bærekraftig utvikling i norskundervisningen på barnetrinnet? En økokritisk lesning av Solvokteren (Lunde & Aisato, 2020)","Master thesis"
"0cc9bce2-c543-4cab-a49e-6ff8f51e9851","11250/3034390","Løvland, Anne","Hageløkken, Elin Thorsen","2022","Full text not available","De fleste forskere er positive til å få leken inn i skolen og mener det er viktig å se sammenhengen mellom lek og læring. Overgangen fra barnehage til skole kan for mange være vanskelig da hverdagen brått blir annerledes enn hva barna er vant til. Barna som begynner i førsteklasse kommer fra en hverdag med mye lek, til en strukturert og organisert skolehverdag. I LK20 ble leken sentral for de yngste i skolen fordi barna har behov for å lære gjennom lek, utforsking og praktiske tilnærminger (Utdanningsdirektoratet, 2020). 

Formålet med denne oppgaven er å undersøke den norske og den danske læreplanen for å se om leken har fått plass i begynneropplæringen i morsmålsfaget. Problemstillingen jeg har jobbet med er: «Hvilken plass gir den norske og den danske læreplanen leken i morsmålsfaget i begynneropplæringen?». 

Funn fra undersøkelsen viser at både forskere og empiri fremstiller leken som viktig i barns liv og en sentral måte for dem å lære på. Likevel kommer det frem flere utfordringer knyttet til det å implementere leken i undervisningen, blant annet at elevene skal nå læreplanmålene i faget. Undersøkelsen viser at leken ikke har fått like stor plass i den danske læreplanen som i den norske læreplanen.||","no.uia:inspera:109994970:24369003","https://hdl.handle.net/11250/3036498","","University of Agder","Lek i morsmålsfaget - en sammenlikning av lekens plass i den norske og den danske læreplanen","Master thesis"
"10a41a1c-c955-4a3b-a570-3736bfff2413","11250/3034390","Østrem, Ketil||Bere, Elling Tufte","Borø, Mathias Skarpeid||Lervik, Fredrik","2023",,"Gjennom egen praksis og arbeidserfaring har vi erfart at store deler av undervisningen bærer 
preg av stillesitting i klasserommet og teoretisk vektlegging. Unntaket er såkalte praktiske fag 
som kunst & håndverk, mat og helse og kroppsøving. Gjennom kroppsøvingsfagets sentrale 
verdier og kjerneelement blir viktigheten av å komme seg ut i naturen i skolen synliggjort 
(Utdanningsdirektoratet, 2019). Denne studien har til hensikt å undersøke hvordan friluftsliv 
kan integreres i undervisningen for å styrke tverrfaglig læring, med fokus på faget 
kroppsøving. Vi vil analysere hvordan de tre tverrfaglige temaene i den overordnede 
læreplanen folkehelse og livsmestring, demokrati og medborgerskap, og bærekraftig utvikling
kan berikes gjennom friluftslivsundervisning.

Studien har et kvalitativt design og benytter seg av datainnsamlingsmetoden semistrukturert 
intervju. Utvalget består av tre kvinner og tre menn som alle har erfaring med undervisning i 
kroppsøvingsfaget. Lærerne innehar en bred kompetanse innenfor friluftsliv, ulik 
arbeidserfaring og ulike tilnærminger til faget. Analysearbeidet har tatt utgangspunkt i en 
etnografisk analysemetode som har til hensikt å tolke ulike mønstre og gjentatte handlinger i 
kvalitativ forskning.

Resultatene viser at de tverrfaglige temaene har stort potensial for å berike undervisningen og 
gi elevene nyttig kunnskap og praktisk erfaring. Informantene understreker bruk av naturen
som en ressurs for å rette søkelys på undervisning i bærekraftig utvikling og sporløs ferdsel, 
noe som bidrar til miljøbevissthet og bærekraftig utvikling i friluftslivsundervisningen. 
Medbestemmelse i friluftslivsundervisningen fremheves også som en nøkkelfaktor. Ved å gi 
elevene ansvarsoppgaver og inkludere dem i planleggingen, kan vi forbedre forståelsen av 
deres evner og erfaringer i emnet friluftsliv. Informantene uttrykker også at samarbeid og 
medborgerskap kan forbedres gjennom medbestemmelse i undervisningsprosessen. Studien 
konkluderer med at friluftslivsundervisning med fokus på tverrfaglige temaer har et stort 
potensial for å berike kroppsøvingsundervisningen, fremme bærekraftig utvikling og gi en 
mer praktisk og elevsentrert tilnærming til læring.||","no.uia:inspera:143807953:37060612","https://hdl.handle.net/11250/3078949","","University of Agder","Kroppsøvingslæreres refleksjoner rundt bruk av tverrfaglige temaer i friluftslivsundervisningen","Master thesis"
