id,collection,dc.contributor.advisor,dc.contributor.author,dc.date.issued,dc.description,dc.description.abstract,dc.description.abstract[en_US],dc.description[en_US],dc.identifier,dc.identifier.citation[en_US],dc.identifier.uri,dc.language,dc.language.iso[en_US],dc.publisher,dc.publisher[en_US],dc.rights.holder[en_US],dc.rights.uri[*],dc.rights[*],dc.source.pagenumber[en_US],dc.subject.nsi[en_US],dc.subject[en_US],dc.title,dc.title[en_US],dc.type,dc.type[en_US]
"0104384d-b353-4229-b23c-b46261505313","11250/3034394","Løvland, Anne","Livden, Julie Galdal","2022",,"Globalisering og digital utvikling bidrar til at tekster gjøres tilgjengelig for alle i større grad enn tidligere. I møte med dette tekstmangfoldet er det viktig å være klar over at tekster konstruerer ulike virkelighetsbilder og at en tekst er et resultat av avsenders formål. Det handler om å kunne lese kritisk. Målet i dette masterprosjektet er å kunne si noe om hva som kjennetegner måten ungdom reflekterer kritisk på. Kritisk tenkning og lesing har blitt mer fremtredende i fagfornyelsen og en ny eksamensform i norsk for 10. trinn skal derfor innføres. Jeg har designet en undersøkelse som har likhetstrekk med eksempeloppgaver til den nye eksamensformen. Dette gjør prosjektet praksisnært og relevant ettersom oppgaven er skrevet i forbindelse med grunnskolelærerutdanningen. Elever i én skoleklasse på ungdomstrinnet har lest et utvalg multimodale tekster og svart på tre oppgaver. Disse er laget for å få frem elevenes kritiske refleksjoner over hvordan og hvorfor kjønn fremstilles i tekstene slik de er utformet. Hovedkonklusjonen er at det varierer hvordan elevene reflekterer kritisk, men at mange ser ut til å være mer opptatt av å beskrive hva de leser i teksten fremfor å svare på hva oppgavene etterspør.||",,,"no.uia:inspera:109925905:24218233",,"https://hdl.handle.net/11250/3036565","",,"University of Agder",,,,,,,,"""Det viser bare at de mener at folk kan være den de vil"". En undersøkelse av hvordan ungdom reflekterer kritisk over hvordan kjønn fremstilles i ulike tekster.",,"Master thesis",
"020cb79d-0abc-48df-9c53-ee18ad0c1f98","11250/3034394","Nora Simonhjell","Christiansen, Nora","2023",,"En tematisk analyse av Nora Dåsnes' ""Ti kniver i hjertet"" i lys av skeiv teori, og en litteraturdidaktisk refleksjon om bruken av den.||",,,"no.uia:inspera:143798281:36812259",,"https://hdl.handle.net/11250/3080493","",,"University of Agder",,,,,,,,"""Hvem er jeg?"": Skeiv identitet i ungdomslitteratur",,"Master thesis",
"05553f88-9710-4008-bd6d-bf877be00272","11250/3034394","Haugen, Tommy||Laxdal, Aron","Bratlund, Robin||Hasdal, Nora","2023",,"Hensikten med studien var å undersøke hvordan de to motstridende konkurransetilnærmingene competition og decompetition, og utfallet av konkurranse påvirket elevenes motivasjon. Opplevelsen av motivasjon ble målt etter grunnleggende psykologiske behov, som er en subteori innenfor selvbestemmelsesteorien. Prosjektet er en kvasieksperimentell studie, hvor det ble benyttet et 2x2 faktorielt design. Prosjektet består av et utvalg på 164 respondenter fra to ungdomsskoler i Sør-Norge, fordelt på 53% gutter og 46% jenter. Det ble benyttet et undervisningsopplegg med forskjellige konkurranseaktiviteter, der aktivitetene var like i begge tilnærmingene. Det ble benyttet competitiontilnærmingen på halvparten av utvalget, mens den resterende part benyttet decompetitiontilnærmingen. Manipulasjonen ble hovedsakelig styrt av lærerens fokus på utfall i konkurransetilnærmingene. Resultatene viste at det ikke var signifikant forskjell ved elevens opplevelse av de grunnleggende psykologiske behovene, på bakgrunn av hvilken konkurransetilnærming som ble praktisert. Ved utfallet i konkurranse var det signifikante forskjeller ved elevenes opplevelse av de grunnleggende psykologiske behovene. Den seirende grupperingen viste en liten oppgang i opplevelsen av de grunnleggende psykologiske behovene, og den tapende grupperingen en markant nedgang. Diskusjonen legger vekt på at resultatene kan ha påvirkning av en idrettsdiskurs som står sentralt i faget. Til tross for lite forskning på feltet kan prosjektet gi et innblikk i hvordan konkurranseaspektet og utfallet av konkurranse har påvirkning på elevens motivasjon.||",,,"no.uia:inspera:148330406:34478985",,"https://hdl.handle.net/11250/3080912","",,"University of Agder",,,,,,,,"Motiverte vinnere og demotiverte tapere:
En kvasieksperimentell studie på konkurranse i kroppsøvingsfaget",,"Master thesis",
"06cc568f-8864-4ca0-b2f1-c5bc8e748fe1","11250/3034394","Omarhaug, Kristoffer Heggelund","Fiske-Nygaard, Hedda||Reneflot, Rikke Elise","2024",,"I denne masteroppgaven undersøkes hvilke typer matematikkoppgaver som matematikklærere benytter i sin undervisning, og hvilke begrunnelser som påvirker disse valgene. Dette er interessant å forske på da en stor del av matematikkundervisningen består av arbeid med oppgaver, og det vil i stor grad påvirke elevenes læring.
  
Gjennom en flerkasusstudie har oppgaver hentet fra tre matematikklærere på ungdomstrinnet blitt analysert, i tillegg til at lærerne er blitt intervjuet. Oppgavene har blitt kategorisert med hensyn til hvilke kognitive krav de stiller til elevene (Smith & Stein, 1998), og hvilket læringsmiljø de inviterer til (Skovsmose, 1998). Resultatene fra forskningsprosjektet viser at omtrent 18% av alle de innsamlede oppgavene stiller høye kognitive krav til elevene, og omtrent 11% av matematikkoppgavene inviterer til et undersøkelseslandskap. Undersøkelsen avslører også varierte begrunnelser blant lærerne. Mens to av lærerne primært benytter lærebøker og vektlegger utvikling av grunnleggende ferdigheter, henter den siste læreren inspirasjon fra internett for å skape undervisning som engasjerer.
 
Forskningen gir en god innsikt i tre ulike matematikklæreres praksis av og tanker om valg av matematikkoppgaver, og dette er verdifull kunnskap for både fremtidige og praktiserende lærere. Forskningen bidrar til bevisstgjøring rundt valg av matematikkoppgaver, og valgenes betydning for elevenes læring.||",,,"no.uia:inspera:229824458:51616363",,"https://hdl.handle.net/11250/3141010","nob",,"University of Agder",,,,,,,,"Matematikklæreres valg av og tanker om matematikkoppgaver",,"Master thesis",
"06d6be64-3367-4cde-be3a-ebaa23b2264e","11250/3034394","Bere, Elling||Østrem, Ketil","Haugen, Helene||Tveite, Ida Kristine Thomassen||Dversnes, Merethe Haugland","2022","Full text not available","Friluftsliv har alltid vært en del av den norske kulturarv. Det har vært et sentralt tema i skolen i mange år, og da Kunnskapsløftet 2020 kom fikk friluftsliv en større plass i læreplanen. Hensikten med oppgaven er å undersøke i hvilken grad lærerne opplever at de dekker kompetansemålene innenfor friluftsliv i kroppsøving. Vi undersøkte hvilke aktiviteter og innhold de bruker for å oppnå kompetansemålene. Studien inkluderer en spørreundersøkelse hvor kroppsøvingslærere skal rangere sin egen undervisning. Undersøkelsen gir mulighet for å svare utfyllende på rangeringen, og gi eksempler på hvordan de arbeider med de ulike kompetansemålene. I tillegg har vi vært ute i skolen og observert på feltet. Vi benytter kvalitative og kvantitative metoder.
Resultatene viser at det er varierende grad av opplevd dekning av de ulike kompetansemålene. Det er sammenheng mellom nivå av opplevd dekning av kompetansemål og innhold i undervisning. Forskning viser at lærere ofte mangler kompetanse og kunnskap om friluftsliv. Mange lærere opplever at skoleklassene er for store, og at det er for lite tid og ressurser i skolen for å oppnå målene. 
Vi konkluderer med at de som har interesse for friluftsliv, og den nødvendige kompetanse er de som opplever at de når kompetansemålene i høy grad. Disse har ofte mer varierende aktiviteter for å oppnå kompetansemålene. 


Nøkkelord: Barneskole, friluftsliv, kompetansemål, kroppsøving.||",,,"no.uia:inspera:106933773:22998242",,"https://hdl.handle.net/11250/3036579","",,"University of Agder",,,,,,,,"Friluftsliv i kroppsøving",,"Master thesis",
"08d35777-dce2-46c9-bf71-40bdb8ee39b5","11250/3034394","Reid, David Alexander||Reinhardtsen, Jorunn","Galteland, Birgitte||Sandvand, Maria","2022",,"Denne masteroppgaven innen matematikkdidaktikk har algebra som hovedtema, med modellering som tilnærming. Hensikten er å undersøke hvordan modellering kan være med å legge til rette for dybdelæring i likninger, derav våre to forskningsspørsmål: 

1. Hvilke tegn på dybdelæring i lineære likninger kan observeres i elevers arbeid med modellering av praktiske situasjoner i algebraundervisning?  

2. Hvordan kan modellering integreres i algebraundervisning for å legge til rette for elevers dybdelæring i lineære likninger på 8.trinn?  


Da studien har til hensikt å forske på undervisning er læringssyn av betydning, og vi har valgt å plassere oss innunder det sosiokulturelle læringssynet. Videre bygger studien på et teoretisk rammeverk basert på definisjoner av algebra, samt likninger og hvordan dette kommer til uttrykk i skolen. I tillegg defineres matematisk modellering, hvor vi baserer oss på syklusene til Blum (2015) og Lamon (1998). Begrepet dybdelæring redegjøres for, og vi presenterer en egenutviklet tabell over kjennetegn på dybdelæring i lineære likninger.  

Vi har gjennomført et undervisningsekseperiment i to 8. klasser, der vi introduserte begrepet modellering og arbeid med semi-modelleringsoppgaver. Med semi-modelleringsoppgaver mener vi oppgaver som tar utgangspunkt i et modelleringsproblem, men som er tatt med inn i klasserommet og tilpasset klasseromsaktivitet. Datainnsamling i studien ble gjort ved lyd- og videoopptak, samt elevarbeid.  

Av resultat ser vi noen tegn til dybdelæring i lineære likninger etter vårt eksperiment, men vi savner at de bruker sin samlete kompetanse innenfor algebra til å løse mer komplekse oppgaver enn de er vant til. For å få til dette mener vi læreren må være svært bevisst sin rolle, at holdningene til både lærer og elev må arbeides med, samt at oppgavene og tidsbruk planlegges godt.||",,,"no.uia:inspera:109991212:22725368",,"https://hdl.handle.net/11250/3036550","",,"University of Agder",,,,,,,,"Modelleringsoppgaver og dybdelæring i likninger på 8.trinn",,"Master thesis",
"0aeb3eb5-1573-463b-a14a-4ed1c8d01782","11250/3034394","Carlsen, Martin","Korsmo, Bendik","2024",,"Denne studien handler om argumentasjon og resonnering i matematikk. Studien belyser en ungdomsskolelærers rolle i argumentasjons- og resonneringsprosesser knyttet til geometri. Målet med studien er å si noe om hvordan matematikklærere kan fremme og utvikle elevenes argumentasjons- og resonneringsprosesser i klasserommet, og på den måten bidra til å gjøre matematikkfaget mer meningsfylt.
Denne studien baserer seg på en kvalitativ forskningsmetode hvor jeg har fulgt en matematikklærer i hans undervisning på niende trinn. Emnet i undervisningen var geometri, og elevene arbeidet med areal og omkrets av trekanter og andre mangekanter. Datamaterialet er samlet inn gjennom observasjon ved bruk av videoopptak, og videre analysert gjennom en tematisk analyse.
Resultatene viser at lærerens rolle kan karakteriseres ut fra tre kategorier: lærerens spørsmål, lærerens direkte bidrag og lærerens andre støttende handlinger. En sentral del av lærerens rolle var å stille elevene spørsmål som tok utgangspunkt i elevenes eget arbeid. Gjennom ulike typer spørsmål kunne læreren fremme og utvikle ulike typer argumentasjons- og resonneringsprosesser. Lærerens direkte bidrag var også viktig for å utvikle elevenes argumentasjon og resonnering. Ved selv å bidra med ulike deler av et argument eller resonnement, medierte læreren en dypere matematisk mening rundt de idéene og begrepene elevene arbeidet med å appropriere. I tillegg bidro læreren gjennom andre støttende handlinger, i form av presiseringer, repetisjon og hint for å fremme og videreutvikle elevenes matematiske resonnering.||",,,"no.uia:inspera:229824458:51748588",,"https://hdl.handle.net/11250/3140998","nob",,"University of Agder",,,,,,,,"Argumentasjon og resonnering i matematikk",,"Master thesis",
"0e6d5ce4-d8e5-409e-8df1-732db09d5d6d","11250/3034394","Redvaldsen, David Aly||Skarpenes, Ove","Lindland, Markus||Magnussen, Hanne Birkeland","2024",,"Denne masteroppgaven er en kvalitativ og kvantitativ studie, av hvordan samene fremstilles i norske læreplaner og lærebøker fra 1974 til 2020. Oppgavens problemstilling er: “Hvordan fremstilles samene i læreplanverk og lærebøker fra 1974 til 2020, for ungdomsskolen i samfunnsfag?” I tillegg har vi utarbeidet et forskningsspørsmål: “I hvilken grad blir samiske temaer vektlagt mer eller mindre i læreplaner og lærebøker over tid?”. Dokumentanalyse ble valgt for å belyse problemstillingen. Utvalget av læreplaner og lærebøker ble gjort basert på et godt samarbeid med veiledere og Aschehoug forlag. 

Målet med denne studien har vært å frembringe kunnskap, i form av hvordan man som lærer kan skape en inkluderende samfunnsfagundervisning for minoritetselever. På bakgrunn av dette har vi benyttet oss av tidligere forskning og maktkritiske perspektiver. Sistnevnte ble valgt for å utfordre vår egen forståelse og tolkning av læreplaner og lærebøker. Når det gjelder tidligere forskning, trekkes Gjerpe (2021) og Kohvakka (2022, 2024) frem. Førstnevnte undersøker presentasjonen av det samiske innholdet i lærebøker. Sistnevnte fokuserer på representasjonene av minoriteter i den finske nasjonale kjerneplanen for historie, og studerer den fraværende læreplanen i finske historiebøker. For å kunne analysere materialene fra et annet ståsted, benyttet vi oss av maktkritiske perspektiver; postkolonial teori, nordisk eksepsjonalisme og antidiskriminerende undervisning. Analysen er todelt, som vil si at første del tar for seg læreplanen både kvantitativt og kvalitativt, og det samme med læreboka i andre del. Hovedvekten av analysen består av den kvalitative delen. I analysen blir både tidligere forskning og maktkritiske perspektiver brukt for å støtte opp under/drøfte funnene, og der sistnevnte blir brukt for å kritisk analysere innholdet. Det kvantitative er en mindre del av analysen. Her har vi sett på hvor mange ganger fire valgte ord forekommer og lengden av læreplanene. For lærebøkene har vi sett på hvor mange sider som inneholder samiske emner. 

Funnene våre viser at det har vært en markant endring de siste 50 årene, med tanke på hvordan det samiske fremstilles og i hvilket omfang. Det første funnet er relatert til postkolonial teori hvor det er en stereotypisk fremstilling av det samiske i eldre læreplaner og lærebøker sammenlignet med de nyere. Det andre funnet er sett i sammenheng med nordisk eksepsjonalisme hvor vi så at fornorskingspolitikken ikke ble sett i sammenheng med kolonisering i de eldre læreplanene/lærebøkene. Dette er et funn som i stor grad kobles til Kohvakka (2024). 

Etter å ha analysert læreplanene og lærebøkene i lys av antidiskriminerende undervisning, så vi en endring i ordlegging og hvem dokumentene henvender seg til. M74 og M87 har majoritetsbefolkningen som målgruppe. L97 henvender seg til majoriteten i formuleringene til en viss grad, men samtidig inkluderer den Sametinget som en del av demokratiet “vårt”. LK06 og LK20 i større grad har hele befolkningen. Skillet mellom “oss” og “de andre” blir mindre tydelig for hver læreplan som kom etter M74. Det er først i LK06 og LK20 vi måtte “lete” eksempler hvor læreplanen skapte et skille mellom “oss” og “de andre”. Det andre funnet innen antidiskriminerende undervisning, er at LK06 og LK20 har et større og annerledes fokus på Kumashiros to siste undervisningsmetoder, som handler om å kritisere privilegier og maktforhold.

Det siste funnet er i tilknytning til de kvantitative resultatene. Både for læreplanene og lærebøkene er det en økt vektlegging av temaet. Samtidig viser den kvantitative undersøkelsen at de blir nevnt færrest ganger i LK20, og mest i M74 med 28 ganger. M74 og M87 er de to lengste læreplanene, og nevner det samiske flest ganger. På motsatt side har vi LK06 og LK20 som er kortere læreplaner, og som omtaler det samiske færrest ganger. Det kan gi en indikasjon på at samiske temaer har fått en mindre plass i læreplanene med årene, samtidig vet man ut ifra Ryssevik (2018) at LK06 og LK20 har et bindende innhold og som forplikter læreren til å undervise om samene. Dette er i motsetning til mønsterplanene, som er av ikke-bindende karakter. Derfor kan man si at samiske temaer har fått en økt vektlegging med de nyere læreplanene, selv om de kvantitative resultatene viser det motsatte. Når det gjelder lærebøkene, har “Innblikk 9: samfunnskunnskap” 39 sider som omtaler samene og “Arena 9” har 26 sider. Dette gir en indikasjon på at omfanget av samiske temaer varierer med lærebøkene.||",,,"no.uia:inspera:229826188:50827716",,"https://hdl.handle.net/11250/3143272","nob",,"University of Agder",,,,,,,,"En kvalitativ og kvantitativ studie av hvordan samene fremstilles i et utvalg læreplaner og lærebøker for ungdomsskolen i samfunnsfag.",,"Master thesis",
"0f2bd745-dd19-4b2c-8242-5816fbfa6f57","11250/3034394","Lund, Ingrid","Kapstad, Hanne","2024",,"Lærere har fått et oppdrag hvor de skal skape en inkluderende skolehverdag for barn og unge, som fremmer helse, trivsel og læring (Kunnskapsdepartementet, 2017, s.15). Inkludering handler om å både ta vare på den enkelte elev og å ivareta fellesskapet (Nilsen, 2019, s.624). Inkludering kan forstås og defineres ved hjelp av tre ulike dimensjoner; fysisk, sosial og psykisk (Qvortrup & Qvortrup, 2018). En del av inkluderingsarbeidet til læreren handler om elever som viser en atferd som utfordrer, i form av innagerende og/eller utagerende atferd (Lund, 2012; Nordahl et al., 2005). 

Denne studien undersøker læreres arbeid med inkludering av elever som viser en atferd som utfordrer. Det ble gjort gjennom problemstillingen «Hva gjør lærere på mellomtrinnet for å inkludere elever som viser en atferd som utfordrer?». For å svare på problemstillingen ble observasjon og fokusgruppeintervju benyttet. Atferd som utfordrer referer både til innagerende og utagerende atferd. Og atferden blir forstått ut ifra et system perspektiv, hvor atferden oppstår i samspill med omgivelsene (Lund, 2012; Nordahl et al., 2005). Videre ble det benyttet tidligere forskning og teori. Det ble benyttet teori om skolebaserte tiltak, klasseledelse og retningslinjer for arbeid med atferd som utfordrer (Lund, 2012; Nordahl et al., 2005; Rhodes & Long, 2019). Det er Qvortrup & Qvortrups (2018) sin omfattende definisjon av inkludering som er benyttet. Med utgangpunkt i oppgavens system perspektiv på atferd ble Bronfenbrenners (1979) utviklingsøkologiske teori benyttet.

Funnene fra studien viser at lærerens arbeid med inkludering av elever som viser en atferd som utfordrer, henger sammen med deres forståelse av atferd som utfordrer og inkludering. Hva læreren gjør for å inkludere elever som viser en atferd som utfordre kan oppsummeres i tre tiltak: 1) ledelse, 2) klassemiljø og 3) samarbeid. Ledelse handler om en relasjonsorientert og proaktiv klasseledelse, og ledelse av den enkelte elev der relasjonene til enkelt elevene er ivaretatt. Klassemiljø handler om å bygge et trygt og godt klassemiljø for elevene. Samarbeid innebærer et godt og fungerende samarbeid med foresatte, enkelt elever, kollegaer på teamet og ledelsen. Alle disse tiltakene gjennomføres for å inkludere elever som viser en atferd som utfordrer.||",,,"no.uia:inspera:222050086:50401664",,"https://hdl.handle.net/11250/3142870","nob",,"University of Agder",,,,,,,,"Atferd som utfordrer og inkludering  

En kvalitativ studie av hva lærere gjør for å inkludere elever som viser en atferd som utfordrer.",,"Master thesis",
"10b13acc-863a-4557-91be-3d366ea2f8c6","11250/3034394","Aanensen, Mariette","Eriksen, Janne","2024",,"This study investigates EFL textbook tasks found in textbooks designed for lower secondary schools (years 8-10) in Norway, published after the Norwegian curriculum reform in 2020. Tasks from two textbook series, comprising three books each, are included in the analysis. This thesis aims to examine the alignments between textbook tasks and curriculum guidelines, regarding linguistic diversity and inclusivity, and whether the tasks facilitate various linguistic backgrounds in the EFL classroom. The reformed curriculum highly emphasizes the value of linguistic knowledge and diversity, elucidated both in the core curriculum and the English subject curriculum. Based on the analysis of 2,944 tasks, the findings of this study reveal tendencies arguing limited alignment between the tasks and the curriculum’s emphasis on the value of linguistic diversity. The majority of tasks requiring knowledge of additional languages for completion involve only Norwegian and English. However, Stages 8-10 align slightly more with the curriculum, with the series including a few tasks encouraging the involvement of languages beyond mere Norwegian. Furthermore, these results regarding limited linguistic inclusion beyond Norwegian, indicate a limited facilitation toward students with various linguistic backgrounds.||",,,"no.uia:inspera:222051179:50631267",,"https://hdl.handle.net/11250/3134127","eng",,"University of Agder",,,,,,,,"Textbook Tasks and Linguistic Diversity",,"Master thesis",
