id,collection,dc.contributor.advisor,dc.contributor.author,dc.date.issued,dc.description,dc.description.abstract,dc.identifier,dc.identifier.uri,dc.language,dc.publisher,dc.title,dc.type
"0114a097-8ee3-4276-beb5-9487f594cf9f","11250/2732886","Bøhn, Henrik","Kristensen, Marte","2023",,"This thesis has investigated the research question ̈To what extent and how are culture and intercultural competence treated in two English textbooks at the lower secondary level in Norway? ̈ using theory in the field of intercultural learning from Byram (1997), Deardorff (2006) and Dypedahl (2018). The way in which the concept of “intercultural competence” is used in the Curriculum in English was also considered. Two English textbooks at the lower secondary school level were used in the analysis: English 5 and Explore 5. 


The study found that both textbooks treat cultural and intercultural aspects on the surface level. Both textbooks presents mostly factual knowledge. I did not find much relevant to developing intercultural competence whereas both textbooks leave much of the responsibility for this development to the teachers and the students using the textbooks.||","no.usn:wiseflow:6952238:56226167","https://hdl.handle.net/11250/3114167","eng","University of South-Eastern Norway","Teaching culture in the foreign classroom","Master thesis"
"02b89af7-87f5-46cc-9ba6-da89d103c114","11250/2732886","Solberg, Unni Mette","Nyheim, Rosita||Iversen, Vibeke Persdatter","2023",,"Tema for denne masteravhandlingen er moderne samisk barnelitteratur. Studien undersøker følgende problemstilling: Hvordan fremstilles det samiske i et utvalg nyere bildebøker for barn og unge? I tillegg ser vi på forskningsspørsmålene Speiler fremstillingen av det samiske i utvalgte bildebøker det samiske som er gjenkjennbart i dag? og Kan de utvalgte bøkene etter vår vurdering, brukes i undervisning for å øke kunnskap og forståelse for det samiske? 



For å undersøke dette har vi brukt litterær analyse som metode, og vi har analysert og tolket fire samiske bildebøker, der vi har gått i dybden på to av disse. Hermeneutisk syn på litterær analyse har vært essensielt for vår tolkning. Avhandlingen argumenterer for at skolen har ansvar å sørge for at elevene får kunnskap om samisk språk, kultur og historie, og lærer om respekt og toleranse for det samiske. I våre undersøkelser fant vi svært lite tidligere forskning om temaet vi har valgt, og vi har derfor sett på annen forskning rundt det samiske i skolen. Mye av denne forskningen har primært undersøkt læreverk for ungdomstrinnet. Når vi i problemstillingen og underveis i oppgaven bruker begrepet det samiske mener vi alt som inngår i den samiske kulturen. Dette innebærer tradisjoner, klær, håndverk/duodji, litteratur, joik, kunst, sagn og religion. Når vi i problemstillingen og underveis i oppgaven bruker begrepet det samiske mener vi alt som inngår i den samiske kulturen. Dette innebærer tradisjoner, klær, håndverk/duodji, litteratur, joik, kunst, sagn og religion.



Ved å analysere samiske bildebøker og se hvordan det samiske fremstilles, har vi funnet at det samiske ikke nevnes eksplisitt i verbalteksten i dette utvalget bildebøker, men finnes derimot i bildeteksten. Dermed spiller ikonoteksten en viktig rolle for funn av det samiske i utvalgte bildebøker. Illustrasjonene viser flere samiske gjenstander som er viktige for å plassere tekstene innenfor det samiske. Alle fire bøkene inneholdt bilder av tradisjonelle samiske klesplagg. I verbalteksten fant vi spor av samisk kultur og tradisjoner, i tillegg var det innslag av samiske sagn og før-kristen religion. Et annet viktig funn var den muntlige overføringen av verdier og kunnskap mellom generasjoner. Det var også noen samiske ord i verbalteksten i to av bøkene, mens i de to andre var bøkene parallelltekstet på nordsamisk og norsk. Mye av det samiske som var funnet i bildebøkene kan sies å speile det samiske slik det kan sies å forekomme i dagens samfunn. Funnene våre viser at bildebøkene kan brukes i undervisning for å øke kunnskap og forståelse for det samiske, men at det kan kreve en viss mengde forkunnskap av læreren. Samiske bildebøker har stort potensiale til bruk i skolen, og det fins flere didaktiske muligheter med disse bøkene for å jobbe med kompetansemål i norskfaget i tillegg til mål som vi finner i Overordna del i læreplanen. Dette er et tema det med fordel kan forskes videre på, da det fins lite forskning på det samiske i barneskolen.||","no.usn:wiseflow:6794142:55052675","https://hdl.handle.net/11250/3079958","nob","University of South-Eastern Norway","Moderne samisk barnelitteratur","Master thesis"
"08912619-8a26-427c-8a1d-b2c6906f19be","11250/2732886","Enqvist-Jensen, Cecilie","Kåsin, Carita Roe","2024",,"Dette masterprosjektet har som formål å undersøke hvordan lærere kan tilrettelegge de fysiske omgivelsene for fellesskapsfremmende lek for de minste barna i skolen. Oppgaven søker å få innsikt i læreres erfaringer og refleksjoner relatert til tema. Problemstillingen prosjektet søker å belyse er «Hvordan kan lærere skape rom i de fysiske omgivelsene for fellesskapsfremmende lek for de minste barna i skolen?». Gjennom kvalitative intervjuer ble fire lærere fra to skoler spurt om deres tanker, refleksjoner og erfaringer relatert til hvordan de skaper rom i de fysiske omgivelsene for felleksapsfremmende lek. Som hjelp i arbeidet med å belyse problemstillingen stilte jeg følgende tre forskningsspørsmål: 1) Hvilket potensial for lek opplever lærerne innenfor de fysiske rammene de har til rådighet på skolen? 2) Hvordan legger lærerne til rette for fellesskapsfremmende lek for de minste barna i skolen? Og 3) Hvordan utnytter de potensialet i de fysiske omgivelsene i arbeidet med fellesskapsfremmende lek?

Leken har en betydningsfull rolle i barns liv og har betydning for utvikling av sosial kompetanse, trivsel og relasjoner (Ruud, 2010, Lillemyr, 2007b, referert i Lillemyr, 2011, s. 35). Hogsnes (2019) fremhever at leken kan spille en sentral rolle i å skape kontinuitet i erfaringer og være en brobygger mellom barnehage og skole. Leken kan benyttes for å skape en helhetlig læringsprosess gjennom lekende læring og lærende lek (Eik, 2022, s. 34). Oppgaven vektlegger både det fysiske - og det psykososiale aspektet ved læringsmiljøet. Det fysiske miljøet, som inkluderer rommet og tilgjengelig materiale, kan fungere som «den tredje pedagog» og kan bidra til å innby til lek og læring (Breive et al., 2022, s. 223; Hansson, 2016, s. 31). Samtidig er det psykososiale læringsmiljøet like viktig for å legge til rette for fellesskapsfremmende lek gjennom gode relasjoner og trygghet (Læringsmiljøsenteret, 2024; Sando, 2020, s. 43).

Denne masteroppgaven trekker på flere teoretiske perspektiver, inkludert forståelsen av lekens betydning for barns liv og barns kompetanse. Videre bygger jeg på en forståelse av læringsmiljø som består av både den fysiske og psykososiale dimensjonen, og hvordan disse sammen påvirker barns trivsel, lek og læring. Et sentralt begrep for å forstå forholde mellom disse dimensjonene er «den tredje pedagog». For å få en forståelse av rommet som den tredje pedagog kreves en aktiv tilnærming for å skape et lekende klasserom. Lærerne spiller en betydningsfull rolle i dette ved å organisere rommene og anvende materiell på en måte som fremmer lek og læring.

Lærerne som ble intervjuet er genuint opptatt av lek som grunnleggende for både å bidra til kontinuitet i elevers erfaringer fra barnehage til skole og for utviklingen av et godt læringsmiljø på barneskolen. De gir utrykk for et helhetlig perspektiv på læring som fremhever betydningen av å gi rom for både lekende læring og lærende lek og der de ser sammenheng mellom de fysiske rammene og utvikling av et godt psykososialt læringsmiljø. I hovedsak betrakter de klasserommet som medspiller og peker på sentrale grep for å få dette til. Viktige grep som lærerne fremhever, er blant annet etablering av lekesoner i klasserommet og aktiv bruk av lekemateriell som læringsmateriell. Gjennom lærernes bevissthet om hva de fysiske omgivelsene innbyr til og hvordan de arbeid med lekende læring og lærende lek i læringsmiljøet viser de betydningen av å se lek som en sentral del av læringsmiljøet. De trekker også frem betydningen av å arbeid med rutiner, struktur og forutsigbarhet for å skape rom for lek. Oppgaven får også frem begrensninger i å skape rom for lek. Mangel på materiell, skolehverdagens hektiske tidsplan og hvordan ulike læreplaner og lærerpraksiser kan påvirke fokuset leken får i skolen.

6-årsreformen la føringer for fokuset lek skulle ha i skolen (Bjørnestad et al., 2022). Evalueringen av 6-årsreformen, gjennomført i senere tid viser at lek har fått en mindre sentral rolle i førsteklasse, samtidig som lek blir i liten grad benyttet som en stabil aktivitet (Bjørnestad et al., 2022). Lærerne som ble intervjuet i dette prosjektet viser hvordan de legger til rette for at leken skal være en sentral del av skolehverdagen til de minste barna i skolen, blant annet ved praksiser som læring gjennom lek. Læreplanen LK20 trekker leken tilbake inn i undervisninger og underbygger lærernes praksiser om læring gjennom lek (Kunnskapsdepartementet, 2020, avs. 2).||","no.usn:wiseflow:7069675:59685724","https://hdl.handle.net/11250/3137886","nob","University of South-Eastern Norway","Skape rom for lek for de minste barna i skolen","Master thesis"
"089cda67-8fbb-4e03-b5d8-ec71cd0a1ca0","11250/2732886","Frigstad, Trond","Kvesetmoen, Martine Ommundsen","2023","Full text not available","Fagfornyelsen beskriver ulike prinsipper for skolens praksis og trekker blant annet frem sosial læring og utvikling. Alle elever har rett på tilpasset opplæring (Opplæringsloven, 1998, §1-3) og ut fra det må læreren legge til rette for at barna får mulighet til å utvikle seg både faglig og sosialt ut fra deres mestringsnivå.



Sosial læring legger til grunn for at elevene skal få noe av læringen tilrettelagt for å kunne kommunisere fag med hverandre og diskutere ulike fenomener og løsningsmetoder hvor de kan utvide sin forståelse. I denne studien representerer samarbeid at elevene i 1.klasse skal se gleden ved å kunne hjelpe hverandre ved utfordrende oppgaver, diskutere hverandre sine løsningsmetoder og sammen skape et trygt og godt læringsmiljø hvor alle føler de er en del av et fellesskap. Dette må ses i sammenheng med faget matematikk som er et fag hvor kommunikasjon og drøfting er gode byggesteiner for en forståelse av faget. Derfor er studien forankret i samarbeid og matematikk.



Det ble derfor interessant å undersøke elever i første klasse sin erfaring med samarbeid som læringsaktivitet og hvordan de håndterte dette i praksis. For å få et innblikk i elevenes tanker om samarbeid ble det gjennomført en kvalitativ datainnsamling som bestod av observasjon av selvlagd undervisningsopplegg etterfylt av fire intervjuer med elevene gruppevis. Intervjuene er med på å utfylle de observasjonene jeg har gjort i undervisningstimen. Valg av observasjon og intervju som metode ses i sammenheng med elevenes subjektive handlinger og ytringer.



Funnene ses i lys av fire utarbeidede delkapitler som tar for seg ulike sider ved elevenes samarbeid og hva som er avgjørende for at de lærer noe gjennom samarbeid som læringsaktivitet. Elevene er klare på at de trenger å være flere elever sammen for å kunne utføre samarbeid. Funnene viser til at elevene syns det er gøy og lærerikt hvis de kan jobbe sammen med elevene på en leken og aktiviserende måte.||","no.usn:wiseflow:6794095:54609513","https://hdl.handle.net/11250/3080955","nob","University of South-Eastern Norway","""Det kan ikke være null for å samarbeide""","Master thesis"
"09cf4650-7d1b-4e68-a099-f134dffb8d71","11250/2732886","Lindquist, Hein","Eriksen, Caroline Berg","2023",,"I dette forskningsprosjektet har målet vært å se på hvordan lekens rolle spiller inn i elevenes læringsarbeid i småskolen. Jeg har valgt å fokusere på elevene på 1. trinn, da oppgaven skrives i begynneropplæringsfaget. Prosjektet har hatt et sosiokulturelt læringsperspektiv og er basert på teori om lek, med hovedfokus på lekende læring og sammenhengen mellom lek og læring. Studien har hatt en kvalitativ tilnærming med dokumentanalyse som metode. Et utvalg av dokumenter har blitt gjort og i studien analyseres LK20 og to lærerveiledninger i norsk og matematikk.

Prosjektets problemstilling er:



Hvilken rolle har leken i læringsarbeidet på 1. trinn?



Prosjektet har hatt to forskningsspørsmål:



Hva beskriver styringsdokumentene om lekens betydning i begynneropplæringen?

Hvordan blir lek fremstilt i lærerveiledning i norsk- og matematikkfaget på 1. trinn?



Studien avdekket mange læringsfordeler elevene kan dra nytte av gjennom ulike typer lek. Jeg har hatt et hovedfokus på den lekende læringen. De fleste funnene jeg sitter igjen med etter analysen min, bekrefter teorien min som beskriver fordeler elevene sitter igjen med fra leken. Samtidig har jeg satt spørsmål ved enkelte ting jeg har kommet over i analysearbeidet mitt, blant annet hvorfor ikke leken er tydeligere definert i læreplanen og hva ulike tolkninger av læreplan og lærerveiledning kan ha å si for lærerens planlegging og gjennomføring av undervisning. 



Med dette masterprosjektet ønsker jeg å synliggjøre hvilke læringsfordeler elevene kan ha av lek i undervisningen og hvorfor det er viktig at de yngste elevene i skolen får leke. Målet er at andre lærere gjennom å lese om forskningen min, kan få inspirasjon til å anvende mer lek i undervisningen og inspirere andre studenter til å forske mer på dette feltet. Dette masterstudiet er relevant for alle lærere i småskolen, men spesielt for lærere på 1. og 2. trinn.||","no.usn:wiseflow:6794095:55190591","https://hdl.handle.net/11250/3079339","nob","University of South-Eastern Norway","Lek og elevers læring på 1. trinn","Master thesis"
"0b08ff53-9bae-4274-8fcf-38dbc3196587","11250/2732886","Storli, Steinar Tveito","Fagernes, Linn Marie","2022",,"De senere årene har det skjedd en utvikling innenfor matematikkfaget. Undervisningen har utviklet seg fra å ha et tradisjonelt preg, hvor lærer viser på tavlen og elevene arbeider i egen bok (Alseth et al., 2003, s. 115; Klette, 2003, s. 13), til en undervisningsform som er mer lik en dialog (Forman & Ansell, 2001, s. 118). Læreplanen er fornyet, og inneholder i dag kjerneelementer i matematikkfaget som er bygget rundt dialogen, og det er større fokus på at elevene skal reflektere over egen læring, forstå egne læreprosesser og tilegne seg kunnskap på en selvstendig måte (Utdanningsdirektoratet, 2020). Denne studien har hatt fokus på den pedagogiske dialogen i matematikk, og sett på hvordan en slik dialog kan gjennomføres. Masteravhandlingen har også undersøkt hvordan et utvalg elever på 4. trinn opplever den pedagogiske dialogen ut ifra noen overordnede temaer.



Det er brukt en kvalitativtilnærming hvor elever etter et endt 4 ukers undervisningsopplegg har deltatt i semistrukturerte fokusgruppeintervjuer. Det er lydopptak fra disse intervjuene som danner empirien i denne studien. I analyseprosessen av lydopptakene er sitater fra elevene blitt kodet og kategorisert, slik at de kan presenteres i resultatdelen under det tema de hører hjemme i. I analysen av lydopptakene kom det frem at denne formen for undervisning i matematikk opplevdes som annerledes for samtlige deltakere i studien. Elevene har videre ulike opplevelser i hva de har lært i prosessen, hvordan de så på samarbeidet og hvilke roller de selv tok under gruppearbeidet. I drøftingsdelen vil resultater drøftes opp mot relevant teori.||","no.usn:wiseflow:6590883:50619688","https://hdl.handle.net/11250/3013856","nob","University of South-Eastern Norway","Den pedagogiske dialogen i matematikk","Master thesis"
"0c4586d7-0572-4ced-8fff-75d2b76bdd59","11250/2732886","Torgersen, Anette","Cortes, Julie Gene","2022","Full text not available","Temaet for denne masteroppgaven er hva læreplanen i Kunnskapsløftet 2006 og Fagfornyelsen 2020 sier om begrepet helse i kroppsøving. Planene består i stor grad om det samme, men forskjellen er at noen ord enten er blitt erstattet med andre ord, eller tatt helt vekk fra læreplanen. Dette er da ord og begreper som omhandler begrepet helse i kroppsøving. Formålet med oppgaven har vært å se hvordan de to ulike læreplanene sier og beskriver begrepet helse i kroppsøvingsfaget. Jeg har valgt å skrive masteroppgaven min i tilknytning til det jeg har erfart og opplevd når det kommer til arbeid med begrepet helse. Ønsket med denne masteroppgaven er å utvikle kunnskap om fenomenet helse,med alle de ulike aspektene, og se om fenomenet har fått større plass både i læreplanen og i samfunnet generelt.



I Kunnskapsløftet 2006 (LK06) for kroppsøvingsfaget har jeg valgt ut overskrifter som beskriver eller definerer begrepet helse implisitt og eksplisitt. De overskriftene som er valgt ut er formål, hovedområde, grunnleggende ferdigheter, kompetansemål og vurdering, da disse inneholdt begreper som var tilnærmet lik, eller beskriver hva helse kan være. Hensikten med dette har vært å se hvordan helsebegrepet beskrives og hvordan sammenhengen er mellom de ulike ordene eller begrepene. Det samme er gjort i Fagfornyelsen 2020 (LK20) for kroppsøvingsfaget, der jeg har valgt ut å belyse de delene fra læreplanen som har vært mest hensiktsmessig og relevant i forhold til det oppgaven var ute etter. Med dette som utgangspunkt lyder problemstillingen slik:



Hva sier Kunnskapsløftet 2006 (LK06) og Fagfornyelsen 2020 (LK20) om helse i kroppsøving?



Metoden for masteroppgaven har en kvalitativ tilnærming, hvor det er brukt tematisk innholdsanalyse som metode. Oppgaven bærer preg av en abduktiv analyse, der det både er teori- og datadrevet. Funnene fra analysen viser at i LK06 og LK20 i kroppsøving er det i liten grad spesifisert hva læreplanene sier om helse. Det er mangel på en ordentlig definisjon av begrepet helse, men læreplanene både inneholder og beskriver flere begreper som er helt sentrale. Eksempelvis psykisk helse, fysisk helse, kroppslig læring, mestring, selvfølelse, identitet, bevegelsesglede, trening, livsstil, kritisk tenkning etc., men av graden hvordan disse begrepene blir utdypet og hvordan sammenhengen mellom disse og begrepet helse beskriver varierer. Sammenhengen mellom begrepene i LK06 virker motstridende, slik som fagets formål hvor fysisk aktivitet er viktig for å femme god helse og faget skal inspirere til bevegelse, kreativitet og selvstendighet hos hvert enkelte. På hvilke måter skal faget inspirere til alle disse tingene, når elevene blir banet gjennom øvelser og leker? Begrepene som kommer tydelig frem i LK06 i kroppsøving, med helseaspektet i fokus er bevegelse og aktivitet. Slik er det også i LK20 i kroppsøving, med 100 (resultater) fra læreplanen på begrepet aktivitet og 72 (resultater) på begrepet bevegelse. Det er derimot gjort en større endring med LK20 i kroppsøving, der kroppslig læring og folkehelse og livsmestring har blitt implementert, for å styrke begrepet helse.||","no.usn:wiseflow:6607880:50825068","https://hdl.handle.net/11250/3013909","nob","University of South-Eastern Norway","Fortsatt universielle og uangripelige beskrivelser av begrepet «helse» i kroppsøvingsfaget","Master thesis"
"0c6ad88d-4155-48b7-8ac0-4c11cfd4f61f","11250/2732886","Wigestrand, Stig Roar","Larsen, Camilla Skilbred","2023",,"Temaet for denne studien er læreres forståelse og tanker om det tverrfaglige temaet livsmestring. Formålet med studien er å få innsikt i hvordan lærere opplever arbeidet med tematikken, og hvilke tanker de har om temaet etter at det ble et tverrfaglig tema i fagfornyelsen.



Problemstillingen for oppgaven er: «Hvordan forstår 3 lærere i barneskolen det tverrfaglige temaet livsmestring?». For å belyse denne problemstillingen, brukes det en kvalitativ forskningsmetode. Gjennom semistrukturerte intervjuer er det samlet inn tanker og refleksjoner fra 3 lærere på samme barneskole. For å analysere dataene er det anvendt tematisk analyse. Teorien i denne studien tar blant annet for seg hvordan et individualisert samfunn påvirker livsmestringsarbeidet, omtalt av blant annet Madsen (2020). Teorien belyser også hvordan lek kan være med på å styrke barns robusthet og fremme livsmestring, som beskrevet i boken til Lunde og Brodal (2022). Funnene blir deretter drøftet i lys av studiens teoretiske rammeverk.



Funnene indikerer at lærerne i studien synes livsmestring er et viktig tema som har et stort potensial i skolen. Derimot kan definisjonen i læreplan fremstå som stor og vag, og de opplever den som opp til hver enkelt lærer å tolke. Disse 3 lærerne har mye av den samme forståelsen rundt tema, blant annet at de fokuserer mye på relasjoner og mestringsopplevelser. De ettersøker mer kunnskap og mer fordeling av ansvar for å få til et godt livsmestringsarbeid i skolen. Jeg håper studien oppmuntrer til videre refleksjon rundt livsmestring i skolen.||","no.usn:wiseflow:6794175:55198344","https://hdl.handle.net/11250/3086479","nob","University of South-Eastern Norway","Læreres tanker om livsmestring i skolen","Master thesis"
"0dbf20c8-3f00-4b9a-861a-eb54118dde89","11250/2732886","Johansen, Ronny","Almås, Stine","2023","Full text not available","Denne studien er en kvalitativ undersøkelse av hvordan tre lærere på småtrinnet legger til rette for leselyst hos elever på et tidlig stadium i den andre leseopplæringen. Gjennom dybdeintervju og observasjon gir denne studien innsikt i hva lærerne gjør i undervisningen sin for å motivere disse elevene til lesing. Det fremkommer også av studien hva slags forståelse lærerne har av begrepet leselyst, og hvordan de benytter seg av klasserommet for å motivere for lesing. 

I arbeidet med å fremme elevens leselyst har læreren en sentral og viktig rolle. Studien indikerer at lærerne er bevisste på, og jobber aktivt med å motivere elevene sine for lesing. Det viser seg av studien at blant annet arbeid med elevens mestring, leseengasjement, interesse og tilpasset opplæring står sentralt i lærernes undervisning for å fremme elevenes lyst til å lese. Sosial interaksjon og samhandling om bøker viser seg å fremme elevenes motivasjon for lesing. Det kommer derimot frem av studien at lærerens intensjon om å legge til rette for sosial samhandling i arbeid med tekster, ofte er høyere enn den graden det sosiale samspillet mellom elevene viser seg i undervisningen.||","no.usn:wiseflow:6794095:55128407","https://hdl.handle.net/11250/3082402","nob","University of South-Eastern Norway","Lærerens tilrettelegging for leselyst","Master thesis"
"0dde5072-e025-4af5-9363-d726da61178e","11250/2732886","Calafato, Raees","Gelius, Johanne Boe","2024",,"This master’s thesis investigates the effect role-play can have on English as a foreign language (EFL) learners’ speaking fluency, willingness to communicate (WTC) and speaking and listening self-efficacy. By using a mixed methods approach including classroom observations, pre- and post-questionnaires and a pre-and post-speaking test, this study aims at filling a research gap in Norwegian EFL classrooms regarding the use of role-play. The participants were four 5th-grade Norwegian EFL classes divided into two groups: the experimental group and the control group. The theoretical framework includes David Kolb’s experiential learning theory (ELT), Albert Bandura’s social cognitive learning theory (SCLT) and Merrill Swain’s output hypothesis. The results indicate that role-play does have a positive effect on Norwegian EFL 5th-grade learners’ speaking fluency and speaking self-efficacy.||","no.usn:wiseflow:7057710:59629726","https://hdl.handle.net/11250/3152239","eng","University of South-Eastern Norway","Role-Play in the Norwegian EFL Classroom","Master thesis"
