id,collection,dc.contributor.advisor,dc.contributor.author,dc.contributor.author[],dc.date.issued,dc.description,dc.description.abstract,dc.description.abstract[en_US],dc.identifier,dc.identifier.uri,dc.language,dc.language.iso[en_US],dc.publisher,dc.publisher[en_US],dc.rights.holder[en_US],dc.source.pagenumber[en_US],dc.subject.nsi[en_US],dc.subject[en_US],dc.title,dc.title[en_US],dc.type,dc.type[en_US]
"01a58988-027c-4199-9e4e-2fa90982d8e1","11250/2732887","Gabrielsen, Anja","Møller, David Bergsagel",,"2024",,"Formålet med denne studien er å undersøke hvilke ulike typer kompetanser elever bør tilegne seg i møte med globale utfordringene for det 21. århundre. Utdanningssystemet er avgjørende for å forberede elevene gjennom kompetanseutvikling, og et utvidet klasserom, som et vitensenter, kan bidra til dette. Problemstillingen som belyses i denne studien er: Hvordan kan bruk av vitensenter i naturfagundervisning på ungdomsskolen bidra til utvikling av kompetanser som er sentrale for det 21. århundre? Masteroppgaven er en kvalitativ studie hvor tre informanters erfaringer med et vitensenter, spesielt innenfor kompetansebygging, er undersøkt. Gjennom semistrukturerte intervjuer er det samlet inn data av informantenes erfaringer, og det er gjennomført en tematisk analyse for å bearbeide data.
Resultatene viser at et vitensenter fungerer som et utvidet klasserom, hvor elevene tilegner seg praktisk erfaring og kunnskap gjennom interaksjon med utstillinger og unike verktøy som ikke kan gjenskapes i klasserommet. Denne praktiske tilnærmingen fremmer kreativitet og problemløsning, og gir «knagger» elevene kan knytte til teoretisk kunnskap de møter senere i livet. Vitensenterets pedagogiske tilnærming fremmer de kognitive og affektive læringsutbyttene gjennom utforskning. Videre fremmer vitensenterbesøk sosialt samspill og styrker læringsmiljøet i klasserommet, noe som er viktig for den sosiale kompetansen til elevene. Frihetsgrader i undervisningen gir elevene mulighet til å ta egne valg og eierskap til læringsprosessen, som fremmer utforskning og kritisk tenkning.
En identifisert utfordring er behovet for tettere kobling mellom skolens læreplanmål i naturfag og aktivitetene på vitensenteret. Et godt for- og etterarbeid gir elevene muligheten til å forberede seg før besøket og reflektere i etterkant. På en annen side kan dette være vanskelig å gjennomføre i en ellers krevende og travel skolehverdag. Til tross for dette ser lærerne verdien av en slik kobling og er positive til de mulighetene et vitensenter tilbyr.
Oppsummert viser denne studien at et vitensenter er en verdifull ressurs i naturfagundervisningen ved å bidra til faglig forståelse og utvikling av nødvendige kompetanser for fremtiden. Et tettere samarbeid mellom skoler og vitensentre, samt tilstrekkelig med støtte til lærerne for å gjennomføre for- og etterarbeid er nødvendig for å øke læringsutbyttet hos elevene.||The purpose of this study is to investigate the different types of competencies students should acquire in the face of global challenges in the 21st century. The education system is crucial for preparing students through competence development, and an extended classroom, such as a science centre, can contribute to this. The research question addressed in this study is: “How can the use of science centre in science education at the lower secondary school level contribute to the development of competencies that are central to the 21st century?” This master's thesis is a qualitative study examining the experiences of three informants with a science centre, particularly in terms of competence building. Data on the informants' experiences were collected through semi-structured interviews, and a thematic analysis was conducted to process the data.
The results show that a science centre functions as an extended classroom, where students acquire practical experience and knowledge through interaction with exhibits and unique tools that cannot be replicated in the classroom. This practical approach promotes creativity and problem-solving and provides ""hooks"" that students can link to theoretical knowledge they encounter later in life. The science centre’s pedagogical approach promotes cognitive and affective learning outcomes through exploration. Furthermore, visits to science centre’s promote social interaction and strengthen the learning environment in the classroom, which is important for students' social competence. Degrees of freedom in teaching allow students to make their own choices and take ownership of the learning process, which promotes exploration and critical thinking.
One identified challenge is the need for a closer link between the school's science curriculum and the activities at the science centre. Good preparation and follow-up work provide students with the opportunity to prepare before the visit and reflect afterward. On the other hand, this can be difficult to implement in an otherwise demanding and busy school day. Despite this, teachers see the value of such a connection and are positive about the opportunities a science centre offers.
In summary, this study shows that a science centre is a valuable resource in science education by contributing to subject understanding and the development of necessary competencies for the future. Closer collaboration between schools and science centres, as well as sufficient support for teachers to carry out preparation and follow-up work, is necessary to increase students' learning outcomes.
David Bergsagel Møller iii Vår 2024
I used artificial intelligence to translate the Norwegian abstract to English (Anthropic, 2023).",,"no.usn:wiseflow:7071780:59709180","https://hdl.handle.net/11250/3142476","nob",,"University of South-Eastern Norway",,,,,,"Vitensenter: Et utvidet klasserom og kompetansebygger for det 21. århundre",,"Master thesis",
"01dd6ca1-db7e-4196-8167-d9a928bded33","11250/2732887","Brazier, Eirik","Phan, Son Hung",,"2023","Full text not available","Sosiale medier spiller en stadig viktigere rolle i skoleundervisningen, og fremtiden ser lovende ut for bruken av disse plattformene i klasserommet. Som forsker har du valgt å anvende aksjonsforskning for å konstruere et undervisningsopplegg med elevene, med fokus på å utvikle dem til gode digitale medborgere. Funn fra forskningen indikerer at det er mulig å skape et lærerikt opplegg som oppfyller dette målet.

I dagens samfunn er sosiale medier blitt en integrert del av livene til elevene. De bruker disse plattformene til å kommunisere, dele innhold og engasjere seg med andre. Ved å inkludere sosiale medier i undervisningen kan man utnytte den naturlige interessen og engasjementet elevene allerede har for disse verktøyene. Dette åpner opp for nye muligheter for læring, samarbeid og kreativitet.

Gjennom aksjonsforskning så har vi sammen med elevene deltatt i en intervensjon som videre skal skape en interesse hos elevene til å konstruere et undervisningsopplegg. Målet med undervisningsopplegget er å gjøre elevene til gode digitale medborgere. Dette innebærer å gi dem kunnskap, ferdigheter og bevissthet om hvordan de skal bruke sosiale medier på en ansvarlig og etisk måte. Gjennom forskningen har du funnet ut at det er mulig å konstruere et opplegg som oppfyller dette målet.

I en stadig mer digitalisert verden er det avgjørende å forberede elevene på å være ansvarlige og bevisste brukere av sosiale medier. Ditt forskningsprosjekt bidrar til å forme fremtiden for skoleundervisningen ved å integrere sosiale medier og fremme elevenes digitale medborgerskap.||",,"no.usn:wiseflow:6794223:55213405","https://hdl.handle.net/11250/3082755","nob",,"University of South-Eastern Norway",,,,,,"Læreplan i endring - er det plass til sosiale medier?",,"Master thesis",
"023881d8-7dd2-4879-9758-b3227171215a","11250/2732887","Sannæs, Bente Helgeland","Borge, Hedda Onsum",,"2022","Full text not available","Temaet i studien er utforskende matematikkundervisning. Bakgrunnen for oppgaven er Fagfornyelsen og utforsking har fått en stor rolle i det nye læreplanverket. Det finnes svært mange, og ulike, beskrivelser av hva utforskende undervisning innebærer, og studien ønsker derfor å se hvordan lærere forstår begrepet og hvordan de planlegger og gjennomfører utforskende matematikkundervisning. Problemstillingen for studien er: «Hvordan forståes begrepet «utforsking» av matematikklærere, og hvordan arbeider dem med utforsking i matematikkfaget?». Det finnes mye forskning på feltet, som tar for seg ulike aspekter ved utforsking. Forskningen viser blant annet at mange lærere er usikre på hva som legges i begrepet og at det er flere utfordringer knyttet til implementeringen av utforskende arbeidsmåter. På den andre siden sier forskningen at utforskende undervisning har flere gevinster, som for eksempel økt motivasjon og forståelse hos elevene. Studien plasseres innenfor kvalitativ forskning og har en fenomenologisk tilnærming. Datamaterialet er samlet inn gjennom klasseromsobservasjoner og intervjuer av lærere. Det teoretiske grunnlaget er basert på ulike karakteriseringer ved utforskende undervisning. Analysen indikerer at informantene er usikre på hva utforskende undervisning innebærer, i likhet med den tidligere forskningen. De er enige om noen faktorer, og trekker frem noe ulikt. Det tyder i tillegg til at informantene har ulike syn på utforsking. Det blir påvist flere utfordringer knyttet til planleggingen og gjennomføringen av utforskende undervisning. De største utfordringene er knyttet til lærernes arbeidsmengde og tidsbruk, og manglende ressurser.||",,"no.usn:wiseflow:6607915:50819778","https://hdl.handle.net/11250/3014456","nob",,"University of South-Eastern Norway",,,,,,"Utforskende matematikkundervisning",,"Master thesis",
"0290c382-f169-490f-8783-299d9b6c76cb","11250/2732887","Pål-Erik Eidsvig","Solberg, Martin Skundberg",,"2022",,"I denne kvalitative studien på utforskende matematikk forsøkes det å belyse problemstillingen «Hvordan kan utforskende matematikk brukes i undervisning?». Realfagsstrategien var et prosjekt som foregikk årene 2015 – 2019. Som et viktig poeng i denne strategien var det at utforskende arbeidsmetoder i matematikkfaget skulle bli inkludert i større grad. Sluttrapporten til denne satsningen fant ingen stor endring i bruken av utforskende matematikk, en mulig årsak til dette pekes på som at overgangen til å bruke utforskende matematikk oppleves som vanskelig, og blir møtt med motstand.

For å belyse problemstillingen blir det presentert et teoretisk rammeverk som tar for seg utforskende matematikk som begrep og muligheter for inklusjon av denne arbeidsmetoden i undervisning. Det er blitt gjennomført observasjon av tre lærere sin undervisning for å få et blikk på hvordan undervisningspraksis kan se ut og for å identifisere utforskende tendenser ved denne praksisen. Det er også blitt gjennomført intervjuer med lærerne for å få en innsikt i hvordan de tolker begrepet utforskende matematikk og hvordan de kan bruke dette i sin undervisning. Lærernes innsikt og deres praksis drøftes i lys av det teoretiske rammeverket og problemstillingen forsøkes å besvares i slutten av oppgaven.||",,"no.usn:wiseflow:6607915:50802483","https://hdl.handle.net/11250/3014462","nob",,"University of South-Eastern Norway",,,,,,"«Skikkelig matematikk» En kvalitativ undersøkelse om bruken av utforskende matematikk på mellomtrinnet",,"Master thesis",
"036e0b6d-2942-4246-82d5-312e93b77cfc","11250/2732887","Madsen, Brian Boe","Grahl-Madsen, Simen Gjersvik",,"2022",,"Denne masteroppgaven har som hensikt å utforske hvilke fremtider som er mulige for kroppsøvingsfaget i Norge. Deltakerne i prosjektet deler deres erfaringer om hvordan de tolker og operasjonaliserer kroppsøvingsfaget. De deler også deres meninger om hvordan faget kan se ut om 20 år, og hvilke endringer de ønsker i faget. Informantenes utsagn om fagets fremtid blir diskutert opp mot Kirk (2010) sine tre mulige fremtider for faget, og annen aktuell teori. Forhåpentligvis kan prosjektet, gjennom kroppsøvingslæreres perspektiv, komme med forslag til endringer som kan drive faget i riktig retning de neste 20 årene.

Masteroppgaven er en kvalitativ studie med semistrukturerte intervju som metode for datainnsamling. Oppgaven tar utgangspunkt i et fenomenologisk perspektiv, dette for å kunne løfte frem informantenes erfaringer og opplevelser knyttet til problemstillingen. Datamaterialet fra intervjuene har blitt transkribert og analysert, før de har blitt presentert direkte i teksten. Gjennom oppgaven ønsker jeg som forsker å løfte frem informantenes stemme og deres meninger om kroppsøvingsfaget, både i dagens og fremtidens skole.

Forskningsprosjektet viser at kroppsøvingslærere i den norske skole har varierte meninger om LK20 og læreplan i kroppsøving. Kroppsøvingslærerne som deltok i prosjektet, tolker og operasjonaliserer læreplanen og formålet med faget på ulike måter. Prosjektet viser at flere av kroppsøvingslærerne er bekymret for fagets fremtid, dette grunnet de raske samfunnsendringene. De har ulike oppfatninger om hvordan kroppsøvingsfaget kan, og hvordan kroppsøvingsfaget burde se ut om 20 år. Informantene presenterer en rekke ønsker for hvilke endringer de mener faget bør gjennomgå de neste 20 årene. Disse ønskene baserer seg blant annet på en kompetanseheving blant kroppsøvingslærere, et mer omfattende debattklima og mer tid og ressurser til kroppsøvingsfaget.||",,"no.usn:wiseflow:6607847:50817549","https://hdl.handle.net/11250/3014506","nob",,"University of South-Eastern Norway",,,,,,"Hva er kroppsøvingsfagets rolle i fremtidens skole og samfunn? - En kvalitativ studie av dagens og fremtidens kroppsøvingsfag",,"Master thesis",
"03d9c3df-2484-43a6-9cfe-f085e505949e","11250/2732887","Swift, Cecilie","Bjurulf, Elin Maria Johana||Øya, Ingerid Holte",,"2024",,"Å la elever ta notater er en av de mest vedvarende institusjonelle normene som preger matematikkundervisningen over hele verden, ifølge Liljedahl (2021, s. 187). Dette støttes av blant annet Kobayashi, som hevder at notatskriving for hånd er en svært utbredt læringsstrategi for elever (2006, s. 459). Temaet for denne masteroppgaven er elevnotater i matematikk, og oppgaven gir et innblikk i hvordan meningsfulle notater kan praktiseres i matematikkopplæringen på ungdomstrinnet. Meningsfulle notater er en av praksisene innenfor undervisningsformen Tenkende klasserom, utviklet av Peter Liljedahl (2021). Meningsfulle notater handler om hvordan elever tar notater til sitt fremtidige glemsomme jeg, i motsetning til å tankeløst kopiere tekst (Liljedahl, 2021, s. 193), og kan fungere som en måte å utvikle individuell forståelse på (Liljedahl, 2021, s. 290).

For å undersøke praksisen meningsfulle notater, gjennomførte vi en kvalitativ studie, ved bruk av metodene observasjon og intervju. Studien ble gjennomført i to klasser på ungdomstrinnet som praktiserte undervisningsmetoden Tenkende klasserom, og praksisen meningsfulle notater. Vi gjennomførte totalt fire observasjoner i disse klassene med hensikt å utforske utformingen og bruken av notatene. Deretter gjennomførte vi seks fokusgruppeintervjuer, med mål om å innhente mer data knyttet til benyttelsen av notatene, samt for å undersøke hvordan meningsfulle notater kan fungere som en læringsstrategi i matematikk.

Resultatene fra studien viste at elevene utformet meningsfulle notater på hvite A4-ark, med vanlige skrivesaker. Elevene arbeidet i grupper på tre, og kunne dermed benytte seg av samarbeid under notatskrivingen. Innholdet i notatene bestod av begrepsavklaringer, diagrammer og tabeller, eksempeloppgaver, regler, formler og fremgangsmåter. I intervjuene kom det frem at notatene kunne benyttes som en «jukselapp» på prøver, noe som gjorde at elevene var mindre stresset i prøvesituasjoner. Elevene uttrykte at det å skrive notatene førte til læring og forståelse av matematikk, og at de kom til å benytte seg av denne måten å ta notater på, videre i skoleløpet. Flere funn i studien tyder på at det å ta meningsfulle notater er en hensiktsmessig læringsstrategi for elever i matematikk.



Nøkkelord: læringsstrategier, notater, meningsfulle notater, Tenkende klasserom||Having students take notes is one of the most enduring institutional norms that permeate mathematics classrooms worldwide (Liljedahl, 2021, p. 187). This is supported by Kobayashi, among others, who claims that note taking with pen and paper is a popular learning strategy in school settings (2006, p. 459). This master's thesis explores student notes in mathematics education, and offers insights into the practice of meaningful notes at secondary level education. Meaningful notes are one of the practices within the educational approach Building Thinking Classrooms, developed by Peter Liljedahl (2021). Meaningful notes entail students taking notes for their future forgetful selves, rather than mindlessly copying text (Liljedahl, 2021, p. 193), and can function as a way to foster individual understanding (Liljedahl, 2021, p. 290).

To investigate the practice of meaningful notes, we conducted a qualitative study, employing observation and interview as methods. The study was carried out in two secondary-level classes, which practiced the educational approach Building Thinking Classrooms, which includes the practice meaningful notes. We conducted a total of four observations across these classes, with the intention to explore the writing process and the utilization of the notes. Additionally, we conducted six focus group interviews, to gather further insights related to the utilization of the notes, but also to examine how meaningful notes can serve as a learning strategy in mathematics.

The results of the study revealed that the students produced meaningful notes on plain paper using standard stationery. Working in groups of three allowed students to collaborate during the note-taking process. The content of the notes consisted of definitions of terms, diagrams and tables, sample tasks, rules, formulas and methods. In the interviews, it emerged that the notes could be used as a ""cheat sheet"" for tests, which contributed to reduced stress in testing situations. Students expressed that the note-taking process facilitated their learning and comprehension of mathematics, and many intended to continue using this method in their future studies. Overall, the study's findings implied that employing meaningful notes is a beneficial learning strategy for students in mathematics.



Key words: learning strategies, notes, meaningful notes, Building Thinking Classrooms",,"no.usn:wiseflow:7071750:59634890","https://hdl.handle.net/11250/3150426","nob",,"University of South-Eastern Norway",,,,,,"Fra meningsløse til meningsfulle notater",,"Master thesis",
"04258590-8cf1-4e0a-85dd-ab6a6c437ebe","11250/2732887","Gustavsen, Trond Stølen","Støvern, Gunnar||Solberg, Linn-Cecilie",,"2022","Full text not available","Denne masteroppgaven omhandler evnerike elever og hvilke tilpasningsmetoder som kan gjøres for å ivareta denne elevgruppen, i matematikk. Studien tar også for seg overgangen fra barneskole til ungdomsskole, og hvilke faktorer det er viktig å ta hensyn til i denne prosessen i forhold til evnerike elever. Målet er å få frem våre fire informanters kunnskap om tilpasninger, og deres erfaring med evnerike elever i henhold til identifisering og overgang. Masteroppgavens problemstilling er; Tilpasset opplæring for evnerike elever i matematikk, og elevgruppens ivaretakelse i overgangen til ungdomsskole.

I teorikapittelet har vi definert flere begreper som blir brukt for å omtale elevgruppen. Videre legger vi frem ulike metoder for å identifisere evnerike elever i matematikk, og ulike måter man kan tilpasse undervisningen på. Vi redegjør for forskning som omhandler kjennetegn ved evnerike elever, tilpasningsmetoder og ivaretakelse av evnerike elever i overgangen fra barneskole til ungdomsskole. Gjennom datainnsamlingen fra fire informanter, plasserer vi deres kjennetegn på evnerike elever i modellen til Joseph Renzulli (2012), The Three Ring Conception of Giftedness. Denne modellen deler egenskapene til evnerike elever inn i tre kategorier; over gjennomsnittlige evner, oppgaveengasjement og kreativitet. Uttalelsene til informantene som omhandler tilpasningsmetoder ble kategorisert i tre deler; berikelse, akselerasjon og nivådeling. Disse uttalelsene ble i drøftingskapittelet sett opp mot teori og tidligere forskning som det er gjort rede for i oppgaven.

Vi konkluderer med at våre fire informanter har god kunnskap om evnerike elever, og tilpasninger som kan gjøres for å ivareta deres faglige behov i matematikk. Det er ulikt hvilke undervisningsmetoder våre informanter har best erfaring med. Berikelse viser seg å være en undervisningsmetode som bevarer klassefellesskapet, det trengs få lærerressurser fordi det kan gjennomføres i klasserommet, og kan utføres ved bruk av åpne, rike og problemløsningsoppgaver. Akselerasjon krever ifølge våre informanter tettere oppfølging, og deres erfaring er at det fungerer best i små grupper med tett oppfølging. Nivådeling, som går ut på at elevene blir delt inn i grupper ut ifra deres faglige nivå, er mindre brukt blant våre informanter. Noen bruker nivådelte grupper i klasserommet, mens andre forteller at nivådeling over tid ikke er lov, og at det derav er utelukket. Når det gjelder overgangen fra barne- til ungdomsskole for evnerike elever, konkluderer vi med at det er særlig viktig at denne perioden oppleves som trygg for disse elevene. Det er viktig at de blir ivaretatt og raskt får de tilpasningene de har behov for, dette vil fremme positive holdninger og bidra til elevens videre utvikling av matematiske ferdigheter (Attard, 2010, s. 53-54).||",,"no.usn:wiseflow:6607915:50681330","https://hdl.handle.net/11250/3014487","nob",,"University of South-Eastern Norway",,,,,,"Tilpasset opplæring for evnerike elever i matematikk, og elevgruppens ivaretakelse i overgangen til ungdomsskolen",,"Master thesis",
"05f0712f-b3c4-4590-a4aa-a3a556bc0937","11250/2732887","Mykland, Ingvild Aasheim||Tranvåg, Gunnar","Åkerlund, Joel Evju",,"2024",,"Dagens elever og studenter skal kunne løse utfordringene i forhold til fremtidens samfunnsproblemer knyttet til en bærekraftig utvikling sosialt, økonomisk, og natur/miljømessig. Har vi gitt dem det de trenger for å klare dette?

Denne masteroppgaven utforsker hvordan lærere kan fremme kreativitet i læringssituasjoner, for å utruste elever for en fremtid i endring. Dette blir gjort gjennom teori, empiriske data (intervju og observasjon) og refleksjon av eget skapende arbeid. Det drøftes videre med ulike aspekter av kreativitetsfremming i utdanningen.

Oppgaven peker på utfordringer og muligheter knyttet til implementering av kreativitet i læringsituasjoner, samt viktigheten av lærerens egen kreativitet og forståelse av prosesser. Noe som også er sentralt er betydningen av å tilrettelegge for bevisst bruk av tid, tilpasning av vurdering og å tolerere usikkerhet. Konklusjonen vektlegger disse elementene som grunnlaget for å utruste elever med et fremtidsrettet mindset preget av kreative egenskaper.||Students and scholars of today are expected to fix both the present issues of today, and the problems that will emerge in the future. Have we prepared them for the challenges they are going to face?

This master's thesis explores how teachers can promote creativity in learning situations to equip students for a changing future. This is achieved through theory, empirical data (interviews and observation), and reflection on my own creative process. Various aspects of promoting creativity in education are further discussed.

The thesis identifies challenges and opportunities associated with implementing creativity in learning situations, as well as the importance of the teacher's own creativity and understanding of processes. Also central is the significance of facilitating conscious use of time, adapting assessment, and tolerating uncertainty. The conclusion emphasizes these elements as the foundation for equipping students with a future-oriented mindset characterized by creative attributes.",,"no.usn:wiseflow:7084657:58538673","https://hdl.handle.net/11250/3135784","nob",,"University of South-Eastern Norway",,,,,,"Kreativitet: Grunnlaget for å utruste elever for en fremtid i endring.",,"Master thesis",
"061fba92-b35a-4b15-a9ea-022fcb463c74","11250/2732887","Bakke, Jannike Ohrem","Bakken, Iselin",,"2024",,"Avhandlingen undersøker hvordan et dramaturgisk leseløp om kulturmøter kan bidra inn i leseundervisning for elever på ungdomstrinnet. Kompetansemålet som danner grunnlaget for avhandlingen innenfor skjønnlitterære tekster og lesing er: «Utforske og reflektere hvordan tekster framstiller unges livssituasjon» (Kunnskapsdepartementet, 2019, s. 9). Videre er det sentrale kompetansemålet for den tematiske inngangen om kultur og kulturmøter fra vg1 i norsk: «Reflektere hvordan tekster framstiller møter mellom ulike kulturer» (Kunnskapsdepartementet, 2019, s. 12). Hvilke tekster lærere velger og hvordan begrepene kultur og kulturmøter tolkes, vil påvirke et tematisk leseløp. Tidligere forskning viser en frykt og en kunnskapsmangel når det gjelder tekster om kulturmøter (Bottenvann, 2016, s. 78, 85). I tillegg viser egen erfaring som norsklærer at begrepene kultur og kulturmøter ofte kobles til det etniske aspektet og et tradisjonelt syn på hva som definerer et lands kultur. Det vil si at vi forbinder norsk kultur med en tradisjonell, statisk tankegang. Hvis vi stadig begrenser oss til det etniske perspektivet bak kultur, kan undervisningen ofte rettes mot majoritet vs. minoriteter. Hvordan lærere og skolen definerer kultur og ser på det moderne samfunnet, blir derfor avgjørende for elevenes perspektiver og deres egen identitetsutvikling.

Postkolonial litteraturteori ser på ujevn maktbalanse mellom koloniale strukturer, noe som kan skape statiske skillelinjer. Edward Said viser dette i sin teori om orientalismen, der det skapes en dikotomi mellom Vesten og Østen, altså et «vi» vs. «de andre» (Samoilow & Myren-Svelstad, 2020, s. 101). Derimot viser Babhas vinkling at det skjer noe mellom kulturene, slik at man ikke trenger å studere kulturer på en hierarkisk måte (Samoilow & Myren-Svelstad, 2020, s. 111). Et hierarkisk syn på kulturer kan forsterke forskjeller mellom elevgrupper i klasserommet, noe vi også kan se i analysefunnene i avhandlingen. Vi kan se på begrepet kultur på en bredere måte og påpeke kulturforskjeller der man har lik etnisk bakgrunn. Vi kan vise elevene at det finnes flere kulturelle lag innad i samme samfunnsgruppe. Dette vil være med på å forme synet elevene har på det moderne samfunnet.

Konkluderende er formålet at elever kan erfare litteratur om kulturmøter slik at de kan møte forskjeller hos mennesker med et åpent sinn istedenfor å møte det med frykt, og at de kan bli tryggere på sin kulturelle identitet.||This thesis investigates how a dramaturgical reading about cultural encounters can contribute to teaching reading for middle school students. The competency goal that forms the basis of the thesis within literature and reading is: «Utforske og reflektere hvordan tekster framstiller unges livssituasjon» (Kunnskapsdepartementet, 2019, p. 9). Translated, this measn that pupils should «explore and reflect how texts present young people’s life situations». Furthermore, the central competency goal for the thematic approach to culture and cultural meetings from vg1 in norwegian is: «Reflektere hvordan tekster framstiller møter mellom ulike kulturer» (Kunnskapsdepartementet, 2019, p. 12). Translated, this says that pupils should «reflect on how texts depicts meetings between different cultures». The texts teachers choose and how the concepts of culture and cultural meetings are understood and interpreted, will influence their thematic reading in the classroom. Previous research shows a fear and a lack of knowledge on choosing texts that depict cultural meetings (Bottenvann, 2016, p. 78, 85). In addition, my own experience as a Norwegian teacher has shown me how the concept of culture and cultural meetings are often affiliated to the ethnic aspect and a traditional view of a country’s culture. In different terms, we associate Norwegian culture with a traditional, static mindset. We can see this in the student responses in the empirical data where they are asked to write out what is «typical for Norwegian culture». If we limit our understanding of culture to the ethnic perspective, it can become more divisive and lead the literary teaching on culture to have a focus on majority versus minorities. How teachers and schools define culture and view the modern society will form students’ perspectives on the same topic, as well as influence how they develop their identity.



Postcolonial literary theory studies the uneven power between colonial structures, which can create a static view on culture. Edward Said demonstrates this in his theory on Orientalism, where there is a dichotomy between the West and the East, which gives us a «us» versus «them» perspective (Samoilow & Myren-Svelstad, 2020, p. 101). However, Babha’s theory shows us that something also happens in between cultural meetings, so that we don’t have to study cultures in a hierarchical way (Samoilow & Myren-Svelstad, 2020, p. 111). A hierarchical view on different cultures can highlight students’ differences in the classroom, which we also can see in the analysis findings in this thesis. Therefore, we can look at the concept of culture in a broader way and point out cultural differences where the characters in literature has the same ethnic background. We can show students that there are several cultural layers within the same society. This in turn can help shape student’s view on modern society. Research on dramaturgical phases is inspired by scientists that have researched on the theme beforehand, such as Jannike Ohrem Bakke and Fride Lindstøl. With the help of dramaturgy, teachers can examine teaching in dramaturgical phases. This can also inspire others to view the classroom as a theatrical stage that can move the senses and emotions (Bakke & Lindstøl, 2023, p. 35). In conclusion, the aim is for students to experience literature that depicts cultural meetings so they can meet differences in people with an open mindset instead of with fear, and become more confident in their cultural identity.",,"no.usn:wiseflow:7071776:58315206","https://hdl.handle.net/11250/3141061","nob",,"University of South-Eastern Norway",,,,,,"Et leseløp om kulturelle tekstmøter",,"Master thesis",
"06676bd3-feea-4063-8d27-0681e69fecbe","11250/2732887","Hasvik, Eirik","Nærsnes, Andrea",,"2024",,"I denne studien har målsetningen vært å finne svar på hvordan det analoge spillet, Dungeons and Dragons (DnD), kan anvendes som en spesialpedagogisk undervisningsform for å fremme livsmestrende ferdigheter hos elever som har utfordringer på dette området. Gjennom aksjonsforskning har jeg utforsket hvordan DnD kan integreres i undervisningen ved å skreddersy spilløktene etter elevenes individuelle behov med tilpassede oppdrag, karakterbeskrivelser og tilrettelegging underveis.

Studien involverte to utvalgte elever med bestemte kriterier, og data ble samlet inn ved hjelp av lydopptak og refleksjonslogger, som deretter ble analysert og kodet inn i ulike kategorier. Funnene viser at elevene gjennom DnD fikk øve på og utvikle viktige livsmestrende ferdigheter på en interaktiv og engasjerende måte. Ved å delta i tilpassede spilløkter, hvor spill-lederen også er pedagog, fikk elevene en unik læringsopplevelse som styrket deres evne til å samarbeide, oppleve mestring, problemløse og vise empati. Denne tilnærmingen til undervisning, hvor interessebaserte spill og pedagogikk kombineres, viser at DnD kan være et effektivt verktøy for å fremme læring og utvikling. Med det fremhever studien videre at DnD ikke bare er et underholdende spill, men også har potensialet til å være et kraftig pedagogisk verktøy som kan bidra til engasjerende læringsopplevelser. Funnene viser også til mulighetene som finnes ved å omfavne innovative tilnærminger som tar utgangspunkt i elevenes egne interesser og individuelle behov. Studien i sin helhet argumenterer derfor for at DnD har stort potensial som en verdifull ressurs for lærere som våger å bevege seg litt utenfor boksen og prøve noe nytt.||The objective of this study was to explore how Dungeons and Dragons (DnD), the analog role-playing game, can be utilized as a teaching method to promote life skills in students who are facing challenges in this area. Through action research, I investigated how DnD can be integrated into the curriculum by customizing game sessions to meet the individual needs of the students, which included tailoring the quests, character descriptions and adjustments throughout.

The study involved two selected students meeting specific criteria, and data were collected using audio recordings and reflection logs, which were then analyzed and coded into various categories. The findings indicate that, through DnD, students had the opportunity to practice and develop essential life skills in an interactive and engaging manner. Participating in customized game sessions, where the game master also served as an educator, provided the students with a unique learning experience that enhanced their capacity for teamwork, self-assurance, problem-solving ability and empathetic expression. This approach to teaching, which combines interest-based games with pedagogy, demonstrates that DnD can be an effective tool for learning and development. The study further highlights that DnD is not only an entertaining game but also has the potential to be a powerful educational tool that can contribute to engaging learning experiences. The findings also point to the possibilities that exist in embracing innovative approaches based on students' own interests and individual needs. Overall, the study argues that DnD holds great potential as a valuable resource for teachers who are willing to step outside of the traditional teaching methods and try something new.",,"no.usn:wiseflow:7069675:59709370","https://hdl.handle.net/11250/3144284","nob",,"University of South-Eastern Norway",,,,,,"Dungeons, Dragons og Livsmestring",,"Master thesis",
